County Level Vaccination Data for Alabama
Date generated: Thu Apr 08 2021 14:05:47 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Autauga,5673,10.2,5671,13.2,2932,32.9
Baldwin,35618,16,35602,20.3,22390,47.8
Barbour,3020,12.2,3020,15.4,2018,41.5
Bibb,2364,10.6,2362,13.2,1378,36.9
Blount,4871,8.4,4868,10.9,3013,27.9
Bullock,1645,16.3,1645,20.6,841,49.2
Butler,2413,12.4,2413,15.9,1476,36.5
Calhoun,16897,14.9,16891,19,9475,46.1
Chambers,3599,10.8,3598,13.7,2120,31.6
Cherokee,3653,13.9,3653,17.2,2227,36.1
Chilton,3875,8.7,3875,11.5,2419,31.8
Choctaw,2503,19.9,2503,24.8,1528,51.5
Clarke,4398,18.6,4396,23.6,2583,53.3
Clay,1772,13.4,1772,16.8,925,33.2
Cleburne,1687,11.3,1687,14.6,1080,35.9
Coffee,6216,11.9,6213,15.6,3789,42
Colbert,8786,15.9,8784,20.1,4907,44.3
Conecuh,1971,16.3,1970,20.5,1194,42.2
Coosa,1599,15,1599,17.9,971,37.8
Covington,4299,11.6,4299,14.9,2681,33.9
Crenshaw,1616,11.7,1616,15.2,1001,37.5
Cullman,12726,15.2,12720,19.6,7632,48.5
Dale,8978,18.3,8975,23.6,4077,48
Dallas,5742,15.4,5738,20.1,3031,43.2
DeKalb,6619,9.3,6615,12.2,3718,29.5
Elmore,9658,11.9,9654,15.3,5381,42.5
Escambia,4256,11.6,4255,15,2911,43.5
Etowah,12321,12,12319,15.3,7129,36
Fayette,2131,13.1,2130,16.6,1373,38.7
Franklin,4934,15.7,4933,20.9,2737,50.9
Geneva,3643,13.9,3643,17.8,2295,42.3
Greene,1091,13.5,1091,17.2,670,35.4
Hale,3257,22.2,3256,28.9,1538,53.3
Henry,2959,17.2,2956,21.6,1819,45.1
Houston,17358,16.4,17347,21.3,9479,49.4
Jackson,8385,16.2,8382,20.5,5344,50.5
Jefferson,112140,17,112067,22,54473,50.8
Lamar,2354,17.1,2354,21.7,1534,50.1
Lauderdale,15425,16.6,15420,20.6,8894,46.8
Lawrence,5249,15.9,5248,20.3,3188,50.7
Lee,25681,15.6,25648,19.8,9558,46.8
Limestone,12384,12.5,12379,16.1,7034,46.6
Lowndes,1092,11.2,1091,14.4,633,33
Macon,3178,17.6,3177,21.2,1721,45.5
Madison,63010,16.9,62961,21.5,32138,56.2
Marengo,3554,18.8,3554,24.3,1970,52.5
Marion,3926,13.2,3926,16.7,2468,38.6
Marshall,11897,12.3,11895,16.4,6985,41.7
Mobile,66688,16.1,66642,21,33402,48.6
Monroe,3246,15.7,3245,19.8,1888,43.1
Montgomery,32818,14.5,32792,18.9,14438,40.9
Morgan,18369,15.3,18361,19.9,10801,50.6
Perry,1718,19.3,1715,24.3,824,45.9
Pickens,3001,15.1,3001,18.7,1570,40.4
Pike,4658,14.1,4657,17.4,2504,49.8
Randolph,2954,13,2954,16.5,1853,39.1
Russell,5646,9.7,5646,12.8,3311,38.5
Shelby,19105,8.8,19094,11.4,9587,27.6
St. Clair,8914,10,8914,12.9,5131,34
Sumter,1918,15.4,1918,19.1,1037,44.6
Talladega,9505,11.9,9502,15,5356,36.3
Tallapoosa,5985,14.8,5985,18.6,3806,42.4
Tuscaloosa,27816,13.3,27801,16.8,13101,45.5
Unknown,54115,N/A,54070,N/A,21474,N/A
Walker,8976,14.1,8975,18.2,5364,43.2
Washington,2632,16.1,2631,20.7,1586,49.3
Wilcox,2216,21.4,2216,27.9,1121,53.3
Winston,1747,7.4,1747,9.3,1159,22.4
