County Level Vaccination Data for Alaska
Date generated: Thu Apr 08 2021 14:06:25 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aleutians East,777,23.3,775,25.1,125,35.6
Aleutians West,1033,18.3,1024,20.5,190,45.3
Anchorage,75419,26.2,74566,34.1,21435,63.5
Bethel,6662,36.2,6477,54.7,1012,69.9
Bristol Bay,365,43.7,364,53,111,81.6
Denali,358,17.1,355,20.9,149,62.6
Dillingham,1341,27.3,1319,39.1,297,60.1
Fairbanks North Star,20101,20.8,19880,26.9,6471,59.8
Haines,1099,43.4,1099,53,378,69
Hoonah-Angoon,906,42.2,889,50.4,343,66.5
Juneau,10368,32.4,10294,40.8,3491,78.3
Kenai Peninsula,12887,22,12803,28.1,6043,56.1
Ketchikan Gateway,3782,27.2,3775,34.7,1568,68.4
Kodiak Island,4134,31.8,4081,41.8,1126,76.3
Kusilvak Census Area,N/A,N/A,N/A,N/A,N/A,N/A
Lake and Peninsula,507,31.8,505,44.5,106,57.9
Matanuska-Susitna,16965,15.7,16798,21.1,6567,47.7
Nome,4453,44.5,4298,65.7,660,82.2
North Slope,2093,21.3,2033,28.2,376,51.1
Northwest Arctic,2427,31.8,2328,47.9,407,73.1
Petersburg,1569,48,1543,59.2,538,80.3
Prince of Wales-Hyder,1797,29,1795,37.2,638,56.7
Sitka,3938,46.4,3855,57.2,1022,74.9
Skagway,626,52.9,621,62,137,73.3
Southeast Fairbanks,1109,16.1,1104,21.3,532,49.4
Unknown,3629,N/A,3616,N/A,830,N/A
Valdez-Cordova,2346,25.5,2340,33.2,757,57
Wrangell,876,35,872,43.4,348,56.7
Yakutat,287,49.6,286,60,84,68.9
Yukon-Koyukuk,2207,42.2,2161,57.3,606,73.7
