County Level Vaccination Data for Arizona
Date generated: Thu Apr 08 2021 14:06:49 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Apache,29935,41.6,28694,54.7,7884,69.6
Cochise,24756,19.7,24752,25,14557,50
Coconino,52112,36.3,51307,44.7,16126,86.4
Gila,16480,30.5,16383,37.8,7829,49.3
Graham,8798,22.7,8749,30.7,3657,67.2
Greenlee,2416,25.4,2416,34.9,764,58.9
La Paz,4050,19.2,4050,23,2790,33.2
Maricopa,816414,18.2,815361,23.8,388843,55.8
Mohave,24933,11.8,24930,14.1,18053,27.4
Navajo,33708,30.4,32798,40.1,11590,55.6
Pima,238040,22.7,237897,28.6,126703,59.6
Pinal,82238,17.8,82194,22.8,47770,49.5
Santa Cruz,12358,26.6,12356,36.2,5660,65.9
Unknown,25836,N/A,25705,N/A,9831,N/A
Yavapai,47392,20.2,47387,24,32993,43.2
Yuma,33966,15.9,33959,21.2,17278,41.8
