County Level Vaccination Data for Arkansas
Date generated: Thu Apr 08 2021 14:07:39 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Arkansas,3567,20.4,3565,26.4,1947,54.8
Ashley,2761,14,2759,18.1,1747,42.4
Baxter,6275,15,6269,18.2,4139,31.7
Benton,35634,12.8,35577,17.2,17399,45.9
Boone,5096,13.6,5091,17.6,3316,42.3
Bradley,2165,20.1,2162,26.4,1114,53.8
Calhoun,689,13.3,689,16.4,440,38.6
Carroll,4686,16.5,4683,21,2714,40.1
Chicot,1867,18.5,1864,23.6,1142,53.5
Clark,4076,18.3,4075,22.5,2200,58.6
Clay,2741,18.8,2737,23.9,1674,52.6
Cleburne,3986,16,3985,19.7,2971,43.8
Cleveland,1559,19.6,1559,25,910,53.4
Columbia,3672,15.7,3671,19.7,1970,47.4
Conway,3805,18.3,3804,23.6,2209,53.7
Craighead,17131,15.5,17110,20.7,7125,46.2
Crawford,8263,13.1,8259,17.3,4338,40
Crittenden,6385,13.3,6379,18.2,2426,34.9
Cross,2732,16.6,2732,21.7,1485,46.9
Dallas,1434,20.5,1433,25.9,907,53
Desha,2486,21.9,2433,28.7,1368,61.4
Drew,3149,17.3,3145,22,1517,45.7
Faulkner,21827,17.3,21788,22.4,9494,58.6
Franklin,3362,19,3361,24.4,1934,54.7
Fulton,1302,10.4,1302,13.2,788,24.3
Garland,17659,17.8,17644,22.2,11164,46.2
Grant,2446,13.4,2445,17.2,1400,41.5
Greene,7019,15.5,7016,20.5,3716,50.4
Hempstead,1740,8.1,1739,10.9,925,23.2
Hot Spring,5166,15.3,5165,19.3,2922,44.7
Howard,2308,17.5,2307,23.7,1258,52.7
Independence,4705,12.4,4702,16.5,2600,38.3
Izard,1913,14,1913,17.1,1118,31.4
Jackson,2574,15.4,2573,19.3,1481,48.5
Jefferson,8916,13.3,8909,17,4920,41
Johnson,4099,15.4,4096,20.4,2087,46.5
Lafayette,868,13.1,868,16.1,591,36.1
Lawrence,2385,14.5,2385,18.7,1391,42.6
Lee,1127,12.7,1127,15.6,694,38.8
Lincoln,1452,11.1,1449,13.3,839,40.5
Little River,1290,10.5,1290,13.6,867,33.8
Logan,3273,15.2,3272,19.4,1878,42.7
Lonoke,10371,14.1,10366,19,5015,49.6
Madison,1929,11.6,1925,15.1,1195,37.2
Marion,1794,10.7,1794,13.1,1235,25.4
Miller,1663,3.8,1662,5,1048,14.1
Mississippi,4860,12,4856,16.2,2602,42.5
Monroe,1164,17.4,1160,21.8,630,39.1
Montgomery,1668,18.6,1668,22.8,1130,46.6
Nevada,900,10.9,897,14.1,445,25.7
Newton,960,12.4,960,15.3,712,33.7
Ouachita,4338,18.6,4336,23.9,2564,52
Perry,1857,17.8,1857,22.9,1112,51.9
Phillips,2765,15.5,2762,20.9,1416,40.8
Pike,1513,14.1,1513,18,921,42
Poinsett,3357,14.3,3355,18.7,1788,41.4
Polk,1983,9.9,1983,12.9,1199,25.4
Pope,11047,17.2,11036,22.3,4951,47.8
Prairie,1031,12.8,1031,16.1,574,29.8
Pulaski,83138,21.2,82965,27.5,36654,58.2
Randolph,1964,10.9,1962,14.3,1021,28.8
Saline,21457,17.5,21423,22.7,10299,46.3
Scott,1325,12.9,1325,16.7,703,31.9
Searcy,1114,14.1,1114,17.6,797,38.9
Sebastian,16641,13,16611,17.1,7351,35
Sevier,2126,12.5,2126,17.5,1024,40.3
Sharp,2099,12,2097,15.1,1406,30.5
St. Francis,4470,17.9,4468,22.6,2050,48.7
Stone,2003,16,2002,19.8,1407,40.3
Union,5587,14.4,5582,19,3143,44.1
Unknown,48408,N/A,48320,N/A,19543,N/A
Van Buren,2591,15.7,2590,19.4,1834,41.5
Washington,36884,15.4,36844,20.3,14914,51.6
White,11487,14.6,11481,18.9,6387,48.4
Woodruff,1253,19.8,1253,25.2,782,53
Yell,3487,16.3,3484,21.6,1752,45.4
