County Level Vaccination Data for California
Date generated: Thu Apr 08 2021 14:10:10 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alameda,412673,24.7,411139,30.9,156164,65.4
Alpine,N/A,N/A,N/A,N/A,N/A,N/A
Amador,7457,18.8,7454,22.1,5195,47.5
Butte,42995,19.6,42925,24.6,21532,53.5
Calaveras,9534,20.8,9517,25,6690,52
Colusa,3261,15.1,3258,20.7,1522,47.4
Contra Costa,282499,24.5,281457,31.5,134976,71.9
Del Norte,3497,12.6,3495,15.9,1898,37
El Dorado,39216,20.3,39132,25.3,22634,53.5
Fresno,173305,17.3,172879,24.1,69022,55
Glenn,4765,16.8,4758,22.8,2492,55.7
Humboldt,28524,21,28492,25.9,13914,55.2
Imperial,29465,16.3,29433,22.7,11240,46.6
Inyo,N/A,N/A,N/A,N/A,N/A,N/A
Kern,120247,13.4,119978,18.7,49842,49.3
Kings,15586,10.2,15555,13.9,5916,36.9
Lake,13811,21.5,13791,27.2,7801,52.5
Lassen,3978,13,3976,15.7,2270,47.9
Los Angeles,1881468,18.7,1876876,23.8,745643,52.7
Madera,24736,15.7,24696,21.6,11911,52.8
Marin,84012,32.5,83364,40.2,42726,71.9
Mariposa,N/A,N/A,N/A,N/A,N/A,N/A
Mendocino,25318,29.2,25175,36.8,12106,60.5
Merced,32619,11.7,32526,16.6,14805,46.8
Modoc,N/A,N/A,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A,N/A,N/A
Monterey,71857,16.6,71747,22.3,33350,54.9
Napa,37467,27.2,37382,34,17380,64
Nevada,20756,20.8,20716,25,13484,47.6
Orange,587041,18.5,585830,23.6,286594,59
Placer,89903,22.6,89636,28.9,49862,62.8
Plumas,N/A,N/A,N/A,N/A,N/A,N/A
Riverside,380808,15.4,380189,20.5,191954,52.5
Sacramento,278295,17.9,277630,23.4,125214,55.7
San Benito,8778,14,8762,18.7,3943,47.8
San Bernardino,304091,13.9,303490,18.8,128619,49.4
San Diego,526899,15.8,525722,20,227971,47.1
San Francisco,238708,27.1,238200,31.2,86842,61.3
San Joaquin,110573,14.5,110322,19.8,54193,54.3
San Luis Obispo,48652,17.2,48602,20.8,29927,50.7
San Mateo,196918,25.7,196173,32.1,81394,64.2
Santa Barbara,83208,18.6,83092,23.9,43348,61.8
Santa Clara,395750,20.5,394604,26.1,175620,65.5
Santa Cruz,63792,23.3,63671,28.8,30073,63.7
Shasta,24490,13.6,24444,17.3,14115,37.1
Sierra,N/A,N/A,N/A,N/A,N/A,N/A
Siskiyou,9408,21.6,9401,27,5521,48.5
Solano,79387,17.7,79247,22.7,36759,50.2
Sonoma,125716,25.4,125450,31.5,63967,62.5
Stanislaus,79652,14.5,79347,19.7,36092,48.8
Sutter,17509,18.1,17476,24.3,8214,54.4
Tehama,7214,11.1,7211,14.5,3796,29.7
Trinity,N/A,N/A,N/A,N/A,N/A,N/A
Tulare,71544,15.3,71286,22,27583,50.8
Tuolumne,13557,24.9,13550,29.9,8987,61.1
Unknown,251323,N/A,250752,N/A,88042,N/A
Ventura,178587,21.1,178042,27.2,82439,60.3
Yolo,48919,22.2,48725,27.9,18990,66.6
Yuba,9791,12.4,9784,17.1,4745,46.2
