County Level Vaccination Data for Colorado
Date generated: Thu Apr 08 2021 14:10:40 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,39658,7.7,39560,10.3,16323,29.4
Alamosa,1654,10.2,1652,13.4,589,26.1
Arapahoe,61230,9.3,61064,12.1,27594,31.2
Archuleta,1856,13.2,1851,16,621,16.2
Baca,222,6.2,222,8,125,14.3
Bent,183,3.3,183,3.9,106,10.1
Boulder,38333,11.8,38225,14.4,17396,36
Broomfield,8375,11.9,8349,15.2,3649,36.2
Chaffee,2672,13.1,2659,15.4,865,16.3
Cheyenne,88,4.8,88,6.4,43,11.2
Clear Creek,871,9,870,10.6,334,16.1
Conejos,1058,12.9,1056,17.2,528,32.3
Costilla,661,17,659,20.9,186,17.8
Crowley,230,3.8,230,4.3,127,14.9
Custer,436,8.6,436,10,304,18.2
Delta,3717,11.9,3715,14.8,2541,30.4
Denver,69826,9.6,69678,11.8,23795,27.4
Dolores,223,10.9,223,13.5,76,14.1
Douglas,39471,11.2,39313,15,17179,39.4
Eagle,9010,16.3,8952,20.7,1653,24.2
El Paso,92032,12.8,91908,16.7,37678,39.6
Elbert,2097,7.8,2094,9.9,1218,26.5
Fremont,4763,10,4763,11.9,2916,27.5
Garfield,5494,9.1,5483,12.2,1511,18.2
Gilpin,609,9.8,609,11.4,354,31.8
Grand,1681,10.7,1680,12.8,740,25.5
Gunnison,2503,14.3,2490,17.1,322,13.5
Hinsdale,129,15.7,129,18.5,56,21.7
Huerfano,902,13.1,902,15.6,575,25.9
Jackson,106,7.6,106,9.1,68,21
Jefferson,72750,12.5,72574,15.5,36518,37
Kiowa,95,6.8,94,8.8,35,10.8
Kit Carson,538,7.6,537,10.1,267,19.3
La Plata,11551,20.5,11476,25.1,3675,35.9
Lake,827,10.2,826,12.7,269,22.6
Larimer,42229,11.8,42186,14.7,21174,36.6
Las Animas,1721,11.9,1720,14.4,894,24.3
Lincoln,519,9.1,519,11.4,182,18.1
Logan,1618,7.2,1618,8.8,931,23
Mesa,23646,15.3,23618,19.5,12777,42.1
Mineral,125,16.3,125,18.9,65,25.2
Moffat,829,6.2,826,8.3,392,18.5
Montezuma,4779,18.3,4733,23.1,1492,24.9
Montrose,7595,17.8,7588,22.5,4545,44.1
Morgan,2717,9.3,2714,12.6,1151,25.4
Otero,1663,9.1,1660,11.9,804,21.3
Ouray,1211,24.5,1210,28.8,445,33
Park,2056,10.9,2053,12.8,1227,30.1
Phillips,406,9.5,406,12.6,139,14
Pitkin,2004,11.3,2004,13.2,508,14.1
Prowers,820,6.7,819,9.1,440,20
Pueblo,16841,10,16822,12.8,9214,28.9
Rio Blanco,424,6.7,423,8.8,213,20.6
Rio Grande,1780,15.8,1776,20.3,902,38.4
Routt,4525,17.6,4508,21.4,1525,35.8
Saguache,336,4.9,336,6.2,194,11.6
San Juan,79,10.9,79,12.4,16,8.5
San Miguel,1869,22.9,1867,27.6,395,31.2
Sedgwick,208,9.3,208,11.5,90,14.8
Summit,5126,16.5,5112,19.7,1318,29.7
Teller,2475,9.7,2472,11.7,1555,26.4
Unknown,549312,N/A,548703,N/A,284917,N/A
Washington,255,5.2,255,6.7,162,15.5
Weld,27738,8.5,27700,11.5,13721,34
Yuma,573,5.7,573,7.9,241,12.9
