County Level Vaccination Data for Florida
Date generated: Thu Apr 08 2021 14:12:23 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alachua,62535,23.2,62517,28.3,29880,76.1
Baker,3028,10.4,3028,13.6,2093,50.8
Bay,30323,17.4,30312,21.9,17501,53.8
Bradford,3411,12.1,3411,15,2437,48.1
Brevard,113664,18.9,113630,23.1,79771,54.7
Broward,354679,18.2,354267,23,204094,61
Calhoun,1924,13.6,1924,17,1330,49.8
Charlotte,48044,25.4,48021,28.8,41014,53.2
Citrus,33621,22.5,33617,26.3,28754,52.3
Clay,32031,14.6,32011,19,19444,54.2
Collier,97038,25.2,97014,30.3,80662,63.7
Columbia,10750,15,10750,19.1,7357,53.3
DeSoto,4704,12.4,4704,15.2,3675,42.9
Dixie,2163,12.9,2163,15.7,1760,44.2
Duval,179954,18.8,179846,24.2,90912,65.6
Escambia,58543,18.4,58525,23.2,33184,60.8
Flagler,28065,24.4,28061,29.2,22277,62.1
Franklin,2544,21,2544,24.8,1977,67.6
Gadsden,8854,19.4,8849,24.7,5625,65.9
Gilchrist,2429,13.1,2428,16.3,1738,45.3
Glades,1497,10.8,1497,12.7,1265,33.2
Gulf,2693,19.7,2693,24.2,2133,59
Hamilton,1821,12.6,1821,15.6,1398,52.5
Hardee,2603,9.7,2603,13,2118,45.1
Hendry,4575,10.9,4573,14.8,3170,54.9
Hernando,34650,17.9,34642,21.8,27109,50.8
Highlands,19444,18.3,19443,22,16278,42.5
Hillsborough,229627,15.6,229505,20,116878,54.6
Holmes,2232,11.4,2232,14.3,1621,41.3
Indian River,41088,25.7,41078,30.5,34488,63.7
Jackson,7803,16.8,7802,20.7,4929,51.5
Jefferson,3937,27.6,3937,33.1,3084,87.8
Lafayette,1231,14.6,1231,18.3,1045,71.8
Lake,85628,23.3,85554,28.7,67346,67.8
Lee,147839,19.2,147818,23.2,119419,53.2
Leon,55087,18.8,55049,23,30607,75
Levy,6421,15.5,6419,19.2,4871,46.7
Liberty,1031,12.3,1031,14.9,668,53.2
Madison,3244,17.5,3243,21.5,2294,58.8
Manatee,77109,19.1,77104,23.3,60071,53.1
Marion,73583,20.1,73571,24.7,58344,54.7
Martin,40518,25.2,40507,30,33141,65.3
Miami-Dade,514781,18.9,514030,23.7,272307,60.2
Monroe,16529,22.3,16524,26.2,11508,65.3
Nassau,21028,23.7,21019,29.5,15075,74.5
Okaloosa,38837,18.4,38823,23.7,23231,67.6
Okeechobee,5880,13.9,5878,17.7,4812,56.7
Orange,217099,15.6,216590,19.9,106229,61.9
Osceola,52370,13.9,52327,18.4,31234,61.5
Palm Beach,321227,21.5,321020,26.5,231802,63.6
Pasco,92575,16.7,92546,20.9,65450,52.2
Pinellas,210519,21.6,210441,25.7,145282,58.7
Polk,103754,14.3,103718,18.3,74185,50.1
Putnam,9494,12.7,9492,16.2,7237,40.9
Santa Rosa,29592,16.1,29571,20.5,18443,61.2
Sarasota,115408,26.6,115365,30.9,94586,58.4
Seminole,77546,16.4,77448,20.7,44911,59.6
St. Johns,69191,26.1,69116,33.3,43941,80.4
St. Lucie,60704,18.5,60694,23,45694,56.5
Sumter,62329,47.1,62322,50.7,57367,74.5
Suwannee,6391,14.4,6389,18.2,4999,51.8
Taylor,2942,13.6,2941,17,2201,48.6
Union,1465,9.6,1465,12,1062,45.8
Unknown,28534,N/A,28519,N/A,11380,N/A
Volusia,110846,20,110819,24.3,81742,59.3
Wakulla,5615,16.6,5614,21,3780,70.4
Walton,12118,16.4,12115,20.5,8558,57.1
Washington,2644,10.4,2643,13,1854,42.3
