County Level Vaccination Data for Georgia
Date generated: Thu Apr 08 2021 14:12:45 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Appling,454,2.5,453,3.3,273,8.4
Atkinson,161,2,161,2.7,69,5.8
Bacon,184,1.6,184,2.2,96,5.1
Baker,403,13.3,403,16.5,243,33.8
Baldwin,821,1.8,821,2.2,463,6.3
Banks,513,2.7,512,3.4,334,9.8
Barrow,3346,4,3345,5.4,2006,18.9
Bartow,2947,2.7,2945,3.6,1831,11.8
Ben Hill,413,2.5,413,3.3,227,7.6
Berrien,1255,6.5,1255,8.5,826,24.7
Bibb,10674,7,10668,9.2,6007,24.5
Bleckley,197,1.5,196,1.9,100,4.5
Brantley,540,2.8,540,3.7,396,12.1
Brooks,2044,13.2,2044,16.9,1311,42.5
Bryan,4377,11,4373,15.6,2147,50.7
Bulloch,8006,10.1,8005,12.5,4581,49.4
Burke,2686,12,2686,16.1,1651,46.2
Butts,558,2.2,558,2.8,346,8.8
Calhoun,305,4.9,305,5.9,152,14.8
Camden,9188,16.8,9187,22.1,4259,54.8
Candler,385,3.6,385,4.7,212,10.5
Carroll,6998,5.8,6997,7.6,4526,27.3
Catoosa,2060,3,2060,3.9,662,5.4
Charlton,241,1.8,241,2.2,174,8.2
Chatham,52581,18.2,52545,22.9,27539,59.6
Chattahoochee,8309,76.2,8295,98.2,1294,99.9
Chattooga,477,1.9,477,2.5,272,6.2
Cherokee,22483,8.7,22470,11.4,14108,37.5
Clarke,11656,9.1,11655,11,7057,48.6
Clay,230,8.1,230,10.1,171,22.1
Clayton,8145,2.8,8133,3.8,4514,16
Clinch,717,10.8,717,14.5,442,39.8
Cobb,75710,10,75649,13,45324,46.9
Coffee,4050,9.4,4048,12.4,2217,36.4
Colquitt,1334,2.9,1333,3.9,760,10.4
Columbia,15123,9.7,15102,12.9,6897,31.5
Cook,2588,15,2588,20,1530,52.9
Coweta,11016,7.4,11015,9.8,6697,31.6
Crawford,651,5.2,651,6.6,397,16.5
Crisp,923,4.1,922,5.4,505,11.7
Dade,752,4.7,751,5.8,299,9.2
Dawson,373,1.4,373,1.8,225,4.3
DeKalb,59782,7.9,59720,10.2,29877,30.5
Decatur,3526,13.4,3524,17.6,2273,51.7
Dodge,372,1.8,372,2.2,135,3.5
Dooly,640,4.8,640,5.7,372,13.2
Dougherty,3636,4.1,3635,5.4,1260,8.7
Douglas,8424,5.8,8419,7.7,5173,29.8
Early,367,3.6,366,4.8,192,9.8
Echols,131,3.3,131,4.4,66,11.9
Effingham,4363,6.8,4359,9.2,2627,34.4
Elbert,1090,5.7,1090,7.3,741,18.1
Emanuel,2000,8.8,1999,11.7,1281,34.4
Evans,611,5.7,611,7.8,381,21.9
Fannin,1850,7.1,1850,8.4,1323,16.5
Fayette,12461,10.9,12456,14.1,7872,36.7
Floyd,2468,2.5,2455,3.2,705,4.2
Forsyth,9873,4,9862,5.5,5437,18
Franklin,350,1.5,350,1.9,186,4.2
Fulton,75146,7.1,75074,9,39505,30.9
Gilmer,812,2.6,812,3.2,617,7.7
Glascock,109,3.7,109,4.7,68,12.5
Glynn,19530,22.9,19514,29.1,11904,66.1
Gordon,569,1,568,1.3,263,3
Grady,854,3.5,854,4.6,478,10.5
Greene,3420,18.7,3418,23,2678,49.9
Gwinnett,57045,6.1,56961,8.3,28131,28.7
Habersham,1832,4,1831,5.2,1240,14.6
Hall,14277,7,14266,9.3,8592,27.3
Hancock,150,1.8,150,2.1,94,4.7
Haralson,989,3.3,989,4.4,625,12.9
Harris,2154,6.1,2154,7.8,1290,19
Hart,2861,10.9,2861,13.8,2102,36.3
Heard,316,2.7,316,3.4,156,7.2
Henry,10947,4.7,10943,6.2,6109,21.8
Houston,18363,11.6,18358,15.6,9077,44.3
Irwin,312,3.3,312,4.2,200,11.8
Jackson,5794,7.9,5789,10.6,3807,35.6
Jasper,585,4.1,585,5.4,410,16.3
Jeff Davis,251,1.7,251,2.2,142,5.8
Jefferson,1419,9.2,1418,12,979,33.8
Jenkins,571,6.6,570,8.2,401,26.6
