County Level Vaccination Data for Idaho
Date generated: Thu Apr 08 2021 14:13:28 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Ada,113182,23.5,113180,30.6,54768,76.1
Adams,801,18.7,801,22.6,608,47.4
Bannock,16646,19,16646,25.6,8197,63.6
Bear Lake,1356,22.1,1356,30.3,895,70.8
Benewah,2133,22.9,2132,29.4,1241,58.6
Bingham,8118,17.3,8118,24.9,3969,58.5
Blaine,7229,31.4,7229,39.8,4039,86.2
Boise,1225,15.6,1225,18.7,854,41.5
Bonner,9408,20.6,9407,25.6,5786,49.8
Bonneville,20483,17.2,20483,24.7,10307,64
Boundary,1961,16,1961,20.8,1268,44.9
Butte,545,21,545,27.7,328,53.4
Camas,267,24.1,267,31,130,48.1
Canyon,32311,14.1,32311,19.5,17725,55
Caribou,1045,14.6,1045,20.6,597,48.1
Cassia,2712,11.3,2712,16.5,1540,44.3
Clark,87,10.3,87,13.2,53,32.3
Clearwater,1566,17.9,1566,21.2,1112,45.4
Custer,943,21.9,943,26.4,669,51.5
Elmore,4150,15.1,4149,20.2,2091,53.9
Franklin,2140,15.4,2139,22.5,1275,62.8
Fremont,2006,15.3,2006,20.3,1277,55.9
Gem,3013,16.6,3013,21.6,2007,50.4
Gooding,2086,13.7,2086,18.8,1349,49.7
Idaho,2333,14,2333,17.4,1688,35.4
Jefferson,3809,12.8,3809,19.2,1978,57.3
Jerome,3183,13,3183,18.8,1758,54.4
Kootenai,34456,20.8,34449,26.9,18909,58.7
Latah,8374,20.9,8372,25.6,4202,74.4
Lemhi,1793,22.3,1793,27.5,1313,53.4
Lewis,876,22.8,876,29.1,591,57.3
Lincoln,675,12.6,675,17.3,424,55.9
Madison,4514,11.3,4514,15.5,1839,65
Minidoka,2480,11.8,2480,16.5,1417,41.5
Nez Perce,8919,22.1,8918,28.1,5180,63.4
Oneida,836,18.5,836,25.7,498,53.8
Owyhee,1354,11.5,1354,15.4,776,36.4
Payette,3241,13.5,3241,18.3,2017,45.2
Power,1583,20.6,1583,29.7,810,67.3
Shoshone,2942,22.8,2942,28.7,1898,63.7
Teton,2484,20.5,2483,26.8,1051,65.9
Twin Falls,14233,16.4,14232,22.6,8101,59.6
Unknown,5069,N/A,5067,N/A,2056,N/A
Valley,3124,27.4,3124,33.6,1894,64.1
Washington,1605,15.7,1605,20.3,1226,46.4
