County Level Vaccination Data for Louisiana
Date generated: Thu Apr 08 2021 14:16:39 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Acadia,9812,15.8,9809,21.3,5731,58.5
Allen,2904,11.3,2901,14.6,1301,33.3
Ascension,20923,16.5,20880,22.5,9701,62.4
Assumption,3507,16,3507,20.3,2093,51
Avoyelles,5269,13.1,5267,17.1,3003,43.2
Beauregard,3786,10.1,3783,13.4,2161,36.2
Bienville,2467,18.6,2467,24,1429,49.7
Bossier,21327,16.8,21312,22.3,10443,55.3
Caddo,47476,19.8,47427,25.8,24487,57.5
Calcasieu,28082,13.8,28065,18.4,14851,48
Caldwell,1606,16.2,1606,21,952,52.9
Cameron,444,6.4,444,8.2,258,21.8
Catahoula,1354,14.3,1354,18.1,780,45.9
Claiborne,2292,14.6,2290,17.7,1397,45.7
Concordia,2210,11.5,2210,15,1321,38.6
De Soto,4239,15.4,4237,20.2,2465,49.1
East Baton Rouge,92313,21,92191,27.1,44684,69.4
East Carroll,1382,20.1,1381,26.4,674,64.4
East Feliciana,2771,14.5,2771,17.6,1644,46.8
Evangeline,4337,13,4333,17.3,2361,44.7
Franklin,3004,15,3002,20.1,1629,44.2
Grant,3568,15.9,3567,20.2,1569,45.2
Iberia,9505,13.6,9504,18.3,5570,50.9
Iberville,5509,16.9,5506,21.3,2981,56
Jackson,2448,15.5,2448,19.8,1407,43.4
Jefferson,102228,23.6,102119,30.3,50052,65.4
Jefferson Davis,3749,12,3746,16,2181,41.6
LaSalle,2182,14.7,2181,18.9,1200,46.9
Lafayette,38234,15.6,38206,20.5,20131,59.8
Lafourche,15070,15.4,15064,20.1,8070,51.8
Lincoln,8253,17.7,8244,22,4116,63
Livingston,17654,12.5,17636,16.8,9610,51.2
Madison,1602,14.6,1601,19.2,810,49.5
Morehouse,4344,17.5,4344,23,2560,53.2
Natchitoches,5370,14.1,5368,18.3,3249,49.7
Orleans,103255,26.5,103116,33,38307,63.1
Ouachita,24989,16.3,24976,21.6,12921,55
Plaquemines,5134,22.1,5130,29.8,2097,64.5
Pointe Coupee,4540,20.9,4537,26.6,2731,58.8
Rapides,23371,18,23351,23.9,11819,54.4
Red River,1235,14.6,1235,19.1,705,42.5
Richland,3686,18.3,3685,23.8,2026,55.6
Sabine,2782,11.6,2782,15.1,1970,38.9
St. Bernard,6893,14.6,6886,19.8,3091,54.6
St. Charles,11012,20.7,10990,27.3,5142,68.9
St. Helena,1113,11,1113,13.8,643,30.8
St. James,3288,15.6,3284,20.2,1705,45.6
St. John the Baptist,7691,18,7680,23.7,3709,58.8
St. Landry,12224,14.9,12199,20.2,6313,46.3
St. Martin,6248,11.7,6247,15.4,3835,45.7
St. Mary,7854,15.9,7848,20.9,4447,52.9
St. Tammany,58894,22.6,58838,29.6,30860,67.7
Tangipahoa,22170,16.5,22155,21.7,12212,60.7
Tensas,1057,24.4,1057,31.4,636,57
Terrebonne,17855,16.2,17844,21.6,10057,60.9
Union,3961,17.9,3960,22.8,2384,51.1
Unknown,44251,N/A,44222,N/A,23741,N/A
Vermilion,6351,10.7,6349,14.3,3865,41.1
Vernon,4872,10.3,4872,13.6,2475,41.2
Washington,7279,15.8,7272,20.7,4470,52.3
Webster,6062,15.8,6061,20.4,3834,49.4
West Baton Rouge,4371,16.5,4366,21.7,2097,55.5
West Carroll,2419,22.3,2419,28.8,1418,67.4
West Feliciana,4999,32.1,4998,38.4,2585,99.9
Winn,2425,17.4,2423,21.9,1350,50.8
