County Level Vaccination Data for Maine
Date generated: Thu Apr 08 2021 14:17:06 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Androscoggin,19636,18.1,19622,23.1,11150,56.7
Aroostook,18820,28.1,18776,34.3,11181,66.9
Cumberland,76558,26,76492,31.7,42221,75.2
Franklin,6135,20.3,6134,24.7,4124,60.2
Hancock,14893,27.1,14888,32.6,9738,70.1
Kennebec,25784,21.1,25763,26,14991,59.6
Knox,10412,26.2,10409,31.8,7107,68.6
Lincoln,9721,28.1,9718,33.7,7052,72.2
Oxford,11440,19.7,11438,24.1,7198,55
Penobscot,37558,24.7,37537,30.1,19616,67.4
Piscataquis,3933,23.4,3932,28.1,2522,54.9
Sagadahoc,9258,25.8,9248,31.8,6052,74.2
Somerset,10331,20.5,10326,25.2,6398,59.4
Unknown,15120,N/A,15109,N/A,5523,N/A
Waldo,9281,23.4,9280,28.6,6127,66.2
Washington,10415,33.2,10407,40.9,5657,72.6
York,47608,22.9,47580,28.1,28445,64.8
