County Level Vaccination Data for Minnesota
Date generated: Thu Apr 08 2021 14:19:02 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aitkin,4963,31.2,4954,37.3,3425,63.7
Anoka,59971,16.8,59894,22,29582,57.1
Becker,10044,29.2,10031,38.4,5200,71.5
Beltrami,13041,27.6,13018,36.8,5704,73.4
Benton,5838,14.3,5826,19.1,2757,47.1
Big Stone,1764,35.3,1760,45,1063,79.4
Blue Earth,14545,21.5,14516,26.8,7483,77.7
Brown,6811,27.2,6800,34.8,4242,79.5
Carlton,10810,30.1,10803,38.7,4815,76.9
Carver,20069,19.1,20013,25.9,9368,70.7
Cass,7321,24.6,7316,31,4732,60
Chippewa,2908,24.6,2903,32.4,1806,70.4
Chisago,10605,18.7,10598,24.2,5925,66.3
Clay,10699,16.7,10677,22.1,5449,63.4
Clearwater,2046,23.2,2044,30.8,1186,65.7
Cook,2350,43,2349,50.6,1356,84.7
Cottonwood,2927,26.1,2922,34.6,1813,70
Crow Wing,16607,25.5,16600,32.4,10518,70.4
Dakota,87497,20.4,87348,26.9,43007,68.3
Dodge,5085,24.3,5078,32.6,2249,70.9
Douglas,10213,26.8,10199,34.1,6524,73.1
Faribault,3225,23.6,3225,30.3,2216,69.8
Fillmore,6400,30.4,6398,40.3,3504,78.4
Freeborn,7052,23.3,7044,29.8,4746,69.5
Goodhue,12320,26.6,12307,34.1,6943,74.4
Grant,1615,27,1610,34.8,1028,71.7
Hennepin,277326,21.9,276887,28,134793,73.4
Houston,3373,18.1,3369,23.2,1884,46
Hubbard,4773,22.2,4770,28.2,3275,60.4
Isanti,5214,12.8,5211,16.8,3014,44.8
Itasca,11536,25.6,11517,32.2,7323,67.3
Jackson,2187,22.2,2184,28.2,1380,60.7
Kanabec,3230,19.8,3219,25.1,1910,55.8
Kandiyohi,8858,20.5,8854,27.2,5391,65.4
Kittson,1107,25.8,1101,32.9,702,65.7
Koochiching,3040,24.9,3039,30.2,2062,63.2
Lac qui Parle,2182,32.9,2177,41.4,1195,64.7
Lake,2802,26.3,2800,32.5,1745,61.1
Lake of the Woods,1072,28.7,1072,35.2,671,70.7
Le Sueur,5154,17.8,5147,23.4,3101,60.6
Lincoln,1468,26,1466,33.9,851,60.1
Lyon,5879,23.1,5858,31,3191,76.1
Mahnomen,2142,38.8,2141,56.8,938,98.3
Marshall,1786,19.1,1784,24.8,1083,52
Martin,5098,25.9,5094,33.1,3217,67.8
McLeod,7493,20.9,7476,27,4381,63.8
Meeker,4555,19.6,4549,25.8,2916,61.2
Mille Lacs,5875,22.4,5867,29.3,3420,70
Morrison,6986,20.9,6985,27.3,4368,65.4
Mower,9480,23.7,9474,31.6,5546,74.8
Murray,2276,27.8,2275,35.3,1390,65.2
Nicollet,8113,23.7,8100,30.3,3959,69.2
Nobles,6265,29,6262,40,2705,74.6
Norman,1998,31.3,1994,41.3,924,67.4
Olmsted,52645,33.3,52540,43.9,19470,77.2
Otter Tail,13466,22.9,13442,29.3,9037,62.9
Pennington,2713,19.2,2708,24.8,1604,60.3
Pine,5923,20,5920,24.8,3661,57.6
Pipestone,2245,24.6,2245,33.3,1407,74.3
Polk,6365,20.3,6350,26.8,3238,56.1
Pope,3008,26.7,3003,33.8,1941,69.7
Ramsey,115250,20.9,115121,27.3,56703,69.3
Red Lake,995,24.5,993,32.3,587,67.2
Redwood,3471,22.9,3470,30.5,2147,65.6
Renville,3501,24.1,3495,31.3,2174,70.9
Rice,14879,22.2,14837,28.3,8310,78.5
Rock,2246,24.1,2241,32.1,1436,75.1
Roseau,2874,19,2868,24.9,1896,68.9
Scott,26928,18.1,26855,24.7,11732,69.4
Sherburne,13102,13.5,13092,18.2,6481,56.9
Sibley,2698,18.2,2696,23.5,1659,59
St. Louis,56702,28.5,56631,35.1,29358,73.5
Stearns,33478,20.8,33443,27,17542,70.4
Steele,7177,19.6,7172,26,4387,65.4
Stevens,2222,22.7,2213,28.7,1220,71.7
Swift,2498,27,2493,35.1,1562,75.1
Todd,4493,18.2,4486,23.9,3025,55.5
Traverse,1015,31.1,1011,39.2,599,72.3
Unknown,58025,N/A,57954,N/A,23552,N/A
Wabasha,6810,31.5,6793,40.1,3968,81.3
Wadena,3063,22.4,3060,30.2,1954,66.9
Waseca,3805,20.4,3802,26.6,2366,68.4
Washington,55977,21.3,55890,28.1,28257,69.1
Watonwan,2220,20.4,2217,26.9,1397,62.5
Wilkin,980,15.8,980,20.4,587,48.1
Winona,12436,24.6,12399,29.9,6636,74.6
Wright,22817,16.5,22792,22.8,11778,65.5
Yellow Medicine,2826,29.1,2820,37.8,1650,81.7
