County Level Vaccination Data for Missouri
Date generated: Thu Apr 08 2021 14:20:05 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adair,5576,22,5558,26.7,2284,59.7
Andrew,2827,16,2826,20.7,1447,42.1
Atchison,1517,29.5,1517,36.9,852,63.3
Audrain,3951,15.6,3949,20.1,2327,50.4
Barry,5441,15.2,5439,19.7,3620,48.1
Barton,1353,11.5,1353,15,862,34.6
Bates,2698,16.7,2698,21.7,1582,50
Benton,4752,24.4,4752,29.6,3222,53.1
Bollinger,1763,14.5,1763,18.4,1027,40.2
Boone,41855,23.2,41783,29.1,16293,70.6
Buchanan,12760,14.6,12757,18.8,6234,42.7
Butler,5567,13.1,5565,17.1,3135,38.5
Caldwell,1422,15.8,1422,20.5,836,46.2
Callaway,8027,17.9,8016,22.6,3833,51.3
Camden,8439,18.2,8436,22.1,5317,39.7
Cape Girardeau,16170,20.5,16158,26,8517,63.1
Carroll,2042,23.5,2042,30.4,1152,60.1
Carter,838,14,838,18.2,496,39.7
Cass,19380,18.3,19353,24,10016,54.6
Cedar,2160,15.1,2160,19.8,1445,42.5
Chariton,1361,18.3,1360,23.7,795,44
Christian,13846,15.6,13837,20.8,7535,53
Clark,827,12.2,827,15.7,523,35.8
Clay,45616,18.3,45535,23.9,20611,57.1
Clinton,3297,16.2,3293,21,1699,45.9
Cole,16735,21.8,16725,28,8436,63.5
Cooper,3514,19.8,3507,25.2,1793,55.2
Crawford,2752,11.5,2750,14.8,1732,36
Dade,1310,17.3,1310,21.9,882,48.9
Dallas,2361,14,2360,18.3,1529,43.6
Daviess,1194,14.4,1193,19.3,641,36.6
DeKalb,1296,10.3,1295,12.4,748,36
Dent,1973,12.7,1971,16.3,1216,35
Douglas,1101,8.4,1101,10.7,761,23.2
Dunklin,3567,12.2,3567,16.4,1867,34.1
Franklin,16333,15.7,16321,20.3,9571,51.1
Gasconade,3303,22.5,3299,28.2,2174,64
Gentry,1474,22.4,1471,29.9,805,61.6
Greene,52173,17.8,52120,22.4,28431,57.9
Grundy,1720,17.5,1720,23,1078,48.9
Harrison,1539,18.4,1539,24.3,887,46.6
Henry,4225,19.4,4222,24.7,2503,51.9
Hickory,1955,20.5,1953,24.6,1413,44.5
Holt,1065,24.2,1065,30.3,611,52.9
Howard,2079,20.8,2079,26.6,1097,55.7
