County Level Vaccination Data for Montana
Date generated: Thu Apr 08 2021 14:20:37 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Beaverhead,2263,23.9,2263,29,1381,65.5
Big Horn,4778,35.9,4685,52.9,1449,81.6
Blaine,2986,44.7,2939,62.4,913,86.3
Broadwater,948,15.2,947,18.9,649,43.3
Carbon,2246,20.9,2245,25.2,1418,49.4
Carter,210,16.8,209,21.3,132,40.4
Cascade,18216,22.4,18181,28.8,8946,57.5
Chouteau,1040,18.5,1040,23.8,555,46.5
Custer,2389,21,2386,26.4,1360,57.6
Daniels,407,24.1,407,30.4,216,45.2
Dawson,1871,21.7,1870,27.6,1003,57
Deer Lodge,2670,29.2,2667,33.8,1480,66
Fallon,526,18.5,526,25.4,272,56.2
Fergus,2354,21.3,2354,26.8,1522,54.6
Flathead,15348,14.8,15330,18.9,9161,43.6
Gallatin,18616,16.3,18571,20.2,8248,54.9
Garfield,173,13.8,173,17.9,111,36.6
Glacier,6312,45.9,6306,66.8,2166,99.9
Golden Valley,182,22.2,182,28.2,139,61
Granite,616,18.2,614,21.3,401,37.5
Hill,4310,26.1,4303,36.2,1676,66.5
Jefferson,2409,19.7,2402,24.7,1496,55
Judith Basin,308,15.3,308,19.1,223,40.5
Lake,9037,29.7,8970,38.4,4800,69.6
Lewis and Clark,16935,24.4,16879,30.9,8798,65.3
Liberty,449,19.2,449,24.1,252,48.8
Lincoln,3429,17.2,3427,20.9,2286,38.7
Madison,1679,19.5,1678,23,1214,47.8
McCone,117,7,117,8.9,78,17.3
Meagher,520,27.9,520,34.4,281,47.7
Mineral,1060,24.1,1059,29.4,675,51.9
Missoula,29359,24.5,29250,30,12934,66.9
Musselshell,706,15.2,706,18.7,461,36
Park,3250,19.6,3246,23.6,1806,45.8
Petroleum,103,21.1,103,25.4,66,52.8
Phillips,882,22.3,877,29.1,521,56.9
Pondera,1472,24.9,1470,32.8,730,60
Powder River,156,9.3,156,11.2,108,23.2
Powell,1396,20.3,1396,23.7,782,53.4
Prairie,217,20.1,217,24.7,141,39.1
Ravalli,8851,20.2,8843,24.8,5623,48.4
Richland,1734,16.1,1733,21.4,903,54.4
Roosevelt,2345,21.3,2344,32,950,73.5
Rosebud,3602,40.3,3585,56.3,1223,83.1
Sanders,2155,17.8,2149,21.5,1545,39.4
Sheridan,887,26.8,887,33.9,547,71
Silver Bow,10441,29.9,10402,37.4,4905,72
Stillwater,1983,20.6,1982,26.1,1204,53.1
Sweet Grass,616,16.5,615,20.7,433,42.2
Teton,1019,16.6,1019,21.9,658,46.1
Toole,920,19.4,920,24.5,492,53.4
Treasure,203,29.2,203,37,140,69.7
Unknown,8309,N/A,8307,N/A,3827,N/A
Valley,1526,20.6,1521,26.6,868,49.4
Wheatland,356,16.7,356,21.3,239,44.2
Wibaux,153,15.8,153,19.8,102,40.8
Yellowstone,33883,21,33784,27.3,17074,60.8
