County Level Vaccination Data for Nevada
Date generated: Thu Apr 08 2021 14:21:19 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Carson City,11929,21.3,11924,26.8,7421,64.1
Churchill,4586,18.4,4585,23.9,2729,57.3
Clark,410099,18.1,409756,23.5,186311,54.4
Douglas,10458,21.4,10457,25.5,7769,53.6
Elko,7408,14,7404,19.3,3277,52.7
Esmeralda,134,15.3,134,17.9,82,26.3
Eureka,321,15.8,321,20.9,127,38.3
Humboldt,3245,19.3,3242,26.3,1289,53.1
Lander,937,16.9,937,22.9,372,42
Lincoln,989,19.1,989,23.8,583,44.5
Lyon,7069,12.3,7069,15.6,4689,38.5
Mineral,1254,27.8,1254,34.6,656,57.3
Nye,7578,16.3,7576,19.5,5633,40
Pershing,753,11.2,753,13.4,362,32.8
Storey,304,7.4,304,8.4,219,16.5
Unknown,19571,N/A,19560,N/A,6362,N/A
Washoe,96861,20.5,96778,26.1,49413,62.3
White Pine,2539,26.5,2538,33.2,1112,63.4
