County Level Vaccination Data for New Hampshire
Date generated: Thu Apr 08 2021 14:21:59 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Belknap,10862,17.7,10849,21.7,6883,49.2
Carroll,12117,24.8,12109,29.2,8153,57.5
Cheshire,14969,19.7,14929,23.9,8860,56.3
Coos,8445,26.8,8439,31.9,4810,62.9
Grafton,22499,25,22463,29.7,11709,61
Hillsborough,54710,13.1,54592,16.4,29217,43.2
Merrimack,28990,19.1,28933,23.6,15190,53.7
Rockingham,55826,18,55703,22.2,32021,55.7
Strafford,19157,14.7,19108,17.9,9543,47.3
Sullivan,8097,18.8,8084,23,4489,47.1
Unknown,57415,N/A,57319,N/A,26281,N/A
