County Level Vaccination Data for New Mexico
Date generated: Thu Apr 08 2021 14:22:55 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Bernalillo,100690,14.8,100456,18.8,43336,37.7
Catron,455,12.9,455,14.6,309,20.2
Chaves,8414,13,8400,17.6,4222,40.5
Cibola,8215,30.8,8056,39.3,2233,50
Colfax,2167,18.1,2157,22,963,29.5
Curry,4856,9.9,4855,13.4,1297,20.6
De Baca,338,19.3,338,24.9,207,41.3
Doña Ana,37574,17.2,37469,22.7,15698,44.3
Eddy,6961,11.9,6938,16.2,2775,32.5
Grant,5034,18.6,5026,23.1,2981,38.6
Guadalupe,275,6.4,273,8,113,13.2
Harding,118,18.9,117,21.1,57,23.3
Hidalgo,774,18.4,767,23.6,369,39.1
Lea,6351,8.9,6318,12.7,1573,19.5
Lincoln,3572,18.3,3558,22.2,1696,29.7
Los Alamos,3847,19.9,3845,25.5,1580,45.1
Luna,3878,16.4,3869,22,2083,41.4
McKinley,27206,38.1,25850,50.4,6144,66.8
Mora,833,18.4,831,22.2,441,33.7
Otero,11842,17.5,11690,22.5,4637,39.7
Quay,1116,13.5,1116,17.2,605,28.5
Rio Arriba,9758,25.1,9618,32.1,3291,42.1
Roosevelt,1716,9.3,1712,12.2,634,23.4
San Juan,47579,38.4,46017,50.2,12967,66.9
San Miguel,4712,17.3,4689,20.8,1967,31.9
Sandoval,33448,22.8,33160,29.3,13301,49.1
Santa Fe,28357,18.9,28299,22.8,15690,41.2
Sierra,2046,19,2046,22.5,1301,32.2
Socorro,3217,19.3,3153,24.4,1087,32.6
Taos,6750,20.6,6696,24.8,3669,40.7
Torrance,1446,9.4,1446,11.7,877,26.4
Union,428,10.5,418,12.7,138,15.6
Unknown,184772,N/A,184436,N/A,62814,N/A
Valencia,11896,15.5,11876,20.2,5649,40.4
