County Level Vaccination Data for New York
Date generated: Thu Apr 08 2021 14:23:23 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Albany,87164,28.5,86873,34.8,36012,67.6
Allegany,7254,15.7,7250,19.7,4043,44.6
Bronx,230020,16.2,229822,21.5,83734,44.4
Broome,46070,24.2,45950,29.9,22764,61.6
Cattaraugus,15756,20.7,15745,26.5,7798,51.9
Cayuga,18094,23.6,18049,29.3,8582,56.5
Chautauqua,26542,20.9,26530,26.2,13577,51.7
Chemung,19944,23.9,19889,30.2,9159,56.2
Chenango,9384,19.9,9376,25,4963,50.4
Clinton,27131,33.7,27015,40.9,11031,77.6
Columbia,14863,25,14849,30.1,8113,56
Cortland,10364,21.8,10344,26.9,4438,55.2
Delaware,7750,17.6,7749,21,4267,38.4
Dutchess,63541,21.6,63439,26.5,28989,54.3
Erie,214622,23.4,214079,29.2,97316,57.6
Essex,12118,32.9,12061,38.9,5673,63.4
Franklin,14686,29.4,14636,36.2,6103,69.9
Fulton,10078,18.9,10068,23.6,5037,46.8
Genesee,11891,20.8,11876,26,6358,57.5
Greene,9012,19.1,9007,22.8,4731,44.1
Hamilton,2185,49.5,2182,57.2,1252,89
Herkimer,15123,24.7,15091,30.9,7702,59.2
Jefferson,31574,28.7,31485,37.7,11435,73.2
Kings,406496,15.9,406023,20.5,135469,36.8
Lewis,5539,21.1,5535,27.3,2873,57.5
Livingston,12668,20.1,12655,24.4,6206,53.8
Madison,16825,23.7,16770,29.2,6998,52.2
Monroe,186235,25.1,185622,31.5,79055,59.7
Montgomery,11823,24,11806,31.1,6311,67.8
Nassau,357541,26.3,356911,33.5,150782,61.1
New York,424388,26.1,423719,30.3,159184,57.7
Niagara,45085,21.5,45004,26.9,22068,54
Oneida,60115,26.3,59922,33.3,26957,61.5
Onondaga,133064,28.9,132517,36.5,52827,65.4
Ontario,29058,26.5,28964,32.9,14205,62.8
Orange,72044,18.7,71957,25.1,28091,50.9
Orleans,6583,16.3,6580,20.2,3483,46.9
Oswego,25222,21.5,25177,27.2,10879,55.3
Otsego,12723,21.4,12690,25.3,6729,52
Putnam,23645,24,23613,29.8,10503,59.2
Queens,457670,20.3,457194,25.4,164377,44.6
Rensselaer,39649,25,39527,30.9,17400,62.6
Richmond,100251,21.1,100148,26.9,42345,53.4
Rockland,67002,20.6,66897,28.7,30108,58.2
Saratoga,66023,28.7,65739,35.6,28675,66.3
Schenectady,38392,24.7,38267,31.4,16906,62.7
Schoharie,5468,17.6,5459,21.3,2959,42
Schuyler,5055,28.4,5052,34.8,2585,66.1
Seneca,7243,21.3,7218,26.5,3711,55.6
St. Lawrence,31520,29.3,31402,36.5,13177,68.1
Steuben,19453,20.4,19427,25.9,9661,50.3
Suffolk,302132,20.5,301758,25.8,138983,54.3
Sullivan,13997,18.6,13956,23.4,6813,46.7
Tioga,10517,21.8,10491,27.4,5272,52.2
Tompkins,26654,26.1,26552,30.4,10719,69.5
Ulster,41911,23.6,41856,28.5,19882,54.9
Unknown,124122,N/A,124022,N/A,38935,N/A
Warren,20317,31.8,20262,38.7,9471,64.5
Washington,13435,22,13415,26.9,6834,55.6
Wayne,20132,22.4,20076,28.3,9245,52.7
Westchester,246675,25.5,245774,32.5,102683,60.9
Wyoming,7098,17.8,7095,21.9,3774,50.8
Yates,5813,23.3,5812,29.9,3291,61.9
