County Level Vaccination Data for North Dakota
Date generated: Thu Apr 08 2021 14:24:23 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,703,31.7,703,39.3,391,61.9
Barnes,3079,29.6,3073,36.7,1605,66.3
Benson,1259,18.4,1256,28.4,574,58.3
Billings,81,8.7,81,11,41,19.4
Bottineau,1987,31.6,1983,40.1,1114,72.3
Bowman,598,19.8,597,26.1,407,60.7
Burke,408,19.3,408,25.6,260,57.9
Burleigh,21093,22.1,21058,28.7,9963,62.8
Cass,48409,26.6,48284,34.3,16567,73.1
Cavalier,1380,36.7,1376,47.3,716,69.4
Dickey,1230,25.2,1229,33.4,752,74.5
Divide,512,22.6,511,29.5,265,46.2
Dunn,461,10.4,461,13.9,271,38
Eddy,765,33.4,761,43.5,392,72.5
Emmons,633,19.5,630,24.2,420,46.1
Foster,866,27,863,34.3,477,65.6
Golden Valley,291,16.5,290,21,174,38.6
Grand Forks,16461,23.7,16420,30,6541,70.7
Grant,218,9.6,217,12,157,22.6
Griggs,721,32.3,721,40.9,408,60.4
Hettinger,548,21.9,547,29.2,349,63.3
Kidder,393,15.8,393,20,251,39.8
LaMoure,1036,25.6,1034,32.6,644,57.9
Logan,336,18.2,336,23.4,241,49
McHenry,1224,21.3,1223,27.9,753,62.6
McIntosh,594,23.8,594,29.2,394,49.1
McKenzie,1334,8.9,1330,13,543,41
McLean,2239,23.7,2237,30.3,1289,56.3
Mercer,1468,17.9,1468,23.3,935,56.9
Morton,5912,18.8,5899,24.5,3197,60.1
Mountrail,2011,19.1,2005,26.3,713,58.2
Nelson,1313,45.6,1311,56.5,697,91.2
Oliver,248,12.7,248,16.9,177,39.9
Pembina,1933,28.4,1929,35.7,1101,67.9
Pierce,1131,28.5,1129,36.8,608,64.3
Ramsey,3881,33.7,3867,43.7,1706,73
Ransom,1648,31.6,1645,40.6,922,83.3
Renville,435,18.7,435,24.1,281,58.2
Richland,3791,23.4,3787,30,2038,67.5
Rolette,5397,38.1,5206,55.4,1295,74.9
Sargent,1069,27.4,1066,34.9,661,74.9
Sheridan,307,23.3,307,28.4,202,45.1
Sioux,659,15.6,659,24.3,196,54.6
Slope,49,6.5,49,8.2,34,19.1
Stark,5224,16.6,5199,22.7,2457,56.2
Steele,507,26.8,504,34.2,269,56.5
Stutsman,5741,27.7,5731,34.6,2609,63.2
Towner,663,30.3,659,38.4,326,59
Traill,1791,22.3,1790,28.8,944,58.8
Unknown,7432,N/A,7420,N/A,2313,N/A
Walsh,2702,25.4,2696,32.9,1482,64.7
Ward,13839,20.5,13816,26.8,5831,65.3
Wells,891,23.2,891,29.2,554,50.3
Williams,3951,10.5,3950,14.9,1905,55.1
