County Level Vaccination Data for Oregon
Date generated: Thu Apr 08 2021 14:25:46 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Baker,6513,40.4,6483,50.2,3930,92.1
Benton,21965,23.6,21877,28,10337,66.1
Clackamas,77591,18.6,77296,23.5,36314,46.3
Clatsop,6770,16.8,6765,20.7,3317,35.2
Columbia,8418,16.1,8409,20.3,4622,46
Coos,10117,15.7,10107,19.2,5476,32
Crook,4131,16.9,4129,21.1,2724,44.4
Curry,3938,17.2,3935,20,2666,33.2
Deschutes,45193,22.9,45094,28.4,24921,61.6
Douglas,20606,18.6,20594,23,12806,43.9
Gilliam,391,20.4,390,25.2,241,45.6
Grant,992,13.8,991,16.7,577,25.5
Harney,1667,22.5,1665,28.2,955,51.8
Hood River,6682,28.6,6672,37.3,2273,59.7
Jackson,37446,16.9,37355,21.2,19918,40
Jefferson,5560,22.5,5559,29.4,2296,47
Josephine,13758,15.7,13734,19.5,8506,36.9
Klamath,13729,20.1,13715,25.6,8068,54.6
Lake,1546,19.6,1546,24.3,920,45.9
Lane,79607,20.8,79450,25.4,43028,56.5
Lincoln,11500,23,11481,27.5,6686,45.6
Linn,22562,17.4,22523,22.3,12088,48.9
Malheur,5365,17.5,5359,23.7,2799,54.5
Marion,65842,18.9,65669,25,31439,55.9
Morrow,1830,15.8,1829,21.7,998,51.3
Multnomah,177696,21.9,177161,26.7,66986,59.3
Polk,18922,22,18875,28.2,9197,57.8
Sherman,435,24.4,434,30.1,222,49
Tillamook,4799,17.8,4795,21.8,2774,38.9
Umatilla,14709,18.9,14619,25,6702,53.6
Union,5125,19.1,5120,24.4,2887,50.1
Unknown,16430,N/A,16414,N/A,5279,N/A
Wallowa,1980,27.5,1978,33.8,1240,57.9
Wasco,6001,22.5,5992,28.8,2865,51.2
Washington,106153,17.6,105756,22.7,42684,51.2
Wheeler,475,35.7,475,41.4,304,62.8
Yamhill,18107,16.9,18076,21.6,8291,43.4
