County Level Vaccination Data for Puerto Rico
Date generated: Thu Apr 08 2021 14:26:42 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adjuntas,2194,12.6,2194,15.4,1257,42.6
Aguada,3942,10.7,3940,13.1,1705,27.3
Aguadilla,6997,13.9,6993,17,3096,36.2
Aguas Buenas,2831,11.4,2831,13.9,1350,32
Aibonito,4550,20.6,4546,25.1,2715,72.2
Arecibo,13239,16.2,13228,19.7,5441,39
Arroyo,1837,10.7,1837,13,938,32
Añasco,2839,10.9,2838,13.2,1410,31.7
Barceloneta,2717,11.5,2717,14,960,23.8
Barranquitas,4033,14.5,4032,17.7,1867,39.6
Bayamón,28595,16.9,28592,20.6,13400,46.6
Cabo Rojo,6214,13.1,6206,15.9,2959,36.6
Caguas,17674,14.2,17670,17.3,8471,40
Camuy,3647,12,3645,14.6,1284,24.8
Canóvanas,5217,11.7,5212,14.2,1941,25.6
Carolina,20456,13.9,20448,17,8961,35.9
Cataño,2832,12.2,2832,14.9,1374,35
Cayey,6305,14.9,6298,18.1,3046,42.2
Ceiba,1225,11.2,1225,13.7,616,33.2
Ciales,2175,13.8,2175,16.8,1033,38.4
Cidra,4671,12.2,4668,14.8,1983,30.5
Coamo,5989,15.6,5988,19,3604,55.3
Comerío,1778,9.5,1778,11.6,490,15.5
Corozal,3778,11.7,3776,14.2,1624,29.6
Culebra,49,2.9,49,3.5,24,8.2
Dorado,4588,12.7,4587,15.5,1745,28.4
Fajardo,4185,14.2,4185,17.3,2010,40.1
Florida,1564,13.8,1564,16.8,796,41.4
Guayama,3755,9.5,3753,11.6,1850,27.6
Guayanilla,2240,12.7,2240,15.5,1047,34.9
Guaynabo,16080,19.2,16071,23.4,7523,52.9
Gurabo,5016,10.7,5016,13,2057,25.7
Guánica,1782,11.6,1782,14.1,989,37.8
Hatillo,5323,13.6,5319,16.5,2458,36.9
Hormigueros,2551,16.4,2550,20,1429,54.2
Humacao,6394,12.6,6394,15.4,3376,39.2
Isabela,3956,9.8,3956,11.9,1651,24
Jayuya,1540,11.1,1540,13.5,922,39.1
Juana Díaz,5797,13,5797,15.8,2702,35.6
Juncos,4139,10.8,4138,13.2,1896,29.2
Lajas,3270,14.9,3270,18.1,1860,49.7
Lares,4824,19.9,4822,24.2,2338,56.7
Las Marías,1586,20,1586,24.4,1023,75.9
Las Piedras,4005,10.8,4005,13.2,1955,31.1
Loíza,2218,9,2217,11,625,15
Luquillo,1500,8.5,1500,10.3,670,22.3
Manatí,5200,13.9,5197,17,2490,39.3
Maricao,514,9.5,514,11.5,202,21.9
Maunabo,1026,9.9,1026,12.1,538,30.7
Mayagüez,11849,16.6,11844,20.2,6465,53.2
Moca,5464,15.7,5461,19.1,2627,44.3
Morovis,3108,10.2,3108,12.5,1092,21.2
Naguabo,2027,7.9,2027,9.6,941,21.5
Naranjito,3636,13.3,3635,16.2,1411,30.4
Orocovis,2213,10.9,2213,13.3,641,18.6
Patillas,1363,8.4,1363,10.2,616,22.4
Peñuelas,2236,11.6,2236,14.2,999,30.5
Ponce,25104,19,25095,23.2,12631,56.3
Quebradillas,3290,14.4,3290,17.5,1618,41.5
Rincón,1191,8.7,1191,10.6,569,24.5
Río Grande,5181,10.8,5180,13.1,2330,28.5
Sabana Grande,3807,17.5,3807,21.4,2169,58.8
Salinas,3944,14.5,3944,17.7,2324,50.4
San Germán,4111,13.6,4110,16.6,2169,42.2
San Juan,48871,15.3,48843,18.7,22764,42.1
San Lorenzo,3201,8.9,3197,10.8,1213,19.8
San Sebastián,8220,23.1,8217,28.2,4761,78.8
Santa Isabel,2018,9.5,2016,11.6,671,18.6
Toa Alta,7827,10.9,7824,13.2,2686,21.9
Toa Baja,8790,11.8,8786,14.4,4046,32
Trujillo Alto,8160,12.8,8155,15.6,3726,34.4
Unknown,20547,N/A,20540,N/A,13180,N/A
Utuado,3777,13.8,3776,16.8,1905,40.9
Vega Alta,3891,10.8,3886,13.1,1927,31.4
Vega Baja,6191,12.4,6186,15.1,2766,32.5
Vieques,3097,36.9,3097,45,1087,76.2
Villalba,5277,24.7,5276,30.1,2862,78.8
Yabucoa,2819,8.7,2819,10.6,1354,24.7
Yauco,4834,14.4,4833,17.5,2461,43.1
