County Level Vaccination Data for South Carolina
Date generated: Thu Apr 08 2021 14:27:29 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Abbeville,4429,18.1,4425,22.5,2870,52.3
Aiken,28981,17,28952,21.6,17321,51
Allendale,1138,13.1,1138,16.2,779,42.8
Anderson,31616,15.6,31586,20.2,19629,52.9
Bamberg,2186,15.5,2186,19.1,1474,46.8
Barnwell,3323,15.9,3321,20.8,2003,50.8
Beaufort,49042,25.5,48968,31.2,35279,65.6
Berkeley,27953,12.3,27931,16.1,16091,49.9
Calhoun,1921,13.2,1919,16.2,1213,34.8
Charleston,91048,22.1,90968,27.5,45375,65
Cherokee,6016,10.5,6011,13.6,3785,38.6
Chester,4731,14.7,4730,18.9,2921,47.2
Chesterfield,6474,14.2,6468,18.1,3908,45
Clarendon,6669,19.8,6658,24.3,4049,49.6
Colleton,5129,13.6,5126,17.5,3402,43.6
Darlington,12324,18.5,12313,23.7,7539,58
Dillon,4678,15.3,4674,20.5,2777,53.1
Dorchester,22129,13.6,22111,17.9,13033,55.1
Edgefield,5335,19.6,5332,23.8,3132,59.1
Fairfield,3881,17.4,3877,21.4,2687,53.6
Florence,27364,19.8,27335,25.8,14692,61.1
Georgetown,15134,24.1,15123,29.4,10327,57.6
Greenville,86889,16.6,86758,21.5,51228,60.6
Greenwood,14163,20,14155,25.8,9176,68.7
Hampton,3501,18.2,3500,23.1,2175,60.3
Horry,77352,21.8,77296,26.5,54431,61.3
Jasper,2921,9.7,2918,12.1,1864,30.8
Kershaw,10199,15.3,10191,19.9,5958,47.9
Lancaster,13673,14,13663,17.8,8868,42.2
Laurens,10068,14.9,10061,19.1,6586,51.9
Lee,2514,14.9,2514,18.6,1640,49.5
Lexington,50925,17,50855,22.1,28768,59.4
Marion,5198,17,5195,21.9,3167,49.9
Marlboro,4328,16.6,4325,20.7,2379,48.9
McCormick,3053,32.3,3053,36.4,2470,73.3
Newberry,7752,20.2,7738,25.6,4747,60.9
Oconee,15408,19.4,15398,24.1,11014,58.8
Orangeburg,14865,17.2,14855,22,9111,51.9
Pickens,21104,16.6,21082,20.4,13289,62.6
Richland,71395,17.2,71287,21.8,35315,64.4
Saluda,2030,9.9,2030,12.6,1327,31.9
Spartanburg,41950,13.1,41900,17,25614,48.8
Sumter,18241,17.1,18222,22.4,9663,53.7
Union,3565,13.1,3563,16.6,2646,47
Unknown,59930,N/A,59876,N/A,33148,N/A
Williamsburg,6732,22.2,6729,27.8,3648,55.2
York,33794,12,33745,15.8,17630,42.6
