County Level Vaccination Data for South Dakota
Date generated: Thu Apr 08 2021 14:27:53 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aurora,401,14.6,401,19.4,274,48.2
Beadle,2662,14.4,2662,19.8,1590,48.5
Bennett,747,22.2,735,33,294,65.8
Bon Homme,1834,26.6,1833,32.9,881,61.4
Brookings,3742,10.7,3741,13.4,2302,52.6
Brown,9375,24.1,9359,31.6,4935,70.9
Brule,941,17.8,941,23.9,405,38.8
Buffalo,444,22.6,444,36.9,105,70.9
Butte,1260,12.1,1259,16,893,41.7
Campbell,225,16.4,225,19.6,162,40.2
Charles Mix,1770,19,1767,27.1,942,54.5
Clark,792,21.2,792,29,487,59.8
Clay,3795,27,3787,32.6,1614,91.1
Codington,3344,11.9,3343,15.6,2337,45.5
Corson,475,11.6,474,18.3,188,38.4
Custer,1524,17,1523,19.9,1128,39.7
Davison,2571,13,2570,16.9,1839,48.6
Day,1239,22.8,1238,29.4,780,54.9
Deuel,583,13.4,583,17.4,425,44.3
Dewey,1540,26.1,1522,41.6,441,75.3
Douglas,418,14.3,415,19.2,324,46.2
Edmunds,489,12.8,488,16.6,334,39.6
Fall River,1542,23,1542,27.6,1063,53
Faulk,508,22.1,507,29.7,342,63
Grant,1348,19.1,1342,24.6,868,57.5
Gregory,815,19.5,815,25.6,590,54.7
Haakon,237,12.5,237,16.3,184,38.3
Hamlin,649,10.5,649,15.6,471,49.4
Hand,554,17.4,554,22.2,398,48.5
Hanson,379,11,377,15.6,291,54.3
Harding,81,6.2,81,8.2,70,29.7
Hughes,2877,16.4,2876,21.6,1676,53.1
Hutchinson,1224,16.8,1221,22.4,925,55.4
Hyde,279,21.4,279,27.3,169,51.8
Jackson,610,18.2,587,26.9,222,49.2
Jerauld,401,19.9,401,26.1,289,52.7
Jones,211,23.4,210,29.7,145,67.4
Kingsbury,1364,27.6,1363,36.1,946,81.6
Lake,1774,13.9,1774,17.4,1089,36
Lawrence,4010,15.5,4006,18.8,2798,47.3
Lincoln,9457,15.5,9436,21.3,3713,45.4
Lyman,992,26.2,992,37.2,407,66.5
Marshall,976,19.8,976,26,634,60.6
McCook,1003,18,1000,24.8,603,57
McPherson,92,3.9,91,5.1,66,9.8
Meade,5646,19.9,5643,25.7,2298,50.7
Mellette,383,18.6,377,26.4,150,49.2
Miner,596,26.9,596,35.4,350,75.3
Minnehaha,44545,23.1,44450,30.8,19007,73
Moody,1373,20.9,1372,28.4,728,57.7
Oglala Lakota County,3755,26.5,3605,40.2,645,61.3
Pennington,19455,17.1,19419,22.1,9816,46.6
Perkins,390,13.6,390,17.2,282,37.1
Potter,370,17.2,370,21.8,313,49.8
Roberts,2669,25.7,2668,36.3,1154,56.2
Sanborn,327,14,327,18.6,238,50.2
Spink,1002,15.7,1002,20.4,697,51.6
Stanley,807,26,806,34.8,475,75.3
Sully,135,9.7,135,12.3,107,29.5
Todd,2372,23.3,2316,39,497,65.1
Tripp,811,14.9,810,19.5,530,42.8
Turner,1271,15.2,1268,20,805,44.9
Union,3248,20.4,3245,26.9,1641,55.4
Unknown,61599,N/A,61531,N/A,29414,N/A
Walworth,757,13.9,756,18.1,520,39.4
Yankton,6302,27.6,6289,34.9,3265,73.5
Ziebach,250,9.1,247,12.4,85,32.2
