County Level Vaccination Data for Vermont
Date generated: Thu Apr 08 2021 14:29:49 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Addison,6880,18.7,6870,22.4,4195,55.2
Bennington,4649,13.1,4646,16.1,2838,34.2
Caledonia,3406,11.4,3406,14,1912,28.9
Chittenden,34407,21,34355,25.4,17492,68.6
Essex,653,10.6,653,12.8,430,26.3
Franklin,4510,9.1,4507,11.7,2553,31
Grand Isle,1804,24.9,1803,30.4,1181,75.9
Lamoille,3843,15.2,3842,19,2307,50.8
Orange,4830,16.7,4821,20.4,2492,39.1
Orleans,4776,17.7,4774,21.9,2902,46.1
Rutland,14312,24.6,14292,29.8,8705,65.8
Unknown,36035,N/A,35982,N/A,20354,N/A
Washington,8236,14.1,8228,17.3,4590,39
Windham,7216,17.1,7207,20.7,4316,42.8
Windsor,9953,18.1,9942,22,4833,36.2
