County Level Vaccination Data for Virginia
Date generated: Thu Apr 08 2021 14:30:16 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Accomack,7929,24.5,7923,30.9,4791,60.4
Albemarle,9336,8.5,9314,10.6,4317,20.4
Alexandria,15293,9.6,15266,11.7,5682,29.3
Alleghany,227,1.5,227,1.9,132,3.5
Amelia,163,1.2,163,1.6,125,4.7
Amherst,3893,12.3,3889,15.3,1932,28.3
Appomattox,183,1.2,182,1.4,94,2.8
Arlington,26535,11.2,26494,13.7,6833,26
Augusta,8676,11.5,8665,14.1,4638,28
Bath,278,6.7,278,7.9,154,13.3
Bedford,6508,8.2,6505,10.2,3914,22.7
Bland,206,3.3,206,3.9,118,8
Botetourt,3167,9.5,3161,11.7,1697,21.8
Bristol,4185,25,4180,31.2,2389,65.9
Brunswick,2040,12.6,2036,15,1014,28.7
Buchanan,3219,15.3,3217,18.5,1500,31
Buckingham,690,4,690,4.9,364,10.5
Buena Vista,N/A,N/A,N/A,N/A,N/A,N/A
Campbell,3952,7.2,3950,8.9,1965,17.6
Caroline,1387,4.5,1386,5.8,753,14.5
Carroll,1069,3.6,1069,4.4,670,8.8
Charles City,129,1.9,129,2.2,69,3.9
Charlotte,543,4.6,542,5.8,327,12.2
Charlottesville,459,1,459,1.2,198,3.4
Chesapeake,8921,3.6,8900,4.8,3400,10.1
Chesterfield,35469,10.1,35420,13.1,16976,31.2
Clarke,2860,19.6,2857,24.3,1527,47.8
Colonial Heights,78,0.4,78,0.6,13,0.4
Covington,N/A,N/A,N/A,N/A,N/A,N/A
Craig,58,1.1,58,1.4,44,3.6
Culpeper,2231,4.2,2230,5.6,966,11.4
Cumberland,264,2.7,264,3.3,152,6.6
Danville,N/A,N/A,N/A,N/A,N/A,N/A
Dickenson,2094,14.6,2090,18.1,1239,37.7
Dinwiddie,2633,9.2,2631,11.5,1089,21.3
Emporia,N/A,N/A,N/A,N/A,N/A,N/A
Essex,606,5.5,605,6.8,372,14.3
Fairfax,177760,15.5,177243,20.1,75882,47.3
Fairfax,400,1.7,398,2.2,174,5
Falls Church,270,1.8,270,2.5,82,4
Fauquier,8720,12.2,8708,15.9,3892,32.2
Floyd,363,2.3,363,2.9,193,5.2
Fluvanna,4402,16.1,4396,20.1,2297,41
Franklin,6138,11,6130,13.5,3587,26.5
Franklin,N/A,N/A,N/A,N/A,N/A,N/A
Frederick,6445,7.2,6435,9.3,3297,20.7
Fredericksburg,482,1.7,480,2.1,168,4.9
Galax,N/A,N/A,N/A,N/A,N/A,N/A
Giles,1477,8.8,1475,11.1,755,20.2
Gloucester,7243,19.4,7238,24.2,4157,56.7
Goochland,4065,17.1,4060,20.6,2263,41.6
Grayson,1713,11,1712,13.2,830,21.1
Greene,141,0.7,141,0.9,89,2.5
Greensville,255,2.2,255,2.7,133,7.7
Halifax,2756,8.1,2756,10.2,1574,18.7
Hampton,17238,12.8,17222,16.2,7577,35.8
Hanover,12197,11.3,12183,14.4,5502,27.8
Harrisonburg,382,0.7,382,0.9,68,1.3
Henrico,26049,7.9,25992,10.1,12563,23.8
Henry,3431,6.8,3426,8.4,1860,15
Highland,613,28,612,32.2,428,55
Hopewell,N/A,N/A,N/A,N/A,N/A,N/A
Isle of Wight,2459,6.6,2455,8.4,1223,16.6
James City,2255,2.9,2249,3.7,1214,6.1
King George,900,3.4,897,4.4,311,8.6
King William,1900,11.1,1898,14.3,940,33.5
King and Queen,674,9.6,673,11.6,378,22.8
Lancaster,1915,18.1,1915,21.4,1443,37.1
Lee,4024,17.2,4014,21,2155,41.4
Lexington,N/A,N/A,N/A,N/A,N/A,N/A
Loudoun,51542,12.5,51289,17.2,17786,44.3
Louisa,458,1.2,458,1.5,281,3.7
Lunenburg,1960,16.1,1960,19.8,1016,36.7
Lynchburg,149,0.2,149,0.2,43,0.4
Madison,2587,19.5,2583,24.4,1292,42.6
Manassas,297,0.7,294,1,115,2.6
Manassas Park,43,0.2,42,0.3,11,0.7
Martinsville,N/A,N/A,N/A,N/A,N/A,N/A
Mathews,1931,21.9,1930,25.9,1369,49.2
Mecklenburg,1631,5.3,1630,6.6,907,11.5
Middlesex,2438,23,2435,27.4,1700,50.2
Montgomery,10590,10.7,10542,12.6,3985,30.6
Nelson,1673,11.2,1672,13.6,1146,27.3
New Kent,2181,9.4,2181,11.8,1157,28.3
Newport News,17847,10,17822,12.9,8168,34.2
Norfolk,30187,12.4,30115,15.4,11008,39.2
Northampton,2914,24.9,2911,30.9,1793,56.6
Northumberland,1438,11.9,1437,13.9,1083,23.9
Norton,N/A,N/A,N/A,N/A,N/A,N/A
Nottoway,1145,7.5,1144,9.3,647,22
Orange,784,2.1,783,2.7,452,5.9
Page,1137,4.8,1137,5.9,685,13.1
Patrick,1770,10.1,1769,12.2,1087,23
Petersburg,463,1.5,463,1.9,47,0.9
