County Level Vaccination Data for Washington
Date generated: Thu Apr 08 2021 14:30:39 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,2890,14.5,2889,22.5,1426,63
Asotin,4157,18.4,4157,23,3004,55.5
Benton,38115,18.6,38081,25.4,20034,63.7
Chelan,22837,29.6,22791,38.4,11090,73.1
Clallam,25294,32.7,25279,39.3,16139,68.5
Clark,89052,18.2,88934,23.8,51830,66.5
Columbia,854,21.4,854,26.1,549,48.4
Cowlitz,21618,19.5,21607,25.3,12862,60.2
Douglas,10142,23.4,10131,31.4,4817,61.1
Ferry,1897,24.9,1897,29.8,1071,49.7
Franklin,12200,12.8,12191,18.8,5308,57.7
Garfield,329,14.8,328,18.7,216,38.3
Grant,16080,16.5,16040,23.2,8571,62.4
Grays Harbor,17942,23.9,17932,30,10315,61.6
Island,20042,23.5,20026,28.7,12889,60
Jefferson,11851,36.8,11849,41.7,9518,77.8
King,486148,21.6,485352,26.9,210726,69.2
Kitsap,64367,23.7,64303,29.7,35323,70.8
Kittitas,10225,21.3,10214,25.6,5797,72.2
Klickitat,4914,21.9,4908,27.1,3323,60.4
Lewis,12500,15.5,12495,19.7,7574,44
Lincoln,2438,22.3,2435,28.4,1609,56.8
Mason,15569,23.3,15558,28.9,9818,63.1
Okanogan,13476,31.9,13461,41.5,6417,68.9
Pacific,5691,25.3,5678,29.8,4332,59.9
Pend Oreille,2011,14.7,2009,18.1,1404,38
Pierce,166664,18.4,166497,24,80210,62.5
San Juan,5206,29.6,5206,33.9,3854,62.3
Skagit,31163,24.1,31127,30.7,18748,67.5
Skamania,1853,15.3,1852,18.8,1155,43.2
Snohomish,155666,18.9,155467,24.4,71764,62.5
Spokane,109031,20.9,108877,26.7,55350,63.9
Stevens,5738,12.5,5731,15.9,3563,32.6
Thurston,61133,21,61090,26.7,32625,62.9
Unknown,69611,N/A,69464,N/A,26276,N/A
Wahkiakum,1133,25.2,1132,30.4,761,51.4
Walla Walla,16324,26.9,16288,33.8,7803,68.7
Whatcom,54209,23.6,54003,29.1,28933,70.2
Whitman,7375,14.7,7364,17.3,3710,69.1
Yakima,51568,20.6,51335,29,23624,67.1
