County Level Vaccination Data for West Virginia
Date generated: Thu Apr 08 2021 14:31:05 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Barbour,240,1.5,240,1.8,172,5.1
Berkeley,16577,13.9,16568,18.1,8096,45.1
Boone,3386,15.8,3381,19.9,2031,45.3
Braxton,941,6.7,941,8.3,607,18.4
Brooke,2444,11.1,2441,13.5,1449,26.9
Cabell,9104,9.9,9094,12.3,4222,23.6
Calhoun,529,7.4,529,9.1,298,16.3
Clay,1062,12.5,1062,16,623,34.6
Doddridge,123,1.5,123,1.7,80,4.3
Fayette,5891,13.9,5879,17.4,3152,34.2
Gilmer,1986,25.4,1986,29.6,672,48.5
Grant,846,7.3,844,9.1,526,18.1
Greenbrier,6370,18.4,6363,22.8,3594,44.2
Hampshire,2408,10.4,2406,12.7,1445,26.6
Hancock,2956,10.3,2952,12.6,1782,26
Hardy,1558,11.3,1555,14.2,933,30.1
Harrison,8378,12.5,8363,15.8,4455,33.5
Jackson,1843,6.4,1840,8.2,1237,20.7
Jefferson,5908,10.3,5903,13.2,3297,34.5
Kanawha,29149,16.4,29095,20.4,13871,36.8
Lewis,2695,16.9,2690,21.4,1460,43.4
Lincoln,1557,7.6,1557,9.8,880,21.6
Logan,5468,17.1,5452,21.4,2763,41
Marion,1832,3.3,1830,4.1,1192,10.8
Marshall,1506,4.9,1505,6.1,878,12.5
Mason,3310,12.5,3309,15.7,1948,34
McDowell,2038,11.6,2028,14.5,983,24.4
Mercer,10376,17.7,10364,22.2,5250,39.9
Mineral,4429,16.5,4428,20.5,2781,46.7
Mingo,3123,13.3,3122,17.2,1645,35.5
Monongalia,7441,7,7434,8.4,2987,21.4
Monroe,2278,17.2,2276,21.3,1269,37.6
Morgan,172,1,172,1.2,132,3.1
Nicholas,4536,18.5,4533,23.3,2534,45.2
Ohio,1216,2.9,1215,3.6,647,7
Pendleton,1517,21.8,1517,26.6,967,49.3
Pleasants,290,3.9,290,4.8,211,14.4
Pocahontas,1271,15.4,1271,18.6,794,36.8
Preston,6340,19,6336,23.4,3088,44.2
Putnam,3529,6.3,3524,8,1700,15.9
Raleigh,8781,12,8771,15.1,4600,29.6
Randolph,4931,17.2,4914,21.1,2732,42.8
Ritchie,1165,12.2,1165,15.2,737,33.6
Roane,204,1.5,204,1.9,137,4.4
Summers,935,7.4,929,8.8,548,16.7
Taylor,264,1.6,264,2,181,5.2
Tucker,1360,19.9,1356,23.3,735,40.1
Tyler,845,9.8,844,12.2,510,25.3
Unknown,183281,N/A,183025,N/A,93355,N/A
Upshur,738,3.1,738,3.8,521,10.3
Wayne,6241,15.8,6238,19.8,3413,39.9
Webster,1474,18.2,1473,22.5,878,45
Wetzel,658,4.4,656,5.4,434,12.4
Wirt,27,0.5,27,0.6,25,2.1
Wood,13032,15.6,13027,19.7,8361,47.9
Wyoming,5392,26.4,5365,33.1,2606,58.1
