County Level Vaccination Data for Wisconsin
Date generated: Thu Apr 08 2021 14:31:32 GMT-0700 (Pacific Daylight Time)

County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,4704,23.3,4703,27.1,3337,54.7
Ashland,4546,29.2,4545,37.5,2426,77
Barron,10193,22.5,10182,28.7,6249,61.2
Bayfield,6230,41.4,6227,50.1,3463,81.6
Brown,57930,21.9,57853,28.6,29873,73.2
Buffalo,2844,21.8,2839,27.4,1897,63.9
Burnett,3570,23.2,3566,28,2561,56.6
Calumet,9651,19.3,9642,25.1,5390,68.6
Chippewa,15066,23.3,15054,29.8,8696,73
Clark,4859,14,4856,19.8,3156,53.3
Columbia,13966,24.3,13942,30.7,8377,79.2
Crawford,4186,26,4181,32.4,2672,69.1
Dane,150790,27.6,150404,34.5,65038,83.6
Dodge,16223,18.5,16205,22.9,9912,62
Door,8583,31,8576,37,5937,70.4
Douglas,6578,15.2,6564,18.9,3668,44.3
Dunn,8127,17.9,8116,22.2,4722,64.7
Eau Claire,26094,24.9,26049,31.2,12548,74
Florence,1078,25.1,1077,29.3,725,62.4
Fond du Lac,22444,21.7,22414,27.5,12790,65.1
Forest,2671,29.7,2669,36.9,1504,72.4
Grant,11900,23.1,11885,29.1,7508,82.7
Green,9101,24.6,9087,31.5,5405,75.9
Green Lake,4538,24,4531,30.7,2975,69
Iowa,6398,27,6389,34.7,3779,82
Iron,1806,31.8,1806,37.4,1255,68.8
Jackson,4144,20.1,4143,25.7,2213,55.7
Jefferson,17856,21.1,17838,26.6,9788,65.4
Juneau,6203,23.2,6195,29,3891,69.9
Kenosha,36615,21.6,36564,27.8,16647,67.4
Kewaunee,4367,21.4,4364,27.2,2637,61.7
La Crosse,30171,25.6,30124,31.7,15420,77.4
Lafayette,4164,25,4160,32.8,2475,76.6
Langlade,3855,20.1,3852,24.9,2689,56.7
Lincoln,5591,20.3,5589,24.8,4088,66.8
Manitowoc,17343,22,17321,27.6,11043,66.2
Marathon,23309,17.2,23278,22.2,13431,54.4
Marinette,8279,20.5,8277,25.3,5931,59.9
Marquette,3829,24.6,3825,30.4,2566,65.7
Menominee,1457,32,1457,47.9,536,84.1
Milwaukee,177975,18.8,177720,24.7,82850,62.6
Monroe,10264,22.2,10247,29.6,5821,71.9
Oconto,8001,21.1,7992,26.4,5028,63.5
Oneida,9577,26.9,9577,32.4,6671,70.2
Outagamie,38007,20.2,37959,26.3,20248,70.6
Ozaukee,22499,25.2,22462,32,12747,70.2
Pepin,1683,23.1,1682,29.2,1129,65.9
Pierce,6552,15.3,6540,19.3,4265,65.4
Polk,8031,18.3,8019,23.1,5660,60.6
Portage,12935,18.3,12915,22.5,7982,65.1
Price,2937,22,2931,26.8,2056,58.2
Racine,39045,19.9,39002,25.8,21386,63.6
Richland,4473,25.9,4460,33,2876,70.8
Rock,38119,23.3,38084,30.2,22452,80.5
Rusk,2275,16,2272,20.1,1669,47.4
Sauk,15742,24.4,15718,31.5,9433,76.8
Sawyer,4302,26,4295,32.1,2676,60.6
Shawano,8868,21.7,8863,27.6,4789,54.3
Sheboygan,22228,19.3,22197,24.6,13674,63.9
St. Croix,12883,14.2,12855,18.8,7721,58
Taylor,2655,13.1,2653,17,1738,43.7
Trempealeau,7972,26.9,7964,35.9,4709,86.1
Unknown,32146,N/A,32103,N/A,11433,N/A
Vernon,7101,23,7096,31.1,4118,66.9
Vilas,5952,26.8,5951,32.3,4214,61.2
Walworth,18721,18,18708,22.6,11356,59.6
Washburn,4227,26.9,4222,33.1,2989,69.4
Washington,26754,19.7,26724,25.1,16450,65.5
Waukesha,100634,24.9,100468,31.6,55902,72.1
Waupaca,10815,21.2,10809,26.6,6813,62.7
Waushara,4770,19.5,4766,23.9,3200,52.3
Winnebago,37202,21.6,37143,27.1,20544,71.1
Wood,16108,22.1,16064,28.1,9979,64.8
