County Level Vaccination Data for Alabama
Date generated: Sun Apr 11 2021 18:27:00 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Autauga,6330,11.3,6326,14.7,3161,35.4
Baldwin,37598,16.8,37579,21.4,23103,49.3
Barbour,3157,12.8,3157,16.1,2079,42.8
Bibb,2507,11.2,2505,14,1420,38
Blount,5157,8.9,5154,11.6,3156,29.2
Bullock,1719,17,1719,21.5,866,50.6
Butler,2532,13,2532,16.7,1524,37.6
Calhoun,17887,15.7,17881,20.1,9903,48.2
Chambers,3788,11.4,3786,14.4,2193,32.7
Cherokee,3795,14.5,3795,17.9,2293,37.2
Chilton,4141,9.3,4141,12.2,2546,33.5
Choctaw,2583,20.5,2583,25.6,1549,52.2
Clarke,4507,19.1,4504,24.2,2620,54.1
Clay,1975,14.9,1974,18.7,1004,36.1
Cleburne,1762,11.8,1762,15.3,1119,37.2
Coffee,6800,13,6797,17,4075,45.1
Colbert,9285,16.8,9283,21.2,5117,46.2
Conecuh,2027,16.8,2026,21.1,1209,42.7
Coosa,1724,16.2,1724,19.3,1029,40.1
Covington,4554,12.3,4554,15.8,2826,35.7
Crenshaw,1694,12.3,1694,15.9,1038,38.9
Cullman,13182,15.7,13176,20.3,7843,49.8
Dale,9349,19,9345,24.6,4226,49.7
Dallas,5920,15.9,5915,20.7,3081,43.9
DeKalb,7470,10.4,7466,13.7,4099,32.5
Elmore,10427,12.8,10422,16.5,5610,44.3
Escambia,4434,12.1,4432,15.6,2972,44.4
Etowah,13502,13.2,13500,16.8,7664,38.7
Fayette,2251,13.8,2250,17.5,1426,40.2
Franklin,5261,16.8,5260,22.3,2865,53.3
Geneva,4001,15.2,4000,19.5,2476,45.7
Greene,1136,14,1136,17.9,688,36.4
Hale,3420,23.3,3419,30.3,1603,55.6
Henry,3096,18,3093,22.6,1874,46.5
Houston,18376,17.4,18363,22.5,9767,50.9
Jackson,8759,17,8756,21.4,5482,51.8
Jefferson,121314,18.4,121218,23.8,57996,54
Lamar,2548,18.5,2548,23.5,1595,52.1
Lauderdale,16302,17.6,16297,21.8,9188,48.3
Lawrence,5633,17.1,5631,21.8,3337,53.1
Lee,26889,16.3,26852,20.7,9685,47.4
Limestone,13035,13.2,13029,17,7222,47.9
Lowndes,1176,12.1,1175,15.5,669,34.8
Macon,3338,18.5,3336,22.3,1772,46.8
Madison,68815,18.5,68757,23.5,34045,59.6
Marengo,3768,20,3768,25.8,2043,54.5
Marion,4093,13.8,4093,17.4,2544,39.8
Marshall,13018,13.5,13015,18,7513,44.9
Mobile,70531,17.1,70463,22.2,34398,50
Monroe,3320,16,3319,20.3,1907,43.5
Montgomery,34976,15.4,34946,20.1,14917,42.3
Morgan,19541,16.3,19533,21.2,11250,52.7
Perry,1767,19.8,1764,25,834,46.5
Pickens,3189,16,3188,19.8,1626,41.8
Pike,5047,15.2,5046,18.8,2650,52.7
Randolph,3164,13.9,3164,17.7,1949,41.1
Russell,6061,10.5,6061,13.8,3484,40.6
Shelby,21093,9.7,21078,12.6,10229,29.5
St. Clair,9748,10.9,9748,14.1,5601,37.1
Sumter,2166,17.4,2166,21.5,1107,47.6
Talladega,9815,12.3,9812,15.5,5503,37.3
Tallapoosa,6367,15.8,6367,19.8,3984,44.3
Tuscaloosa,29467,14.1,29452,17.8,13497,46.9
Unknown,60476,N/A,60423,N/A,23045,N/A
Walker,9955,15.7,9954,20.2,5801,46.7
Washington,2695,16.5,2694,21.2,1599,49.7
Wilcox,2301,22.2,2301,28.9,1148,54.5
Winston,1836,7.8,1836,9.7,1207,23.4
