County Level Vaccination Data for Alaska
Date generated: Sun Apr 11 2021 18:27:51 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aleutians East,819,24.5,808,26.2,127,36.2
Aleutians West,1088,19.3,1079,21.6,192,45.8
Anchorage,80152,27.8,79092,36.1,21754,64.4
Bethel,6880,37.4,6684,56.4,1024,70.7
Bristol Bay,367,43.9,366,53.3,111,81.6
Denali,640,30.5,636,37.5,158,66.4
Dillingham,1350,27.5,1328,39.4,298,60.3
Fairbanks North Star,21663,22.4,21319,28.9,6551,60.5
Haines,1104,43.6,1104,53.2,378,69
Hoonah-Angoon,932,43.4,913,51.7,346,67.1
Juneau,11528,36.1,11413,45.2,3549,79.6
Kenai Peninsula,13643,23.2,13544,29.7,6125,56.8
Ketchikan Gateway,4109,29.6,4100,37.7,1600,69.8
Kodiak Island,4227,32.5,4170,42.7,1131,76.6
Kusilvak Census Area,N/A,N/A,N/A,N/A,N/A,N/A
Lake and Peninsula,511,32.1,509,44.8,106,57.9
Matanuska-Susitna,17979,16.6,17753,22.3,6666,48.5
Nome,4630,46.3,4456,68.1,665,82.8
North Slope,2151,21.9,2087,29,380,51.6
Northwest Arctic,2448,32.1,2349,48.3,407,73.1
Petersburg,1698,52,1672,64.2,550,82.1
Prince of Wales-Hyder,1841,29.7,1829,37.9,645,57.3
Sitka,3999,47.1,3914,58.1,1027,75.3
Skagway,631,53.3,626,62.5,137,73.3
Southeast Fairbanks,1134,16.5,1128,21.8,534,49.5
Unknown,4301,N/A,4278,N/A,912,N/A
Valdez-Cordova,2850,31,2842,40.3,801,60.3
Wrangell,912,36.5,908,45.2,354,57.7
Yakutat,287,49.6,286,60,84,68.9
Yukon-Koyukuk,2258,43.2,2211,58.6,607,73.8
