County Level Vaccination Data for Arizona
Date generated: Sun Apr 11 2021 18:28:23 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Apache,30578,42.5,29256,55.8,7969,70.3
Cochise,26743,21.2,26739,27,15182,52.1
Coconino,54487,38,53654,46.8,16538,88.6
Gila,17484,32.4,17387,40.1,8353,52.6
Graham,9156,23.6,9105,32,3715,68.3
Greenlee,2497,26.3,2497,36,777,59.9
La Paz,4295,20.3,4295,24.4,2951,35.2
Maricopa,887576,19.8,886357,25.8,403636,58
Mohave,27572,13,27568,15.6,19776,30
Navajo,35126,31.7,34164,41.8,12029,57.8
Pima,261073,24.9,260896,31.4,134688,63.4
Pinal,88992,19.2,88946,24.7,50157,51.9
Santa Cruz,13111,28.2,13109,38.4,5934,69.1
Unknown,31765,N/A,31633,N/A,11572,N/A
Yavapai,50900,21.7,50890,25.8,34728,45.4
Yuma,37710,17.6,37703,23.5,18256,44.2
