County Level Vaccination Data for Arkansas
Date generated: Sun Apr 11 2021 18:29:09 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Arkansas,4085,23.4,4074,30.2,2024,57
Ashley,3015,15.3,3012,19.7,1849,44.9
Baxter,6502,15.5,6496,18.8,4293,32.9
Benton,39673,14.2,39577,19.2,18346,48.4
Boone,5370,14.3,5363,18.6,3424,43.7
Bradley,2281,21.2,2278,27.8,1150,55.6
Calhoun,750,14.5,750,17.8,454,39.9
Carroll,5028,17.7,5023,22.5,2915,43
Chicot,2091,20.7,2087,26.4,1189,55.7
Clark,4231,19,4230,23.4,2246,59.8
Clay,3060,21,3054,26.6,1788,56.2
Cleburne,4371,17.5,4369,21.6,3231,47.6
Cleveland,1721,21.6,1721,27.6,949,55.7
Columbia,4139,17.6,4137,22.2,2099,50.5
Conway,4413,21.2,4410,27.3,2365,57.5
Craighead,18600,16.9,18556,22.4,7305,47.4
Crawford,9190,14.5,9181,19.2,4636,42.7
Crittenden,6912,14.4,6905,19.7,2631,37.8
Cross,3083,18.8,3083,24.4,1594,50.3
Dallas,1548,22.1,1547,27.9,934,54.6
Desha,2783,24.5,2729,32.1,1435,64.4
Drew,3445,18.9,3440,24.1,1611,48.6
Faulkner,23830,18.9,23767,24.4,9876,61
Franklin,3525,19.9,3522,25.6,1974,55.9
Fulton,1427,11.4,1427,14.5,862,26.5
Garland,19609,19.7,19556,24.6,11842,49
Grant,2577,14.1,2576,18.1,1421,42.1
Greene,7584,16.7,7579,22.1,3827,51.9
Hempstead,1896,8.8,1894,11.8,972,24.4
Hot Spring,5549,16.4,5545,20.7,3023,46.3
Howard,2580,19.5,2579,26.5,1335,56
Independence,5158,13.6,5150,18,2700,39.8
Izard,2032,14.9,2032,18.2,1160,32.6
Jackson,2747,16.4,2745,20.5,1536,50.3
Jefferson,9602,14.4,9591,18.3,5098,42.4
Johnson,4456,16.8,4452,22.2,2179,48.6
Lafayette,967,14.6,967,17.9,617,37.7
Lawrence,2625,16,2624,20.5,1465,44.8
Lee,1344,15.2,1344,18.6,784,43.9
Lincoln,1639,12.6,1636,15,922,44.5
Little River,1374,11.2,1373,14.4,908,35.4
Logan,3798,17.7,3796,22.5,2185,49.7
Lonoke,11347,15.5,11337,20.7,5319,52.6
Madison,2110,12.7,2106,16.5,1305,40.6
Marion,2106,12.6,2105,15.4,1414,29.1
Miller,1811,4.2,1810,5.5,1105,14.9
Mississippi,5382,13.2,5372,17.9,2740,44.8
Monroe,1226,18.3,1222,22.9,645,40
Montgomery,1778,19.8,1778,24.3,1158,47.7
Nevada,956,11.6,952,15,468,27
Newton,994,12.8,994,15.9,729,34.5
Ouachita,4887,20.9,4883,26.9,2673,54.2
Perry,2022,19.3,2022,25,1180,55.1
Phillips,3093,17.4,3090,23.4,1564,45.1
Pike,1590,14.8,1589,18.9,944,43
Poinsett,3665,15.6,3663,20.4,1860,43
Polk,2354,11.8,2352,15.2,1337,28.3
Pope,11845,18.5,11830,23.9,5260,50.8
Prairie,1100,13.6,1098,17.1,593,30.8
Pulaski,89039,22.7,88790,29.4,37443,59.4
Randolph,2147,12,2145,15.7,1070,30.2
Saline,23126,18.9,23076,24.5,10549,47.5
Scott,1391,13.5,1389,17.5,737,33.4
Searcy,1223,15.5,1223,19.3,877,42.8
Sebastian,18294,14.3,18244,18.8,7708,36.7
Sevier,2369,13.9,2369,19.5,1074,42.3
Sharp,2241,12.8,2238,16.1,1483,32.2
St. Francis,4884,19.5,4882,24.7,2167,51.5
Stone,2169,17.3,2168,21.4,1464,42
Union,5865,15.2,5859,19.9,3245,45.6
Unknown,55321,N/A,55188,N/A,21375,N/A
Van Buren,2880,17.4,2879,21.6,2024,45.8
Washington,40102,16.8,40029,22.1,15469,53.5
White,12227,15.5,12216,20.1,6609,50.1
Woodruff,1286,20.3,1286,25.9,788,53.4
Yell,3809,17.8,3804,23.5,1850,48
