County Level Vaccination Data for California
Date generated: Sun Apr 11 2021 18:29:41 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alameda,449026,26.9,447273,33.6,160453,67.2
Alpine,N/A,N/A,N/A,N/A,N/A,N/A
Amador,8091,20.4,8086,24,5403,49.4
Butte,48328,22,48231,27.6,22955,57.1
Calaveras,10046,21.9,10026,26.3,6873,53.4
Colusa,3726,17.3,3722,23.7,1595,49.6
Contra Costa,306634,26.6,305396,34.1,137543,73.3
Del Norte,3899,14,3897,17.7,2047,40
El Dorado,42771,22.2,42651,27.6,23723,56.1
Fresno,192597,19.3,192008,26.8,72364,57.7
Glenn,5193,18.3,5186,24.9,2601,58.1
Humboldt,30088,22.2,30052,27.3,14514,57.6
Imperial,32021,17.7,31972,24.7,11604,48.1
Inyo,N/A,N/A,N/A,N/A,N/A,N/A
Kern,133552,14.8,133150,20.8,52003,51.4
Kings,18668,12.2,18612,16.7,6315,39.4
Lake,14903,23.1,14875,29.3,8157,54.9
Lassen,4221,13.8,4219,16.7,2378,50.2
Los Angeles,2077939,20.7,2071788,26.2,774321,54.8
Madera,27389,17.4,27331,23.9,12383,54.9
Marin,91671,35.4,90909,43.8,43538,73.3
Mariposa,N/A,N/A,N/A,N/A,N/A,N/A
Mendocino,26525,30.6,26371,38.5,12448,62.2
Merced,35863,12.9,35754,18.2,15348,48.5
Modoc,N/A,N/A,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A,N/A,N/A
Monterey,80676,18.6,80507,25.1,34861,57.4
Napa,40401,29.3,40288,36.6,17994,66.3
Nevada,22233,22.3,22175,26.8,14046,49.6
Orange,648332,20.4,646635,26,295748,60.9
Placer,97741,24.5,97364,31.4,51456,64.8
Plumas,N/A,N/A,N/A,N/A,N/A,N/A
Riverside,411497,16.7,410603,22.1,198178,54.2
Sacramento,304675,19.6,303788,25.6,129966,57.8
San Benito,10141,16.1,10122,21.6,4304,52.2
San Bernardino,331616,15.2,330762,20.5,133640,51.3
San Diego,559568,16.8,558051,21.3,232104,47.9
San Francisco,265983,30.2,265331,34.8,89173,62.9
San Joaquin,122891,16.1,122540,22,56368,56.5
San Luis Obispo,53089,18.8,53024,22.7,31423,53.2
San Mateo,214391,28,213474,34.9,83483,65.8
Santa Barbara,92381,20.7,92224,26.5,44807,63.9
Santa Clara,433416,22.5,432004,28.6,178877,66.7
Santa Cruz,69297,25.4,69117,31.2,30754,65.1
Shasta,26007,14.4,25959,18.4,14730,38.7
Sierra,N/A,N/A,N/A,N/A,N/A,N/A
Siskiyou,10171,23.4,10160,29.2,5834,51.3
Solano,89479,20,89257,25.6,38011,52
Sonoma,135962,27.5,135595,34,66463,65
Stanislaus,86737,15.8,86371,21.5,37455,50.7
Sutter,19175,19.8,19137,26.6,8607,57
Tehama,7808,12,7804,15.7,4079,31.9
Trinity,N/A,N/A,N/A,N/A,N/A,N/A
Tulare,79843,17.1,79495,24.5,28975,53.4
Tuolumne,14612,26.8,14600,32.2,9307,63.3
Unknown,282632,N/A,281959,N/A,92908,N/A
Ventura,194579,23,193899,29.6,85922,62.9
Yolo,52999,24,52762,30.2,19360,67.9
Yuba,10913,13.9,10901,19.1,5054,49.2
