County Level Vaccination Data for Georgia
Date generated: Sun Apr 11 2021 18:32:16 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Appling,473,2.6,472,3.4,278,8.5
Atkinson,167,2,167,2.8,71,6
Bacon,197,1.8,197,2.4,102,5.4
Baker,415,13.7,415,17,244,33.9
Baldwin,835,1.9,835,2.3,464,6.3
Banks,520,2.7,519,3.5,336,9.9
Barrow,3698,4.4,3696,6,2193,20.7
Bartow,3090,2.9,3088,3.8,1894,12.2
Ben Hill,416,2.5,416,3.3,228,7.6
Berrien,1278,6.6,1278,8.7,831,24.9
Bibb,11132,7.3,11126,9.6,6126,25
Bleckley,197,1.5,196,1.9,100,4.5
Brantley,558,2.9,558,3.8,403,12.3
Brooks,2080,13.5,2079,17.2,1318,42.7
Bryan,4446,11.2,4442,15.9,2162,51
Bulloch,8241,10.4,8236,12.9,4605,49.7
Burke,2839,12.7,2839,17.1,1717,48
Butts,582,2.3,582,2.9,356,9
Calhoun,312,5,312,6.1,153,14.9
Camden,9652,17.7,9650,23.3,4281,55.1
Candler,395,3.7,395,4.9,212,10.5
Carroll,7164,6,7163,7.8,4582,27.6
Catoosa,2221,3.3,2221,4.2,685,5.6
Charlton,244,1.8,244,2.2,174,8.2
Chatham,53805,18.6,53765,23.5,27702,60
Chattahoochee,9303,85.3,9270,99.9,1341,99.9
Chattooga,484,2,484,2.5,272,6.2
Cherokee,23045,8.9,23028,11.7,14206,37.8
Clarke,11960,9.3,11956,11.2,7096,48.9
Clay,232,8.2,232,10.1,171,22.1
Clayton,8460,2.9,8447,4,4598,16.3
Clinch,736,11.1,736,14.8,448,40.4
Cobb,78449,10.3,78374,13.4,45811,47.4
Coffee,4243,9.8,4241,13,2255,37
Colquitt,1427,3.1,1426,4.2,798,10.9
Columbia,15669,10,15642,13.3,6932,31.7
Cook,2662,15.4,2661,20.6,1547,53.5
Coweta,11370,7.7,11369,10.1,6815,32.2
Crawford,676,5.4,676,6.8,409,17
Crisp,964,4.3,963,5.7,514,11.9
Dade,855,5.3,854,6.6,313,9.7
Dawson,375,1.4,375,1.8,225,4.3
DeKalb,61759,8.1,61688,10.5,30177,30.8
Decatur,3625,13.7,3623,18.1,2316,52.7
Dodge,373,1.8,373,2.2,135,3.5
Dooly,644,4.8,644,5.8,372,13.2
Dougherty,3897,4.4,3894,5.8,1285,8.9
Douglas,8656,5.9,8651,8,5226,30.1
Early,370,3.6,368,4.8,193,9.8
Echols,139,3.5,139,4.7,67,12.1
Effingham,4472,7,4467,9.4,2646,34.7
Elbert,1159,6,1159,7.7,754,18.4
Emanuel,2059,9.1,2058,12.1,1291,34.6
Evans,615,5.8,615,7.8,382,22
Fannin,1936,7.4,1936,8.8,1370,17.1
Fayette,12839,11.2,12833,14.6,7992,37.3
Floyd,2731,2.8,2716,3.6,729,4.3
Forsyth,10238,4.2,10224,5.7,5479,18.2
Franklin,370,1.6,370,2,200,4.5
Fulton,78246,7.4,78164,9.4,39892,31.2
Gilmer,825,2.6,825,3.2,621,7.8
Glascock,112,3.8,112,4.8,69,12.7
