County Level Vaccination Data for Idaho
Date generated: Sun Apr 11 2021 18:33:21 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Ada,122341,25.4,122339,33.1,55966,77.8
Adams,860,20,860,24.2,647,50.4
Bannock,18329,20.9,18329,28.2,8655,67.1
Bear Lake,1383,22.6,1383,30.9,906,71.6
Benewah,2266,24.4,2265,31.3,1253,59.2
Bingham,8805,18.8,8805,27,4198,61.8
Blaine,8034,34.9,8034,44.2,4138,88.4
Boise,1268,16.2,1268,19.4,868,42.2
Bonner,10126,22.1,10125,27.6,6127,52.8
Bonneville,21960,18.4,21960,26.5,10553,65.5
Boundary,2096,17.1,2096,22.2,1311,46.4
Butte,565,21.8,565,28.7,333,54.2
Camas,285,25.8,285,33.1,137,50.7
Canyon,34972,15.2,34972,21.1,18467,57.3
Caribou,1093,15.3,1093,21.5,615,49.6
Cassia,3131,13,3131,19,1693,48.7
Clark,103,12.2,103,15.6,56,34.1
Clearwater,1811,20.7,1811,24.6,1269,51.8
Custer,964,22.3,964,27,678,52.2
Elmore,4578,16.6,4577,22.3,2189,56.4
Franklin,2441,17.6,2440,25.7,1314,64.8
Fremont,2153,16.4,2153,21.8,1334,58.4
Gem,3358,18.5,3358,24,2163,54.3
Gooding,2477,16.3,2477,22.3,1479,54.5
Idaho,2632,15.8,2632,19.6,1872,39.2
Jefferson,4122,13.8,4122,20.8,2085,60.3
Jerome,3470,14.2,3470,20.5,1812,56.1
Kootenai,36531,22,36523,28.5,19455,60.4
Latah,9667,24.1,9665,29.5,4339,76.8
Lemhi,1915,23.9,1915,29.3,1354,55.1
Lewis,928,24.2,928,30.9,617,59.8
Lincoln,799,14.9,799,20.5,445,58.6
Madison,4933,12.4,4933,16.9,1930,68.2
Minidoka,3084,14.7,3084,20.5,1630,47.7
Nez Perce,10083,25,10082,31.7,5473,67
Oneida,932,20.6,932,28.7,545,58.9
Owyhee,1467,12.4,1467,16.6,817,38.3
Payette,3641,15.2,3641,20.5,2202,49.4
Power,1643,21.4,1643,30.8,813,67.6
Shoshone,3106,24.1,3106,30.3,1947,65.3
Teton,2696,22.2,2695,29.1,1065,66.7
Twin Falls,15288,17.6,15287,24.2,8492,62.5
Unknown,5970,N/A,5966,N/A,2402,N/A
Valley,3186,28,3186,34.2,1927,65.2
Washington,1720,16.9,1720,21.8,1298,49.1
