County Level Vaccination Data for Louisiana
Date generated: Sun Apr 11 2021 18:37:02 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Acadia,10608,17.1,10604,23,5971,61
Allen,3042,11.9,3039,15.3,1345,34.4
Ascension,22779,18,22723,24.4,9949,64
Assumption,3817,17.4,3817,22.1,2173,52.9
Avoyelles,5867,14.6,5864,19.1,3152,45.3
Beauregard,4162,11.1,4158,14.8,2273,38.1
Bienville,2613,19.7,2613,25.4,1480,51.5
Bossier,23117,18.2,23093,24.1,10797,57.2
Caddo,50801,21.1,50732,27.6,25171,59.1
Calcasieu,30650,15.1,30621,20.1,15650,50.5
Caldwell,1705,17.2,1705,22.3,979,54.4
Cameron,476,6.8,476,8.7,261,22.1
Catahoula,1494,15.7,1494,20,829,48.8
Claiborne,2477,15.8,2475,19.2,1437,47
Concordia,2345,12.2,2345,16,1351,39.4
De Soto,4516,16.4,4514,21.6,2548,50.8
East Baton Rouge,100830,22.9,100648,29.6,45789,71.1
East Carroll,1427,20.8,1426,27.3,679,64.9
East Feliciana,2997,15.7,2996,19.1,1700,48.4
Evangeline,4654,13.9,4649,18.5,2438,46.1
Franklin,3199,16,3197,21.4,1698,46
Grant,3722,16.6,3718,21,1608,46.3
Iberia,10506,15,10502,20.2,5767,52.7
Iberville,6238,19.2,6233,24.1,3176,59.7
Jackson,2629,16.7,2629,21.3,1470,45.4
Jefferson,108995,25.2,108844,32.3,51067,66.8
Jefferson Davis,4051,12.9,4047,17.3,2298,43.8
LaSalle,2274,15.3,2272,19.7,1222,47.8
Lafayette,41216,16.9,41176,22.1,20519,61
Lafourche,16806,17.2,16792,22.4,8296,53.3
Lincoln,8777,18.8,8765,23.4,4188,64.1
Livingston,19266,13.7,19239,18.3,9897,52.7
Madison,1661,15.2,1660,19.9,823,50.3
Morehouse,4724,19,4722,25.1,2686,55.8
Natchitoches,5724,15,5722,19.5,3335,51.1
Orleans,112327,28.8,112128,35.8,39050,64.3
Ouachita,26999,17.6,26972,23.3,13361,56.8
Plaquemines,5446,23.5,5440,31.6,2127,65.4
Pointe Coupee,4939,22.7,4935,28.9,2824,60.8
Rapides,25210,19.4,25175,25.8,12154,56
Red River,1357,16.1,1357,21,738,44.5
Richland,3933,19.5,3931,25.4,2078,57
Sabine,2996,12.5,2995,16.3,2059,40.7
St. Bernard,7519,15.9,7508,21.6,3186,56.2
St. Charles,11811,22.2,11786,29.3,5254,70.4
St. Helena,1178,11.6,1178,14.7,661,31.6
St. James,3669,17.4,3662,22.5,1797,48
St. John the Baptist,8473,19.8,8459,26.1,3857,61.1
St. Landry,13009,15.8,12981,21.5,6510,47.7
St. Martin,6818,12.8,6815,16.8,3980,47.4
St. Mary,8878,18,8870,23.6,4610,54.8
St. Tammany,63281,24.3,63192,31.8,31633,69.4
Tangipahoa,23727,17.6,23697,23.2,12466,62
Tensas,1098,25.3,1097,32.6,646,57.9
Terrebonne,19420,17.6,19401,23.5,10327,62.6
Union,4272,19.3,4267,24.6,2463,52.8
Unknown,48374,N/A,48339,N/A,24595,N/A
Vermilion,7188,12.1,7186,16.1,4061,43.2
Vernon,5363,11.3,5361,15,2642,43.9
Washington,7623,16.5,7613,21.6,4543,53.1
Webster,6829,17.8,6828,23,4069,52.4
West Baton Rouge,4997,18.9,4991,24.8,2206,58.4
West Carroll,2468,22.8,2468,29.3,1434,68.2
West Feliciana,5488,35.3,5484,42.1,2629,99.9
Winn,2503,18,2501,22.7,1376,51.8
