County Level Vaccination Data for Maine
Date generated: Sun Apr 11 2021 18:37:31 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Androscoggin,20872,19.3,20857,24.5,11558,58.8
Aroostook,20395,30.4,20350,37.1,11372,68
Cumberland,82769,28.1,82695,34.3,44044,78.4
Franklin,6757,22.4,6756,27.2,4382,63.9
Hancock,16528,30.1,16523,36.2,10281,74
Kennebec,28383,23.2,28362,28.7,16041,63.8
Knox,12102,30.4,12099,36.9,7607,73.5
Lincoln,10482,30.3,10479,36.4,7427,76.1
Oxford,12816,22.1,12813,27,7679,58.6
Penobscot,40924,26.9,40901,32.8,20627,70.9
Piscataquis,4207,25.1,4206,30.1,2659,57.9
Sagadahoc,9902,27.6,9891,34.1,6335,77.6
Somerset,11839,23.5,11834,28.9,6733,62.5
Unknown,16285,N/A,16273,N/A,5938,N/A
Waldo,10375,26.1,10374,31.9,6388,69
Washington,11495,36.6,11485,45.1,5819,74.7
York,53842,25.9,53814,31.8,30637,69.8
