County Level Vaccination Data for Minnesota
Date generated: Sun Apr 11 2021 18:39:36 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aitkin,5311,33.4,5300,39.9,3529,65.7
Anoka,65329,18.3,65231,24,31026,59.9
Becker,10832,31.5,10813,41.4,5332,73.3
Beltrami,13760,29.2,13731,38.9,5802,74.6
Benton,6273,15.3,6261,20.5,2870,49
Big Stone,2076,41.6,2068,52.8,1091,81.5
Blue Earth,16290,24.1,16253,30,7820,81.2
Brown,7425,29.7,7412,37.9,4520,84.7
Carlton,11439,31.9,11429,41,4936,78.8
Carver,21617,20.6,21554,27.9,9537,72
Cass,7814,26.2,7805,33.1,4869,61.7
Chippewa,3167,26.8,3158,35.3,1840,71.7
Chisago,11700,20.7,11692,26.7,6393,71.5
Clay,11787,18.4,11762,24.4,5554,64.7
Clearwater,2169,24.6,2162,32.6,1212,67.2
Cook,2433,44.5,2432,52.4,1371,85.6
Cottonwood,3187,28.5,3181,37.7,1843,71.2
Crow Wing,17622,27.1,17607,34.4,10720,71.7
Dakota,97063,22.6,96882,29.8,44622,70.8
Dodge,5482,26.2,5474,35.1,2356,74.2
Douglas,11232,29.4,11211,37.4,6712,75.2
Faribault,3526,25.8,3526,33.1,2331,73.4
Fillmore,7120,33.8,7112,44.8,3726,83.4
Freeborn,7526,24.9,7518,31.8,4896,71.7
Goodhue,13295,28.7,13279,36.8,7120,76.3
Grant,1814,30.4,1808,39.1,1063,74.2
Hennepin,307082,24.3,306510,31,138296,75.3
Houston,4188,22.5,4183,28.8,2192,53.5
Hubbard,5194,24.2,5191,30.7,3391,62.5
Isanti,5927,14.6,5921,19.1,3284,48.8
Itasca,12638,28,12609,35.2,7590,69.8
Jackson,2340,23.8,2336,30.2,1407,61.8
Kanabec,3562,21.8,3546,27.6,1978,57.8
Kandiyohi,9648,22.3,9643,29.6,5590,67.8
Kittson,1128,26.2,1122,33.5,706,66
Koochiching,3223,26.4,3222,32,2111,64.7
Lac qui Parle,2515,38,2505,47.6,1224,66.3
Lake,3171,29.8,3168,36.8,1844,64.6
Lake of the Woods,1165,31.1,1165,38.2,698,73.6
Le Sueur,5620,19.5,5613,25.5,3227,63.1
Lincoln,1603,28.4,1600,37,874,61.8
Lyon,6821,26.8,6797,35.9,3312,79
Mahnomen,2203,39.9,2202,58.4,949,99.5
Marshall,1969,21.1,1966,27.3,1115,53.6
Martin,5615,28.5,5608,36.5,3327,70.1
McLeod,8156,22.7,8138,29.4,4683,68.1
Meeker,5263,22.7,5256,29.8,3128,65.6
Mille Lacs,6406,24.4,6398,31.9,3659,74.8
Morrison,7471,22.4,7470,29.1,4509,67.5
Mower,10159,25.4,10153,33.8,5634,75.9
Murray,2410,29.4,2409,37.4,1418,66.5
Nicollet,8826,25.8,8810,32.9,4064,71
Nobles,6572,30.4,6569,41.9,2758,76.1
Norman,2207,34.6,2196,45.5,969,70.7
Olmsted,57103,36.1,56947,47.6,20041,79.4
Otter Tail,15148,25.8,15119,32.9,9350,65.1
Pennington,3061,21.7,3056,28,1651,62.1
Pine,6585,22.3,6582,27.5,3851,60.6
Pipestone,2560,28.1,2559,38,1457,76.9
Polk,6936,22.1,6912,29.2,3301,57.2
Pope,3396,30.2,3388,38.1,2044,73.4
Ramsey,126462,23,126311,29.9,58653,71.7
Red Lake,1115,27.5,1113,36.2,604,69.1
Redwood,3740,24.7,3737,32.8,2225,68
Renville,3682,25.3,3676,32.9,2212,72.2
Rice,15732,23.5,15687,29.9,8550,80.8
Rock,2390,25.7,2385,34.1,1486,77.8
Roseau,3248,21.4,3230,28.1,1951,70.9
Scott,29855,20,29766,27.4,12265,72.6
Sherburne,14441,14.9,14427,20.1,6791,59.6
Sibley,3028,20.4,3026,26.4,1768,62.9
St. Louis,62034,31.2,61918,38.4,30335,76
Stearns,36031,22.4,35989,29.1,17971,72.1
Steele,8199,22.4,8189,29.6,4768,71.1
Stevens,2759,28.1,2749,35.7,1274,74.9
Swift,2839,30.6,2830,39.8,1592,76.6
Todd,4953,20.1,4943,26.3,3139,57.6
Traverse,1066,32.7,1062,41.2,604,72.9
Unknown,64246,N/A,64140,N/A,24718,N/A
Wabasha,7482,34.6,7465,44,4093,83.9
Wadena,3280,24,3277,32.3,2026,69.4
Waseca,4067,21.9,4064,28.4,2424,70.1
Washington,61484,23.4,61373,30.9,29666,72.6
Watonwan,2566,23.5,2563,31.1,1504,67.3
Wilkin,1059,17.1,1059,22,598,49
Winona,14799,29.3,14748,35.5,6887,77.4
Wright,25031,18.1,25001,25,12236,68.1
Yellow Medicine,2986,30.8,2980,39.9,1682,83.3
