County Level Vaccination Data for Montana
Date generated: Sun Apr 11 2021 18:41:24 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Beaverhead,2518,26.6,2518,32.2,1462,69.4
Big Horn,5008,37.6,4902,55.4,1492,84.1
Blaine,3103,46.4,2994,63.6,916,86.6
Broadwater,1181,18.9,1180,23.5,737,49.2
Carbon,2578,24,2577,28.9,1518,52.9
Carter,210,16.8,209,21.3,132,40.4
Cascade,19796,24.3,19739,31.3,9411,60.5
Chouteau,1057,18.8,1057,24.2,559,46.9
Custer,2599,22.8,2595,28.7,1400,59.3
Daniels,414,24.5,414,30.9,218,45.6
Dawson,2011,23.3,2010,29.7,1047,59.5
Deer Lodge,2871,31.4,2867,36.3,1552,69.2
Fallon,566,19.9,566,27.4,283,58.5
Fergus,2590,23.4,2590,29.5,1612,57.9
Flathead,16809,16.2,16788,20.7,9700,46.2
Gallatin,20944,18.3,20890,22.7,8798,58.5
Garfield,173,13.8,173,17.9,111,36.6
Glacier,6543,47.6,6536,69.3,2195,99.9
Golden Valley,188,22.9,188,29.1,143,62.7
Granite,637,18.9,635,22,407,38.1
Hill,4650,28.2,4642,39,1735,68.8
Jefferson,2793,22.9,2784,28.6,1600,58.9
Judith Basin,410,20.4,410,25.4,280,50.8
Lake,9577,31.4,9504,40.7,5012,72.6
Lewis and Clark,18272,26.3,18201,33.3,9196,68.3
Liberty,522,22.3,522,28,264,51.2
Lincoln,3660,18.3,3657,22.3,2370,40.2
Madison,1819,21.2,1818,25,1262,49.7
McCone,149,9,149,11.3,95,21.1
Meagher,590,31.7,590,39,308,52.3
Mineral,1198,27.2,1197,33.3,747,57.5
Missoula,32563,27.2,32450,33.3,13577,70.2
Musselshell,779,16.8,779,20.6,490,38.3
Park,3900,23.5,3895,28.3,2014,51.1
Petroleum,104,21.4,104,25.7,67,53.6
Phillips,961,24.3,953,31.6,533,58.2
Pondera,1605,27.2,1602,35.8,764,62.8
Powder River,157,9.3,157,11.2,109,23.4
Powell,1529,22.2,1529,26,815,55.7
Prairie,219,20.3,219,25,142,39.3
Ravalli,10129,23.1,10116,28.4,6139,52.8
Richland,1854,17.2,1853,22.9,945,56.9
Roosevelt,2615,23.8,2614,35.7,1047,81
Rosebud,3764,42.1,3747,58.8,1237,84
Sanders,2268,18.7,2262,22.6,1600,40.8
Sheridan,947,28.6,947,36.2,558,72.5
Silver Bow,10710,30.7,10668,38.3,4940,72.6
Stillwater,2183,22.6,2182,28.7,1283,56.6
Sweet Grass,650,17.4,649,21.8,447,43.6
Teton,1224,19.9,1223,26.3,725,50.8
Toole,953,20.1,953,25.4,499,54.2
Treasure,205,29.5,205,37.3,140,69.7
Unknown,9699,N/A,9696,N/A,4341,N/A
Valley,1657,22.4,1651,28.8,925,52.7
Wheatland,360,16.9,360,21.5,241,44.5
Wibaux,155,16,155,20.1,103,41.2
Yellowstone,37190,23.1,37078,30,18154,64.6
