County Level Vaccination Data for New Hampshire
Date generated: Sun Apr 11 2021 18:42:51 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Belknap,12298,20.1,12284,24.5,7374,52.8
Carroll,13245,27.1,13233,32,8538,60.3
Cheshire,16976,22.3,16931,27.1,9620,61.1
Coos,8963,28.4,8956,33.8,4988,65.2
Grafton,24619,27.4,24580,32.5,12108,63.1
Hillsborough,62693,15,62556,18.8,31244,46.2
Merrimack,31700,20.9,31634,25.8,15871,56.1
Rockingham,63160,20.4,63018,25.1,34394,59.8
Strafford,21539,16.5,21489,20.1,9972,49.4
Sullivan,9056,21,9034,25.7,4819,50.6
Unknown,63082,N/A,62970,N/A,28360,N/A
