County Level Vaccination Data for New Mexico
Date generated: Sun Apr 11 2021 18:43:53 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Bernalillo,112530,16.6,112241,21,46152,40.2
Catron,500,14.2,500,16.1,331,21.7
Chaves,9069,14,9054,18.9,4439,42.5
Cibola,8506,31.9,8347,40.8,2285,51.1
Colfax,2414,20.2,2402,24.5,1034,31.6
Curry,5103,10.4,5102,14.1,1350,21.5
De Baca,355,20.3,355,26.2,214,42.7
Doña Ana,42560,19.5,42434,25.7,16956,47.9
Eddy,7453,12.7,7425,17.3,2896,33.9
Grant,6212,23,6194,28.5,3481,45.1
Guadalupe,320,7.4,318,9.3,124,14.5
Harding,126,20.2,125,22.5,58,23.7
Hidalgo,883,21,876,27,417,44.2
Lea,7263,10.2,7206,14.4,1683,20.8
Lincoln,3917,20,3903,24.4,1817,31.8
Los Alamos,4121,21.3,4117,27.3,1652,47.2
Luna,4484,18.9,4474,25.5,2309,45.9
McKinley,28219,39.5,26819,52.3,6248,67.9
Mora,1028,22.7,1026,27.4,518,39.6
Otero,13003,19.3,12820,24.6,5035,43.1
Quay,1279,15.5,1279,19.7,672,31.7
Rio Arriba,10939,28.1,10771,36,3521,45.1
Roosevelt,1831,9.9,1827,13.1,674,24.8
San Juan,48965,39.5,47366,51.7,13322,68.7
San Miguel,5160,18.9,5136,22.8,2121,34.4
Sandoval,39556,27,39167,34.6,14916,55.1
Santa Fe,32172,21.4,32101,25.9,16662,43.7
Sierra,2503,23.2,2503,27.5,1562,38.7
Socorro,4200,25.2,4134,31.9,1363,40.9
Taos,7775,23.8,7718,28.5,4023,44.6
Torrance,2217,14.3,2216,18,1131,34.1
Union,432,10.6,422,12.8,139,15.7
Unknown,186523,N/A,186183,N/A,63243,N/A
Valencia,13802,18,13772,23.4,6079,43.5
