County Level Vaccination Data for New York
Date generated: Sun Apr 11 2021 18:44:28 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Albany,95111,31.1,94761,37.9,37569,70.5
Allegany,8282,18,8276,22.5,4275,47.2
Bronx,252623,17.8,252376,23.6,88970,47.1
Broome,50431,26.5,50290,32.7,23677,64
Cattaraugus,17479,23,17465,29.4,8444,56.2
Cayuga,19917,26,19864,32.2,9096,59.9
Chautauqua,29887,23.6,29871,29.5,14775,56.2
Chemung,21628,25.9,21572,32.8,9616,59.1
Chenango,10521,22.3,10509,28,5294,53.7
Clinton,28842,35.8,28712,43.5,11242,79.1
Columbia,16662,28,16643,33.7,8615,59.4
Cortland,11314,23.8,11292,29.4,4628,57.6
Delaware,8943,20.3,8938,24.2,4665,42
Dutchess,70918,24.1,70783,29.6,31072,58.2
Erie,243788,26.5,243121,33.1,105548,62.5
Essex,13005,35.3,12942,41.8,5844,65.3
Franklin,15298,30.6,15241,37.7,6235,71.5
Fulton,11194,21,11183,26.2,5409,50.3
Genesee,13410,23.4,13392,29.3,6769,61.3
Greene,10457,22.2,10445,26.4,5114,47.7
Hamilton,2282,51.7,2278,59.7,1275,90.6
Herkimer,15937,26,15900,32.6,7956,61.1
Jefferson,33272,30.3,33176,39.7,11595,74.3
Kings,446799,17.5,446238,22.5,145002,39.4
Lewis,6006,22.8,6002,29.6,2984,59.7
Livingston,14158,22.5,14144,27.3,6645,57.6
Madison,18356,25.9,18296,31.8,7303,54.5
Monroe,205921,27.8,205160,34.8,83570,63.1
Montgomery,12896,26.2,12877,33.9,6632,71.2
Nassau,386297,28.5,385527,36.2,158056,64.1
New York,463856,28.5,463007,33.2,164979,59.7
Niagara,51023,24.4,50927,30.4,24059,58.9
Oneida,62852,27.5,62643,34.8,27688,63.2
Onondaga,141972,30.8,141326,38.9,54427,67.4
Ontario,31881,29,31772,36.1,14933,66
Orange,78828,20.5,78710,27.4,29659,53.8
Orleans,7433,18.4,7430,22.8,3739,50.3
Oswego,27393,23.4,27339,29.5,11331,57.6
Otsego,14167,23.8,14121,28.2,7060,54.6
Putnam,26052,26.5,26017,32.8,10945,61.7
Queens,501595,22.3,501039,27.8,175212,47.6
Rensselaer,43223,27.2,43070,33.6,18074,65
Richmond,111177,23.3,111062,29.8,44909,56.6
Rockland,74188,22.8,74010,31.7,32001,61.8
Saratoga,72531,31.6,72210,39.1,30206,69.9
Schenectady,42320,27.3,42166,34.6,18097,67.2
Schoharie,5910,19.1,5899,23,3103,44
Schuyler,5465,30.7,5460,37.6,2651,67.8
Seneca,8130,23.9,8101,29.8,3904,58.5
St. Lawrence,33075,30.7,32950,38.3,13410,69.3
Steuben,21674,22.7,21636,28.8,10206,53.1
Suffolk,331263,22.4,330815,28.3,148710,58.1
Sullivan,15583,20.7,15537,26.1,7188,49.3
Tioga,11603,24.1,11575,30.3,5587,55.3
Tompkins,29990,29.4,29869,34.3,10963,71
Ulster,47138,26.5,47053,32.1,20811,57.5
Unknown,139047,N/A,138937,N/A,42796,N/A
Warren,21819,34.1,21762,41.6,9786,66.7
Washington,14688,24,14666,29.4,7156,58.2
Wayne,22359,24.9,22299,31.5,9867,56.2
Westchester,269995,27.9,268895,35.5,107231,63.6
Wyoming,7633,19.2,7629,23.5,3971,53.5
Yates,6440,25.8,6438,33.1,3485,65.6
