County Level Vaccination Data for North Dakota
Date generated: Sun Apr 11 2021 18:45:36 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,709,32,709,39.6,393,62.2
Barnes,3511,33.7,3504,41.8,1649,68.1
Benson,1346,19.7,1340,30.2,593,60.3
Billings,85,9.2,85,11.6,41,19.4
Bottineau,2027,32.3,2023,41,1122,72.8
Bowman,601,19.9,600,26.2,407,60.7
Burke,448,21.2,448,28.2,271,60.4
Burleigh,23605,24.7,23550,32.1,10187,64.2
Cass,54555,30,54360,38.6,16821,74.2
Cavalier,1525,40.5,1519,52.2,730,70.8
Dickey,1475,30.3,1474,40,784,77.7
Divide,576,25.4,575,33.2,293,51
Dunn,502,11.3,502,15.1,287,40.2
Eddy,796,34.8,792,45.2,398,73.6
Emmons,659,20.3,656,25.2,429,47.1
Foster,1021,31.8,1017,40.4,499,68.6
Golden Valley,295,16.8,294,21.3,176,39
Grand Forks,18606,26.8,18544,33.9,6617,71.5
Grant,235,10.3,234,12.9,164,23.6
Griggs,755,33.8,753,42.8,416,61.5
Hettinger,583,23.3,582,31.1,360,65.3
Kidder,436,17.6,435,22.2,263,41.7
LaMoure,1121,27.7,1119,35.3,659,59.2
Logan,357,19.3,357,24.9,245,49.8
McHenry,1336,23.3,1334,30.5,772,64.2
McIntosh,630,25.2,630,30.9,408,50.8
McKenzie,1443,9.6,1438,14,553,41.7
McLean,2366,25,2363,32.1,1316,57.4
Mercer,1727,21.1,1727,27.5,993,60.5
Morton,6589,21,6570,27.2,3274,61.6
Mountrail,2186,20.7,2176,28.5,734,59.9
Nelson,1400,48.6,1397,60.2,705,92.3
Oliver,265,13.5,264,18,180,40.5
Pembina,2089,30.7,2085,38.6,1138,70.2
Pierce,1186,29.8,1184,38.6,618,65.4
Ramsey,4144,36,4126,46.7,1744,74.6
Ransom,1866,35.8,1861,46,946,85.5
Renville,453,19.5,453,25.1,288,59.6
Richland,4468,27.6,4453,35.2,2110,69.8
Rolette,5477,38.6,5273,56.1,1303,75.3
Sargent,1247,32,1244,40.7,680,77
Sheridan,314,23.9,314,29.1,204,45.5
Sioux,670,15.8,670,24.7,199,55.4
Slope,49,6.5,49,8.2,34,19.1
Stark,5651,17.9,5619,24.5,2510,57.4
Steele,596,31.5,593,40.2,285,59.9
Stutsman,6325,30.5,6250,37.7,2684,65
Towner,723,33,717,41.8,337,60.9
Traill,2337,29.1,2334,37.6,1057,65.8
Unknown,8579,N/A,8566,N/A,2527,N/A
Walsh,2984,28,2977,36.3,1513,66
Ward,14769,21.8,14731,28.6,5871,65.8
Wells,985,25.7,985,32.3,574,52.1
Williams,4418,11.8,4414,16.6,1941,56.2
