County Level Vaccination Data for Oregon
Date generated: Sun Apr 11 2021 18:47:04 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Baker,7123,44.2,7093,54.9,4271,99.9
Benton,25839,27.8,25727,33,12068,77.2
Clackamas,84956,20.3,84637,25.7,40867,52.1
Clatsop,8153,20.3,8148,24.9,4404,46.7
Columbia,9192,17.6,9181,22.1,4982,49.6
Coos,11131,17.3,11121,21.1,6185,36.2
Crook,4575,18.7,4573,23.4,3067,50
Curry,4255,18.6,4251,21.6,2867,35.7
Deschutes,49253,24.9,49145,31,27715,68.5
Douglas,23402,21.1,23381,26.1,14471,49.6
Gilliam,406,21.2,405,26.2,244,46.2
Grant,1244,17.3,1243,21,787,34.8
Harney,1736,23.5,1734,29.4,979,53.1
Hood River,7375,31.5,7364,41.2,2555,67.1
Jackson,40756,18.4,40658,23.1,22356,44.8
Jefferson,5773,23.4,5771,30.5,2421,49.5
Josephine,15307,17.5,15282,21.7,9536,41.3
Klamath,15503,22.7,15481,28.9,8642,58.4
Lake,1676,21.3,1676,26.3,976,48.7
Lane,84384,22.1,84217,26.9,46098,60.5
Lincoln,13291,26.6,13266,31.8,7848,53.5
Linn,25790,19.9,25746,25.5,13847,56
Malheur,5943,19.4,5937,26.2,3005,58.5
Marion,71468,20.5,71264,27.1,33923,60.3
Morrow,2182,18.8,2180,25.9,1072,55.1
Multnomah,190903,23.5,190318,28.7,73694,65.3
Polk,20586,23.9,20533,30.7,10073,63.3
Sherman,462,26,461,31.9,240,53
Tillamook,5401,20,5396,24.6,3229,45.2
Umatilla,16144,20.7,16053,27.5,7214,57.7
Union,5454,20.3,5446,26,3057,53
Unknown,19278,N/A,19259,N/A,6604,N/A
Wallowa,2158,29.9,2156,36.8,1379,64.3
Wasco,6630,24.8,6618,31.8,3195,57.1
Washington,114831,19.1,114398,24.5,47272,56.7
Wheeler,479,36,479,41.8,306,63.2
Yamhill,20506,19.1,20470,24.4,9777,51.2
