County Level Vaccination Data for Puerto Rico
Date generated: Sun Apr 11 2021 18:48:05 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adjuntas,2452,14.1,2452,17.2,1374,46.5
Aguada,4575,12.5,4573,15.2,2054,32.9
Aguadilla,7992,15.9,7986,19.4,3557,41.6
Aguas Buenas,3120,12.6,3120,15.3,1481,35.1
Aibonito,4834,21.9,4829,26.6,2794,74.3
Arecibo,14821,18.1,14810,22,6062,43.5
Arroyo,2021,11.7,2021,14.3,1057,36.1
Añasco,3118,11.9,3117,14.5,1553,34.9
Barceloneta,2864,12.1,2864,14.7,1032,25.6
Barranquitas,4457,16.1,4456,19.6,2020,42.9
Bayamón,31786,18.8,31783,22.9,14870,51.7
Cabo Rojo,6733,14.2,6725,17.2,3233,40
Caguas,20218,16.2,20213,19.8,9667,45.6
Camuy,3963,13,3961,15.8,1397,26.9
Canóvanas,5517,12.3,5511,15,2042,26.9
Carolina,21653,14.7,21643,17.9,9388,37.6
Cataño,3102,13.4,3102,16.3,1535,39
Cayey,6913,16.3,6906,19.8,3287,45.6
Ceiba,1290,11.8,1290,14.4,645,34.8
Ciales,2439,15.4,2439,18.8,1093,40.7
Cidra,5152,13.4,5149,16.4,2171,33.3
Coamo,6141,16,6140,19.5,3641,55.9
Comerío,1936,10.4,1936,12.7,597,18.8
Corozal,3982,12.3,3980,15,1720,31.3
Culebra,52,3,52,3.7,25,8.6
Dorado,4830,13.4,4829,16.3,1807,29.4
Fajardo,4492,15.3,4492,18.6,2230,44.5
Florida,1914,16.9,1914,20.6,1050,54.6
Guayama,4249,10.8,4246,13.1,2041,30.4
Guayanilla,2845,16.1,2844,19.7,1502,50.1
Guaynabo,17518,20.9,17508,25.5,7997,56.2
Gurabo,5510,11.7,5510,14.3,2203,27.5
Guánica,1921,12.5,1921,15.2,1044,39.9
Hatillo,5991,15.3,5987,18.6,2722,40.8
Hormigueros,2657,17.1,2656,20.9,1461,55.4
Humacao,7171,14.2,7170,17.2,3801,44.1
Isabela,4435,11,4434,13.4,1920,27.9
Jayuya,1634,11.8,1634,14.3,989,41.9
Juana Díaz,6010,13.5,6010,16.4,2741,36.1
Juncos,4527,11.9,4526,14.5,2062,31.8
Lajas,3588,16.3,3588,19.9,1955,52.2
Lares,5133,21.1,5131,25.8,2419,58.6
Las Marías,1652,20.8,1652,25.4,1058,78.5
Las Piedras,4345,11.7,4345,14.3,2119,33.7
Loíza,2300,9.4,2299,11.4,646,15.5
Luquillo,1642,9.3,1642,11.3,750,25
Manatí,5482,14.7,5479,17.9,2604,41.1
Maricao,533,9.8,533,12,211,22.9
Maunabo,1055,10.2,1055,12.5,554,31.6
Mayagüez,12773,17.9,12768,21.8,6944,57.1
Moca,6117,17.5,6114,21.4,2838,47.9
Morovis,3668,12.1,3668,14.7,1406,27.3
Naguabo,2524,9.8,2524,11.9,1289,29.4
Naranjito,3806,13.9,3805,17,1490,32
Orocovis,2524,12.5,2524,15.2,833,24.2
Patillas,1411,8.7,1411,10.6,627,22.8
Peñuelas,2383,12.4,2383,15.1,1059,32.4
Ponce,26440,20,26431,24.4,12995,58
Quebradillas,3665,16,3665,19.5,1766,45.3
Rincón,1534,11.2,1534,13.7,775,33.4
Río Grande,5530,11.5,5529,14,2442,29.9
Sabana Grande,4011,18.5,4011,22.5,2300,62.3
Salinas,4547,16.8,4547,20.4,2481,53.8
San Germán,4250,14.1,4249,17.1,2234,43.5
San Juan,52104,16.4,52071,19.9,23834,44
San Lorenzo,3550,9.9,3546,12,1337,21.9
San Sebastián,9355,26.3,9352,32.1,5066,83.9
Santa Isabel,2158,10.2,2156,12.4,697,19.3
Toa Alta,8990,12.5,8987,15.2,3392,27.7
Toa Baja,9646,13,9641,15.8,4497,35.6
Trujillo Alto,8885,14,8880,17,4021,37.1
Unknown,22878,N/A,22870,N/A,14029,N/A
Utuado,3982,14.5,3981,17.7,1963,42.2
Vega Alta,4177,11.6,4172,14.1,2103,34.3
Vega Baja,6439,12.9,6434,15.7,2850,33.5
Vieques,3114,37.1,3114,45.2,1093,76.6
Villalba,5422,25.4,5421,30.9,2890,79.5
Yabucoa,2933,9.1,2933,11.1,1381,25.2
Yauco,5384,16,5383,19.5,2772,48.6
