County Level Vaccination Data for South Carolina
Date generated: Sun Apr 11 2021 18:49:07 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Abbeville,4730,19.3,4723,24,2909,53.1
Aiken,30871,18.1,30837,23,17786,52.3
Allendale,1227,14.1,1227,17.4,801,44.1
Anderson,34548,17.1,34507,22,20142,54.3
Bamberg,2457,17.5,2457,21.5,1527,48.4
Barnwell,3588,17.2,3585,22.5,2047,51.9
Beaufort,52483,27.3,52398,33.4,36133,67.2
Berkeley,31149,13.7,31116,17.9,16846,52.2
Calhoun,2217,15.2,2214,18.7,1288,37
Charleston,100946,24.5,100821,30.4,47792,68.4
Cherokee,6600,11.5,6593,14.9,4038,41.2
Chester,5236,16.2,5234,20.9,3053,49.4
Chesterfield,7004,15.3,6995,19.6,3990,45.9
Clarendon,7371,21.8,7360,26.9,4206,51.6
Colleton,5492,14.6,5487,18.8,3540,45.4
Darlington,13173,19.8,13161,25.3,7740,59.6
Dillon,5307,17.4,5298,23.3,2910,55.7
Dorchester,25233,15.5,25199,20.4,13807,58.4
Edgefield,6229,22.9,6225,27.8,3244,61.2
Fairfield,4194,18.8,4189,23.1,2746,54.8
Florence,30513,22.1,30471,28.8,15385,63.9
Georgetown,16532,26.4,16513,32.1,10680,59.5
Greenville,94251,18,94079,23.3,52676,62.3
Greenwood,16077,22.7,16061,29.3,9322,69.8
Hampton,3994,20.8,3991,26.4,2305,63.9
Horry,83728,23.6,83653,28.7,56045,63.1
Jasper,3256,10.8,3253,13.5,1966,32.5
Kershaw,11169,16.8,11155,21.8,6200,49.9
Lancaster,14862,15.2,14851,19.3,9153,43.6
Laurens,10911,16.2,10900,20.7,6794,53.5
Lee,2676,15.9,2675,19.8,1670,50.5
Lexington,54958,18.4,54859,23.9,29377,60.6
Marion,6037,19.7,6034,25.4,3393,53.4
Marlboro,4683,17.9,4680,22.4,2431,50
McCormick,3263,34.5,3263,38.9,2497,74.1
Newberry,8351,21.7,8334,27.6,4879,62.6
Oconee,16625,20.9,16611,26.1,11362,60.6
Orangeburg,16614,19.3,16600,24.6,9607,54.7
Pickens,22797,18,22766,22,13628,64.2
Richland,78601,18.9,78442,24,36247,66.1
Saluda,2268,11.1,2268,14.1,1373,33
Spartanburg,46248,14.5,46179,18.8,26762,51
Sumter,19812,18.6,19789,24.3,10087,56.1
Union,3810,13.9,3807,17.7,2724,48.4
Unknown,67755,N/A,67689,N/A,34631,N/A
Williamsburg,7568,24.9,7564,31.3,3812,57.7
York,38137,13.6,38056,17.8,18235,44
