County Level Vaccination Data for South Dakota
Date generated: Sun Apr 11 2021 18:49:38 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aurora,496,18,496,24,318,55.9
Beadle,3091,16.8,3091,23,1658,50.5
Bennett,763,22.7,748,33.6,296,66.2
Bon Homme,2013,29.2,2011,36.1,945,65.9
Brookings,5404,15.4,5397,19.4,2516,57.5
Brown,10201,26.3,10185,34.4,5046,72.5
Brule,1021,19.3,1021,26,420,40.2
Buffalo,454,23.1,454,37.7,107,72.3
Butte,1377,13.2,1376,17.5,923,43.1
Campbell,247,18,247,21.5,166,41.2
Charles Mix,2037,21.9,2034,31.2,1025,59.4
Clark,879,23.5,879,32.2,531,65.2
Clay,4169,29.6,4161,35.8,1646,92.9
Codington,4222,15.1,4221,19.8,2605,50.7
Corson,501,12.3,500,19.3,192,39.2
Custer,1697,18.9,1696,22.2,1167,41.1
Davison,2989,15.1,2987,19.6,1988,52.6
Day,1385,25.5,1384,32.9,808,56.9
Deuel,710,16.3,710,21.2,445,46.4
Dewey,1561,26.5,1543,42.2,448,76.5
Douglas,479,16.4,476,22,342,48.7
Edmunds,551,14.4,550,18.7,374,44.4
Fall River,1766,26.3,1765,31.6,1149,57.2
Faulk,531,23.1,530,31,356,65.6
Grant,1458,20.7,1452,26.6,889,58.9
Gregory,856,20.5,856,26.8,599,55.6
Haakon,269,14.2,269,18.5,192,39.9
Hamlin,807,13.1,807,19.4,521,54.7
Hand,566,17.7,566,22.6,399,48.6
Hanson,441,12.8,439,18.2,314,58.6
Harding,98,7.6,98,9.9,79,33.5
Hughes,3461,19.7,3458,26,1755,55.6
Hutchinson,1304,17.9,1301,23.9,937,56.1
Hyde,291,22.4,291,28.5,171,52.5
Jackson,624,18.7,601,27.6,227,50.3
Jerauld,451,22.4,451,29.3,293,53.5
Jones,228,25.2,227,32.1,150,69.8
Kingsbury,1593,32.3,1592,42.1,994,85.7
Lake,2295,17.9,2295,22.5,1129,37.3
Lawrence,4628,17.9,4621,21.7,2924,49.4
Lincoln,10491,17.2,10465,23.7,3784,46.2
Lyman,1061,28.1,1061,39.7,419,68.5
Marshall,1185,24,1185,31.6,699,66.8
McCook,1187,21.2,1183,29.3,630,59.6
McPherson,99,4.2,98,5.5,69,10.2
Meade,6428,22.7,6392,29.1,2387,52.7
Mellette,391,19,385,27,153,50.2
Miner,685,30.9,685,40.7,378,81.3
Minnehaha,48399,25.1,48289,33.4,19288,74.1
Moody,1488,22.6,1487,30.8,752,59.6
Oglala Lakota County,3845,27.1,3683,41.1,652,61.9
Pennington,21451,18.9,21411,24.4,10034,47.6
Perkins,416,14.5,416,18.3,287,37.8
Potter,427,19.8,427,25.1,352,56.1
Roberts,2856,27.5,2855,38.8,1187,57.8
Sanborn,404,17.2,404,23,261,55.1
Spink,1120,17.6,1120,22.8,726,53.7
Stanley,889,28.7,888,38.3,482,76.4
Sully,170,12.2,170,15.5,110,30.3
Todd,2444,24,2382,40.1,502,65.8
Tripp,926,17,925,22.2,546,44.1
Turner,1466,17.5,1463,23.1,838,46.8
Union,3449,21.6,3446,28.6,1668,56.3
Unknown,62642,N/A,62571,N/A,29702,N/A
Walworth,950,17.5,949,22.8,572,43.3
Yankton,6904,30.3,6888,38.2,3459,77.8
Ziebach,257,9.3,254,12.7,89,33.7
