County Level Vaccination Data for Texas
Date generated: Sun Apr 11 2021 18:50:37 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Anderson,N/A,N/A,N/A,N/A,N/A,N/A
Andrews,N/A,N/A,N/A,N/A,N/A,N/A
Angelina,N/A,N/A,N/A,N/A,N/A,N/A
Aransas,N/A,N/A,N/A,N/A,N/A,N/A
Archer,N/A,N/A,N/A,N/A,N/A,N/A
Armstrong,N/A,N/A,N/A,N/A,N/A,N/A
Atascosa,N/A,N/A,N/A,N/A,N/A,N/A
Austin,N/A,N/A,N/A,N/A,N/A,N/A
Bailey,N/A,N/A,N/A,N/A,N/A,N/A
Bandera,N/A,N/A,N/A,N/A,N/A,N/A
Bastrop,N/A,N/A,N/A,N/A,N/A,N/A
Baylor,N/A,N/A,N/A,N/A,N/A,N/A
Bee,N/A,N/A,N/A,N/A,N/A,N/A
Bell,N/A,N/A,N/A,N/A,N/A,N/A
Bexar,N/A,N/A,N/A,N/A,N/A,N/A
Blanco,N/A,N/A,N/A,N/A,N/A,N/A
Borden,N/A,N/A,N/A,N/A,N/A,N/A
Bosque,N/A,N/A,N/A,N/A,N/A,N/A
Bowie,N/A,N/A,N/A,N/A,N/A,N/A
Brazoria,N/A,N/A,N/A,N/A,N/A,N/A
Brazos,N/A,N/A,N/A,N/A,N/A,N/A
Brewster,N/A,N/A,N/A,N/A,N/A,N/A
Briscoe,N/A,N/A,N/A,N/A,N/A,N/A
Brooks,N/A,N/A,N/A,N/A,N/A,N/A
Brown,N/A,N/A,N/A,N/A,N/A,N/A
Burleson,N/A,N/A,N/A,N/A,N/A,N/A
Burnet,N/A,N/A,N/A,N/A,N/A,N/A
Caldwell,N/A,N/A,N/A,N/A,N/A,N/A
Calhoun,N/A,N/A,N/A,N/A,N/A,N/A
Callahan,N/A,N/A,N/A,N/A,N/A,N/A
Cameron,N/A,N/A,N/A,N/A,N/A,N/A
Camp,N/A,N/A,N/A,N/A,N/A,N/A
Carson,N/A,N/A,N/A,N/A,N/A,N/A
Cass,N/A,N/A,N/A,N/A,N/A,N/A
Castro,N/A,N/A,N/A,N/A,N/A,N/A
Chambers,N/A,N/A,N/A,N/A,N/A,N/A
Cherokee,N/A,N/A,N/A,N/A,N/A,N/A
Childress,N/A,N/A,N/A,N/A,N/A,N/A
Clay,N/A,N/A,N/A,N/A,N/A,N/A
Cochran,N/A,N/A,N/A,N/A,N/A,N/A
Coke,N/A,N/A,N/A,N/A,N/A,N/A
Coleman,N/A,N/A,N/A,N/A,N/A,N/A
Collin,N/A,N/A,N/A,N/A,N/A,N/A
Collingsworth,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,N/A,N/A,N/A,N/A,N/A,N/A
Comal,N/A,N/A,N/A,N/A,N/A,N/A
Comanche,N/A,N/A,N/A,N/A,N/A,N/A
Concho,N/A,N/A,N/A,N/A,N/A,N/A
Cooke,N/A,N/A,N/A,N/A,N/A,N/A
Coryell,N/A,N/A,N/A,N/A,N/A,N/A
Cottle,N/A,N/A,N/A,N/A,N/A,N/A
Crane,N/A,N/A,N/A,N/A,N/A,N/A
Crockett,N/A,N/A,N/A,N/A,N/A,N/A
Crosby,N/A,N/A,N/A,N/A,N/A,N/A
Culberson,N/A,N/A,N/A,N/A,N/A,N/A
Dallam,N/A,N/A,N/A,N/A,N/A,N/A
Dallas,N/A,N/A,N/A,N/A,N/A,N/A
Dawson,N/A,N/A,N/A,N/A,N/A,N/A
DeWitt,N/A,N/A,N/A,N/A,N/A,N/A
Deaf Smith,N/A,N/A,N/A,N/A,N/A,N/A
Delta,N/A,N/A,N/A,N/A,N/A,N/A
Denton,N/A,N/A,N/A,N/A,N/A,N/A
