County Level Vaccination Data for Vermont
Date generated: Sun Apr 11 2021 18:51:26 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Addison,7973,21.7,7961,25.9,4531,59.6
Bennington,5256,14.8,5253,18.2,3137,37.8
Caledonia,3699,12.3,3699,15.3,2088,31.6
Chittenden,39188,23.9,39124,28.9,18044,70.8
Essex,734,11.9,734,14.4,488,29.8
Franklin,5259,10.6,5255,13.6,2853,34.6
Grand Isle,2028,28,2027,34.2,1263,81.1
Lamoille,4373,17.2,4368,21.6,2491,54.9
Orange,5168,17.9,5159,21.8,2662,41.8
Orleans,5266,19.5,5263,24.1,3255,51.8
Rutland,15734,27,15714,32.8,9082,68.6
Unknown,40508,N/A,40446,N/A,22313,N/A
Washington,9153,15.7,9144,19.2,4941,42
Windham,8238,19.5,8228,23.7,4855,48.1
Windsor,11004,20,10993,24.3,5587,41.9
