County Level Vaccination Data for Virginia
Date generated: Sun Apr 11 2021 18:52:02 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Accomack,8955,27.7,8935,34.9,5112,64.4
Albemarle,10185,9.3,10154,11.6,4685,22.1
Alexandria,16868,10.6,16838,12.9,5788,29.8
Alleghany,242,1.6,242,2,133,3.5
Amelia,164,1.2,164,1.6,125,4.7
Amherst,4151,13.1,4146,16.3,2099,30.7
Appomattox,185,1.2,184,1.5,94,2.8
Arlington,29917,12.6,29868,15.4,7064,26.9
Augusta,9416,12.5,9402,15.3,4760,28.8
Bath,375,9,375,10.7,224,19.3
Bedford,6932,8.8,6928,10.9,4149,24
Bland,235,3.7,235,4.4,130,8.8
Botetourt,3338,10,3327,12.3,1729,22.2
Bristol,4416,26.3,4410,32.9,2462,67.9
Brunswick,2277,14,2273,16.8,1137,32.2
Buchanan,3630,17.3,3627,20.9,1588,32.8
Buckingham,730,4.3,730,5.2,381,11
Buena Vista,N/A,N/A,N/A,N/A,N/A,N/A
Campbell,4189,7.6,4187,9.5,2081,18.7
Caroline,1443,4.7,1442,6.1,767,14.7
Carroll,1159,3.9,1159,4.7,713,9.4
Charles City,131,1.9,131,2.2,69,3.9
Charlotte,573,4.8,572,6.1,337,12.5
Charlottesville,561,1.2,561,1.4,242,4.2
Chesapeake,10048,4.1,10019,5.4,3730,11.1
Chesterfield,39855,11.3,39771,14.7,17996,33.1
Clarke,3018,20.6,3015,25.6,1589,49.7
Colonial Heights,80,0.5,80,0.6,14,0.4
Covington,N/A,N/A,N/A,N/A,N/A,N/A
Craig,59,1.1,59,1.4,44,3.6
Culpeper,2454,4.7,2451,6.2,1049,12.4
Cumberland,294,3,294,3.7,169,7.4
