County Level Vaccination Data for Washington
Date generated: Sun Apr 11 2021 18:52:26 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,3127,15.6,3126,24.4,1444,63.8
Asotin,4400,19.5,4399,24.4,3098,57.3
Benton,42452,20.8,42383,28.2,20783,66.1
Chelan,24473,31.7,24411,41.2,11273,74.3
Clallam,26799,34.7,26781,41.6,16741,71.1
Clark,97824,20,97679,26.1,54337,69.7
Columbia,873,21.9,873,26.7,550,48.5
Cowlitz,23933,21.6,23917,28,13678,64
Douglas,11213,25.8,11193,34.7,4895,62.1
Ferry,1915,25.1,1915,30,1074,49.9
Franklin,13929,14.6,13910,21.5,5598,60.9
Garfield,349,15.7,348,19.8,225,39.9
Grant,17266,17.7,17220,24.9,8806,64.1
Grays Harbor,19637,26.2,19618,32.8,10754,64.2
Island,22094,25.9,22072,31.6,13583,63.3
Jefferson,12404,38.5,12402,43.6,9721,79.5
King,526603,23.4,525452,29.2,217040,71.3
Kitsap,68448,25.2,68362,31.6,36062,72.3
Kittitas,10659,22.2,10646,26.7,5866,73.1
Klickitat,5111,22.8,5104,28.1,3388,61.6
Lewis,14075,17.4,14067,22.2,8363,48.6
Lincoln,2573,23.5,2569,30,1640,57.9
Mason,16290,24.4,16278,30.3,9997,64.3
Okanogan,14262,33.8,14245,44,6616,71.1
Pacific,5900,26.3,5887,30.9,4393,60.7
Pend Oreille,2101,15.3,2099,18.9,1450,39.3
Pierce,179430,19.8,179216,25.8,83191,64.8
San Juan,5670,32.2,5669,36.9,4020,65
Skagit,33724,26.1,33684,33.2,19480,70.1
Skamania,1975,16.3,1974,20,1193,44.6
Snohomish,168216,20.5,167958,26.3,74551,64.9
Spokane,116024,22.2,115858,28.4,56954,65.7
Stevens,6320,13.8,6313,17.5,3877,35.5
Thurston,67533,23.2,67460,29.5,34097,65.7
Unknown,76369,N/A,76170,N/A,27411,N/A
Wahkiakum,1205,26.8,1204,32.4,783,52.9
Walla Walla,16957,27.9,16921,35.1,7895,69.5
Whatcom,59025,25.7,58791,31.7,29876,72.5
Whitman,7821,15.6,7809,18.3,3738,69.6
Yakima,56203,22.4,55927,31.6,24348,69.1
