County Level Vaccination Data for West Virginia
Date generated: Sun Apr 11 2021 18:52:56 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Barbour,251,1.5,251,1.9,174,5.1
Berkeley,17659,14.8,17638,19.2,8357,46.6
Boone,3837,17.9,3832,22.5,2123,47.3
Braxton,1006,7.2,1006,8.9,622,18.8
Brooke,2612,11.9,2608,14.4,1476,27.4
Cabell,9780,10.6,9764,13.2,4372,24.5
Calhoun,530,7.5,530,9.1,298,16.3
Clay,1073,12.6,1072,16.2,625,34.7
Doddridge,130,1.5,130,1.8,80,4.3
Fayette,6600,15.6,6575,19.5,3333,36.1
Gilmer,2009,25.7,2009,30,673,48.6
Grant,935,8.1,933,10,543,18.7
Greenbrier,7148,20.6,7127,25.5,3693,45.4
Hampshire,2488,10.7,2485,13.1,1468,27
Hancock,3298,11.4,3292,14.1,1839,26.9
Hardy,1763,12.8,1760,16.1,965,31.2
Harrison,8696,12.9,8672,16.4,4477,33.7
Jackson,2077,7.3,2074,9.2,1325,22.2
Jefferson,7071,12.4,7066,15.9,3696,38.6
Kanawha,32004,18,31906,22.4,15167,40.2
Lewis,2990,18.8,2982,23.7,1506,44.8
Lincoln,1729,8.5,1729,10.9,934,22.9
Logan,5631,17.6,5615,22.1,2790,41.4
Marion,1942,3.5,1940,4.3,1212,10.9
Marshall,1662,5.4,1658,6.7,895,12.7
Mason,3472,13.1,3471,16.5,1969,34.3
McDowell,2104,11.9,2090,14.9,996,24.8
Mercer,11896,20.2,11870,25.5,5675,43.1
Mineral,5029,18.7,5028,23.3,2990,50.2
Mingo,3403,14.5,3399,18.7,1703,36.7
Monongalia,8361,7.9,8351,9.5,3035,21.7
Monroe,2484,18.7,2477,23.2,1296,38.4
Morgan,174,1,174,1.2,132,3.1
Nicholas,5062,20.7,5043,25.9,2601,46.3
Ohio,1373,3.3,1372,4.1,661,7.2
Pendleton,1650,23.7,1650,28.9,987,50.3
Pleasants,301,4,301,5,212,14.5
Pocahontas,1368,16.6,1368,20.1,808,37.5
Preston,6963,20.8,6954,25.7,3203,45.9
Putnam,3651,6.5,3644,8.3,1716,16.1
Raleigh,9558,13,9538,16.4,4684,30.1
Randolph,5427,18.9,5407,23.2,2858,44.8
Ritchie,1242,13,1242,16.2,750,34.2
Roane,207,1.5,207,1.9,137,4.4
Summers,952,7.6,946,9,549,16.7
Taylor,267,1.6,267,2,181,5.2
Tucker,1515,22.2,1500,25.7,742,40.4
Tyler,934,10.9,932,13.4,524,26
Unknown,200946,N/A,200523,N/A,96995,N/A
Upshur,753,3.1,752,3.9,523,10.3
Wayne,7114,18.1,7110,22.6,3686,43.1
Webster,1677,20.7,1669,25.5,917,47
Wetzel,707,4.7,705,5.8,440,12.6
Wirt,27,0.5,27,0.6,25,2.1
Wood,13533,16.2,13526,20.5,8471,48.5
Wyoming,5547,27.2,5509,33.9,2624,58.5
