County Level Vaccination Data for Wisconsin
Date generated: Sun Apr 11 2021 18:53:27 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,5042,24.9,5041,29,3464,56.8
Ashland,5220,33.5,5219,43,2600,82.5
Barron,11294,25,11281,31.7,6646,65.1
Bayfield,6751,44.9,6747,54.3,3619,85.3
Brown,66353,25.1,66230,32.7,31222,76.5
Buffalo,3305,25.4,3299,31.8,1987,67
Burnett,4287,27.8,4283,33.6,2872,63.4
Calumet,11219,22.4,11203,29.2,5732,72.9
Chippewa,16439,25.4,16422,32.5,8965,75.2
Clark,5427,15.6,5422,22.1,3315,55.9
Columbia,15637,27.2,15600,34.3,8663,81.9
Crawford,4717,29.2,4712,36.5,2833,73.3
Dane,172386,31.5,171845,39.4,67533,86.8
Dodge,18097,20.6,18077,25.6,10695,66.9
Door,9729,35.2,9722,42,6281,74.4
Douglas,7743,17.9,7727,22.3,4075,49.2
Dunn,8871,19.6,8856,24.3,4879,66.9
Eau Claire,28952,27.7,28883,34.6,13044,76.9
Florence,1200,27.9,1199,32.6,749,64.5
Fond du Lac,24701,23.9,24669,30.3,13704,69.7
Forest,2848,31.6,2845,39.3,1560,75.1
Grant,13158,25.6,13139,32.2,7740,85.3
Green,10204,27.6,10182,35.4,5540,77.8
Green Lake,5064,26.8,5056,34.2,3083,71.5
Iowa,7062,29.8,7052,38.3,3864,83.8
Iron,1933,34,1933,40,1285,70.5
Jackson,4983,24.1,4979,30.8,2562,64.5
Jefferson,19839,23.4,19817,29.5,10378,69.3
Juneau,6761,25.3,6749,31.6,3980,71.5
Kenosha,41069,24.2,40976,31.1,17654,71.5
Kewaunee,4867,23.8,4862,30.3,2800,65.5
La Crosse,33213,28.1,33147,34.9,16246,81.5
Lafayette,4742,28.5,4737,37.4,2545,78.8
Langlade,4696,24.5,4687,30.3,2997,63.2
Lincoln,6478,23.5,6474,28.7,4356,71.2
Manitowoc,20173,25.5,20128,32,12040,72.2
Marathon,26039,19.2,25999,24.8,14542,58.9
Marinette,9123,22.6,9120,27.9,6287,63.5
Marquette,4264,27.4,4258,33.9,2674,68.4
Menominee,1663,36.5,1663,54.7,549,86.2
Milwaukee,200388,21.2,199954,27.8,87119,65.9
Monroe,11078,24,11055,32,5988,73.9
Oconto,9277,24.5,9263,30.6,5477,69.2
Oneida,11113,31.2,11110,37.6,7186,75.7
Outagamie,43758,23.3,43683,30.3,21433,74.8
Ozaukee,25581,28.7,25513,36.3,13671,75.3
Pepin,1913,26.3,1912,33.1,1187,69.3
Pierce,7470,17.5,7457,22,4564,70
Polk,9443,21.6,9429,27.1,6262,67.1
Portage,14718,20.8,14688,25.6,8459,69
Price,3469,26,3463,31.6,2310,65.4
Racine,43743,22.3,43664,28.8,22772,67.7
Richland,4852,28.1,4833,35.8,2993,73.6
Rock,41149,25.2,41107,32.6,23250,83.3
Rusk,2524,17.8,2521,22.3,1778,50.5
Sauk,17248,26.8,17209,34.5,9831,80.1
Sawyer,4983,30.1,4969,37.1,2982,67.5
Shawano,10162,24.8,10154,31.6,5270,59.7
Sheboygan,26574,23,26520,29.4,15020,70.2
St. Croix,14893,16.4,14858,21.7,8576,64.4
Taylor,3133,15.4,3131,20.1,1977,49.7
Trempealeau,8661,29.2,8651,38.9,4879,89.2
Unknown,38671,N/A,38615,N/A,12624,N/A
Vernon,7923,25.7,7911,34.7,4457,72.4
Vilas,6879,31,6876,37.3,4575,66.4
Walworth,20729,20,20711,25,12040,63.2
Washburn,4924,31.3,4915,38.5,3240,75.3
Washington,29809,21.9,29765,27.9,17504,69.7
Waukesha,110571,27.4,110341,34.7,58179,75
Waupaca,11792,23.1,11783,29,7167,66
Waushara,5417,22.2,5412,27.1,3463,56.6
Winnebago,42266,24.6,42181,30.8,21445,74.2
Wood,17911,24.5,17856,31.2,10541,68.4
