County Level Vaccination Data for Alabama
Date generated: Thu Apr 15 2021 13:51:44 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Autauga,6827,12.2,6817,15.9,3310,37.1
Baldwin,40334,18.1,40300,22.9,23950,51.1
Barbour,3260,13.2,3260,16.6,2127,43.8
Bibb,2651,11.8,2649,14.9,1468,39.3
Blount,5606,9.7,5603,12.6,3301,30.5
Bullock,1796,17.8,1796,22.5,888,51.9
Butler,2711,13.9,2711,17.9,1611,39.8
Calhoun,19170,16.9,19163,21.5,10340,50.3
Chambers,4089,12.3,4087,15.5,2279,33.9
Cherokee,3912,14.9,3912,18.4,2332,37.8
Chilton,4373,9.8,4372,12.9,2618,34.4
Choctaw,2831,22.5,2831,28,1663,56
Clarke,4803,20.3,4800,25.8,2702,55.8
Clay,2106,15.9,2105,19.9,1042,37.4
Cleburne,1980,13.3,1980,17.1,1217,40.5
Coffee,7728,14.8,7715,19.3,4358,48.3
Colbert,10395,18.8,10388,23.8,5499,49.7
Conecuh,2191,18.2,2190,22.8,1252,44.2
Coosa,1907,17.9,1907,21.4,1090,42.4
Covington,5277,14.2,5270,18.2,3078,38.9
Crenshaw,1818,13.2,1818,17.1,1084,40.6
Cullman,14269,17,14262,22,8128,51.7
Dale,9799,19.9,9791,25.8,4363,51.3
Dallas,6113,16.4,6108,21.4,3167,45.1
DeKalb,7918,11.1,7914,14.5,4307,34.2
Elmore,11282,13.9,11275,17.9,5958,47.1
Escambia,4929,13.5,4927,17.3,3197,47.8
Etowah,14357,14,14355,17.8,8040,40.6
Fayette,2376,14.6,2375,18.5,1476,41.6
Franklin,5605,17.9,5604,23.8,2957,55
Geneva,4253,16.2,4252,20.7,2581,47.6
Greene,1504,18.5,1501,23.7,829,43.9
Hale,3695,25.2,3690,32.7,1670,57.9
Henry,3228,18.8,3224,23.5,1905,47.3
Houston,19659,18.6,19643,24.1,10084,52.6
Jackson,9336,18.1,9333,22.8,5755,54.3
Jefferson,134974,20.5,134821,26.5,61445,57.2
Lamar,2731,19.8,2731,25.2,1677,54.8
Lauderdale,17746,19.1,17738,23.8,9632,50.7
Lawrence,6179,18.8,6176,23.9,3518,56
Lee,29689,18,29599,22.8,9952,48.8
Limestone,13972,14.1,13966,18.2,7448,49.4
Lowndes,1316,13.5,1315,17.3,725,37.7
Macon,3464,19.2,3461,23.1,1799,47.5
Madison,76038,20.4,75949,26,35686,62.5
Marengo,4144,22,4142,28.3,2187,58.3
Marion,4374,14.7,4374,18.6,2687,42.1
Marshall,14468,15,14460,20,8234,49.2
Mobile,75508,18.3,75402,23.8,35550,51.7
Monroe,3420,16.5,3419,20.9,1937,44.2
Montgomery,37868,16.7,37829,21.8,15602,44.2
Morgan,20988,17.5,20979,22.7,11700,54.8
Perry,1801,20.2,1798,25.5,844,47
Pickens,3398,17,3397,21.1,1715,44.1
Pike,5383,16.3,5380,20.1,2770,55.1
Randolph,3371,14.8,3371,18.8,2006,42.3
Russell,6897,11.9,6893,15.7,3783,44
Shelby,23524,10.8,23505,14.1,10874,31.3
St. Clair,11078,12.4,11077,16,6267,41.6
Sumter,2553,20.5,2549,25.3,1198,51.5
Talladega,10340,12.9,10337,16.3,5731,38.8
Tallapoosa,7030,17.4,7027,21.9,4195,46.7
Tuscaloosa,31425,15,31401,19,14037,48.8
Unknown,67512,N/A,67443,N/A,24527,N/A
Walker,10669,16.8,10667,21.6,6114,49.3
Washington,2789,17.1,2788,21.9,1625,50.5
Wilcox,2354,22.7,2354,29.6,1160,55.1
Winston,1911,8.1,1911,10.1,1233,23.9
