County Level Vaccination Data for Alaska
Date generated: Thu Apr 15 2021 13:52:16 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aleutians East,891,26.7,879,28.5,130,37
Aleutians West,1276,22.6,1266,25.4,202,48.2
Anchorage,93345,32.4,92026,42.1,25439,75.4
Bethel,7227,39.3,7024,59.3,1065,73.5
Bristol Bay,407,48.7,403,58.7,112,82.4
Denali,674,32.1,669,39.4,163,68.5
Dillingham,1508,30.7,1484,44,311,63
Fairbanks North Star,24645,25.4,24234,32.8,6897,63.7
Haines,1197,47.3,1197,57.7,395,72.1
Hoonah-Angoon,987,45.9,968,54.8,356,69
Juneau,13345,41.7,13199,52.3,3819,85.6
Kenai Peninsula,16083,27.4,15943,35,6773,62.9
Ketchikan Gateway,4555,32.8,4545,41.8,1656,72.3
Kodiak Island,4802,36.9,4728,48.5,1195,81
Kusilvak Census Area,N/A,N/A,N/A,N/A,N/A,N/A
Lake and Peninsula,542,34,540,47.5,109,59.6
Matanuska-Susitna,20118,18.6,19863,24.9,7378,53.6
Nome,4687,46.9,4513,69,669,83.3
North Slope,2271,23.1,2202,30.6,391,53.1
Northwest Arctic,2492,32.7,2391,49.2,411,73.8
Petersburg,1752,53.6,1726,66.3,558,83.3
Prince of Wales-Hyder,1969,31.7,1956,40.6,687,61.1
Sitka,4375,51.5,4282,63.5,1100,80.6
Skagway,647,54.7,642,64.1,137,73.3
Southeast Fairbanks,1245,18.1,1239,23.9,562,52.1
Unknown,4691,N/A,4664,N/A,951,N/A
Valdez-Cordova,3064,33.3,3055,43.3,843,63.5
Wrangell,968,38.7,963,47.9,365,59.4
Yakutat,308,53.2,307,64.4,87,71.3
Yukon-Koyukuk,2386,45.6,2339,62,626,76.2
