County Level Vaccination Data for Arizona
Date generated: Thu Apr 15 2021 13:52:39 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Apache,31165,43.4,29661,56.5,8038,70.9
Cochise,27932,22.2,27928,28.2,15569,53.5
Coconino,55761,38.9,54915,47.9,16742,89.7
Gila,18063,33.4,17962,41.4,8643,54.5
Graham,9408,24.2,9357,32.8,3767,69.2
Greenlee,2540,26.7,2540,36.7,792,61.1
La Paz,4413,20.9,4413,25.1,3013,35.9
Maricopa,940621,21,939116,27.4,413608,59.4
Mohave,29543,13.9,29539,16.7,21059,32
Navajo,36207,32.6,35188,43,12266,58.9
Pima,278562,26.6,278331,33.5,139731,65.7
Pinal,93463,20.2,93412,25.9,51539,53.4
Santa Cruz,14433,31,14430,42.3,6182,72
Unknown,35783,N/A,35642,N/A,12589,N/A
Yavapai,52948,22.5,52936,26.8,35834,46.9
Yuma,39654,18.5,39644,24.7,18979,46
