County Level Vaccination Data for Arkansas
Date generated: Thu Apr 15 2021 13:53:03 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Arkansas,4409,25.2,4398,32.6,2076,58.5
Ashley,3381,17.2,3378,22.1,2045,49.7
Baxter,6648,15.9,6642,19.3,4386,33.6
Benton,43679,15.6,43542,21.1,18967,50
Boone,5554,14.8,5547,19.2,3516,44.8
Bradley,2468,22.9,2464,30.1,1197,57.8
Calhoun,798,15.4,798,19,464,40.7
Carroll,5163,18.2,5158,23.1,2960,43.7
Chicot,2474,24.5,2466,31.2,1309,61.3
Clark,4593,20.6,4582,25.3,2357,62.8
Clay,3247,22.3,3241,28.3,1823,57.3
Cleburne,4614,18.5,4612,22.8,3333,49.1
Cleveland,1789,22.5,1789,28.7,964,56.5
Columbia,4240,18.1,4237,22.8,2121,51
Conway,4647,22.3,4644,28.8,2414,58.7
Craighead,19497,17.7,19449,23.5,7439,48.2
Crawford,9607,15.2,9596,20,4738,43.7
Crittenden,7238,15.1,7230,20.7,2731,39.2
Cross,3255,19.8,3255,25.8,1644,51.9
Dallas,1672,23.9,1671,30.2,977,57.1
Desha,2941,25.9,2887,34,1468,65.9
Drew,3758,20.6,3753,26.3,1677,50.6
Faulkner,25193,20,25115,25.8,10170,62.8
Franklin,3670,20.7,3667,26.7,1994,56.4
Fulton,1467,11.8,1467,14.9,877,27
Garland,20395,20.5,20330,25.5,12000,49.7
Grant,3037,16.6,3036,21.3,1650,48.9
Greene,8189,18.1,8181,23.8,3906,53
Hempstead,2079,9.7,2077,13,1030,25.9
Hot Spring,5784,17.1,5778,21.6,3086,47.3
Howard,2722,20.6,2721,27.9,1379,57.8
Independence,5390,14.2,5382,18.8,2769,40.8
Izard,2176,16,2176,19.5,1218,34.2
Jackson,2959,17.7,2957,22.1,1576,51.6
Jefferson,10049,15,10036,19.2,5226,43.5
Johnson,5069,19.1,5062,25.2,2318,51.7
Lafayette,1010,15.2,1010,18.7,631,38.5
Lawrence,2785,17,2782,21.8,1514,46.3
Lee,1440,16.3,1440,19.9,821,45.9
Lincoln,1829,14,1826,16.7,998,48.2
Little River,1464,11.9,1462,15.4,944,36.8
Logan,3986,18.6,3984,23.6,2252,51.2
Lonoke,12274,16.7,12260,22.4,5561,55
Madison,2208,13.3,2203,17.3,1326,41.3
Marion,2207,13.2,2206,16.1,1465,30.2
Miller,1945,4.5,1944,5.9,1142,15.3
Mississippi,5762,14.2,5750,19.1,2841,46.5
Monroe,1485,22.2,1480,27.8,743,46.1
Montgomery,1919,21.4,1919,26.2,1200,49.5
Nevada,1007,12.2,1003,15.8,484,27.9
Newton,1031,13.3,1031,16.5,751,35.6
Ouachita,5092,21.8,5085,28,2725,55.2
Perry,2219,21.2,2219,27.4,1266,59.1
Phillips,3282,18.5,3279,24.8,1644,47.4
Pike,1680,15.7,1679,20,961,43.8
Poinsett,3869,16.4,3866,21.5,1892,43.8
Polk,2443,12.2,2441,15.8,1381,29.3
Pope,12328,19.2,12312,24.8,5437,52.5
Prairie,1245,15.4,1243,19.4,635,32.9
Pulaski,94200,24,93881,31.1,38089,60.4
Randolph,2220,12.4,2218,16.2,1093,30.8
Saline,24784,20.2,24708,26.2,10730,48.3
Scott,1500,14.6,1498,18.9,781,35.4
Searcy,1297,16.5,1297,20.5,923,45.1
Sebastian,19336,15.1,19273,19.8,7878,37.5
Sevier,2580,15.2,2580,21.3,1137,44.7
Sharp,2405,13.8,2402,17.3,1571,34.1
St. Francis,5181,20.7,5179,26.2,2234,53.1
Stone,2267,18.1,2265,22.4,1505,43.1
Union,6093,15.8,6087,20.7,3327,46.7
Unknown,60976,N/A,60816,N/A,22969,N/A
Van Buren,2945,17.8,2944,22.1,2043,46.3
Washington,42638,17.8,42536,23.4,15778,54.6
White,13949,17.7,13924,23,7615,57.7
Woodruff,1411,22.3,1411,28.4,817,55.4
Yell,3970,18.6,3965,24.5,1910,49.5
