County Level Vaccination Data for California
Date generated: Thu Apr 15 2021 13:53:19 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alameda,478750,28.6,476732,35.8,162790,68.2
Alpine,N/A,N/A,N/A,N/A,N/A,N/A
Amador,8452,21.3,8445,25,5490,50.2
Butte,49745,22.7,49631,28.4,23142,57.5
Calaveras,10213,22.2,10191,26.8,6907,53.7
Colusa,3920,18.2,3916,24.9,1660,51.6
Contra Costa,325916,28.3,324503,36.3,139162,74.1
Del Norte,4019,14.5,4017,18.3,2071,40.4
El Dorado,45002,23.3,44859,29,24115,57
Fresno,208377,20.9,207592,28.9,74355,59.3
Glenn,5455,19.2,5445,26.1,2681,59.9
Humboldt,31168,23,31128,28.3,14683,58.3
Imperial,34579,19.1,34510,26.6,12136,50.3
Inyo,N/A,N/A,N/A,N/A,N/A,N/A
Kern,145093,16.1,144536,22.5,53311,52.7
Kings,20112,13.2,20042,18,6500,40.6
Lake,15534,24.1,15500,30.5,8270,55.7
Lassen,4411,14.4,4408,17.4,2472,52.2
Los Angeles,2235022,22.3,2227102,28.2,791440,56
Madera,29091,18.5,28994,25.4,12581,55.7
Marin,96111,37.1,95230,45.9,43837,73.8
Mariposa,N/A,N/A,N/A,N/A,N/A,N/A
Mendocino,27079,31.2,26923,39.3,12545,62.6
Merced,38751,14,38614,19.7,15619,49.4
Modoc,N/A,N/A,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A,N/A,N/A
Monterey,89879,20.7,89655,27.9,35712,58.8
Napa,42130,30.6,41995,38.2,18171,66.9
Nevada,23124,23.2,23060,27.8,14387,50.8
Orange,712581,22.4,710314,28.6,304178,62.6
Placer,103275,25.9,102811,33.1,52340,65.9
Plumas,N/A,N/A,N/A,N/A,N/A,N/A
Riverside,434601,17.6,433481,23.4,202126,55.2
Sacramento,332454,21.4,331216,27.9,133795,59.5
San Benito,10981,17.5,10956,23.4,4474,54.2
San Bernardino,353935,16.2,352787,21.9,136814,52.5
San Diego,602854,18.1,600701,22.9,238997,49.3
San Francisco,285830,32.4,285014,37.3,90767,64
San Joaquin,133748,17.5,133266,23.9,57617,57.7
San Luis Obispo,57541,20.3,57436,24.6,32225,54.6
San Mateo,231531,30.2,230441,37.7,84868,66.9
Santa Barbara,100228,22.4,100017,28.7,45503,64.9
Santa Clara,467179,24.2,465381,30.8,181101,67.5
Santa Cruz,73235,26.8,73011,33,31005,65.7
Shasta,28681,15.9,28605,20.2,15510,40.7
Sierra,N/A,N/A,N/A,N/A,N/A,N/A
Siskiyou,10493,24.1,10481,30.1,5953,52.3
Solano,94959,21.2,94688,27.1,38705,52.9
Sonoma,145838,29.5,145379,36.5,67661,66.1
Stanislaus,93328,16.9,92814,23.1,38140,51.6
Sutter,20222,20.9,20178,28,8781,58.2
Tehama,8516,13.1,8511,17.2,4291,33.6
Trinity,N/A,N/A,N/A,N/A,N/A,N/A
Tulare,86384,18.5,85939,26.5,29816,54.9
Tuolumne,15158,27.8,15144,33.4,9414,64
Unknown,306276,N/A,305480,N/A,95765,N/A
Ventura,210015,24.8,209158,31.9,88371,64.6
Yolo,55787,25.3,55504,31.8,19553,68.6
Yuba,11769,15,11747,20.6,5164,50.3
