County Level Vaccination Data for Colorado
Date generated: Thu Apr 15 2021 13:53:42 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams,50852,9.8,50629,13.2,17400,31.3
Alamosa,2060,12.7,2058,16.7,659,29.2
Arapahoe,76176,11.6,75738,15,29156,32.9
Archuleta,2264,16.1,2256,19.5,666,17.4
Baca,307,8.6,307,11,140,16
Bent,220,3.9,220,4.7,109,10.4
Boulder,51588,15.8,51297,19.4,18187,37.6
Broomfield,10803,15.3,10723,19.5,3813,37.8
Chaffee,3525,17.3,3500,20.2,945,17.8
Cheyenne,120,6.6,120,8.8,50,13
Clear Creek,1013,10.4,1011,12.3,354,17.1
Conejos,1150,14,1148,18.7,548,33.6
Costilla,741,19.1,739,23.5,203,19.4
Crowley,286,4.7,286,5.3,139,16.4
Custer,571,11.3,571,13.1,350,20.9
Delta,5078,16.3,5074,20.3,2936,35.2
Denver,93768,12.9,93295,15.9,25077,28.9
Dolores,255,12.4,254,15.3,80,14.9
Douglas,49441,14.1,49062,18.7,18079,41.5
Eagle,12561,22.8,12436,28.7,1732,25.3
El Paso,106804,14.8,106550,19.4,39375,41.4
Elbert,2472,9.2,2461,11.7,1274,27.7
Fremont,5699,11.9,5699,14.2,3062,28.9
Garfield,7413,12.3,7384,16.4,1695,20.5
Gilpin,837,13.4,835,15.7,380,34.2
Grand,2219,14.1,2218,16.9,810,27.9
Gunnison,3243,18.6,3225,22.2,342,14.3
Hinsdale,153,18.7,152,21.8,57,22.1
Huerfano,1098,15.9,1098,19,632,28.5
Jackson,122,8.8,122,10.5,68,21
Jefferson,92055,15.8,91617,19.5,38410,38.9
Kiowa,100,7.1,99,9.2,36,11.1
Kit Carson,746,10.5,745,14,310,22.4
La Plata,14093,25.1,13977,30.6,3858,37.6
Lake,997,12.3,994,15.2,279,23.5
Larimer,59218,16.6,59083,20.5,22342,38.7
Las Animas,2378,16.4,2363,19.9,984,26.7
Lincoln,598,10.5,598,13.2,209,20.8
Logan,2141,9.6,2138,11.6,1015,25
Mesa,28060,18.2,27874,23,13341,43.9
Mineral,139,18.1,139,21,68,26.4
Moffat,1205,9.1,1201,12.1,478,22.6
Montezuma,5941,22.7,5881,28.7,1629,27.1
Montrose,8549,20,8518,25.3,4693,45.6
Morgan,3513,12.1,3506,16.3,1260,27.8
Otero,1980,10.8,1974,14.2,848,22.4
Ouray,1314,26.5,1309,31.2,446,33
Park,2325,12.3,2321,14.5,1260,31
Phillips,465,10.9,465,14.4,146,14.7
Pitkin,2727,15.3,2721,18,518,14.4
Prowers,1111,9.1,1109,12.3,487,22.1
Pueblo,20486,12.2,20449,15.6,9649,30.2
Rio Blanco,475,7.5,474,9.9,220,21.3
Rio Grande,2018,17.9,2013,23,943,40.1
Routt,5874,22.9,5848,27.7,1594,37.4
Saguache,384,5.6,384,7.1,205,12.2
San Juan,85,11.7,84,13.2,18,9.6
San Miguel,2579,31.5,2574,38,409,32.3
Sedgwick,316,14.1,315,17.4,110,18
Summit,6071,19.6,6054,23.3,1375,31
Teller,3087,12.2,3083,14.6,1674,28.4
Unknown,575343,N/A,574537,N/A,287326,N/A
Washington,318,6.5,318,8.3,176,16.8
Weld,38767,11.9,38653,16.1,14710,36.5
Yuma,880,8.8,878,12.1,280,15
