County Level Vaccination Data for Florida
Date generated: Thu Apr 15 2021 13:54:49 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alachua,68041,25.3,67996,30.8,30358,77.3
Baker,3360,11.5,3360,15.1,2157,52.4
Bay,34440,19.7,34420,24.8,18553,57
Bradford,3671,13,3671,16.2,2495,49.3
Brevard,130747,21.7,130684,26.5,86241,59.2
Broward,418314,21.4,417658,27.1,213253,63.7
Calhoun,1985,14.1,1985,17.6,1353,50.7
Charlotte,57500,30.4,57476,34.5,47353,61.4
Citrus,38124,25.5,38118,29.9,31679,57.7
Clay,36364,16.6,36338,21.5,20201,56.4
Collier,110657,28.7,110625,34.6,87256,68.9
Columbia,11882,16.6,11880,21.1,7597,55
DeSoto,5526,14.5,5526,17.9,4202,49.1
Dixie,2346,13.9,2346,17.1,1832,46
Duval,208589,21.8,208409,28.1,95088,68.6
Escambia,64308,20.2,64281,25.5,34613,63.4
Flagler,31766,27.6,31759,33.1,24065,67
Franklin,2854,23.5,2854,27.8,2038,69.7
Gadsden,10729,23.5,10723,29.9,5800,67.9
Gilchrist,2615,14.1,2613,17.6,1794,46.7
Glades,1739,12.6,1739,14.7,1317,34.6
Gulf,2979,21.8,2979,26.7,2255,62.4
Hamilton,2046,14.2,2046,17.5,1461,54.8
Hardee,2899,10.8,2899,14.4,2274,48.4
Hendry,5661,13.5,5658,18.4,3433,59.4
Hernando,40395,20.8,40378,25.5,29924,56.1
Highlands,23011,21.7,23010,26,18864,49.3
Hillsborough,282935,19.2,282713,24.7,125203,58.5
Holmes,2467,12.6,2466,15.8,1685,43
Indian River,44938,28.1,44924,33.3,35711,66
Jackson,8285,17.9,8284,22,5075,53
Jefferson,4221,29.6,4221,35.5,3147,89.6
Lafayette,1278,15.2,1278,19,1056,72.6
Lake,97279,26.5,97197,32.6,72161,72.6
Lee,172101,22.3,172071,27,133394,59.4
Leon,63634,21.7,63565,26.6,31244,76.6
Levy,7105,17.1,7102,21.2,5173,49.6
Liberty,1102,13.2,1102,16,686,54.6
Madison,3566,19.3,3565,23.6,2375,60.9
Manatee,92375,22.9,92359,27.9,68938,60.9
Marion,82719,22.6,82703,27.7,62804,58.9
Martin,45386,28.2,45372,33.6,35575,70.1
Miami-Dade,622886,22.9,621713,28.7,288271,63.7
Monroe,19740,26.6,19735,31.3,12855,72.9
Nassau,23749,26.8,23737,33.4,15433,76.3
Okaloosa,42341,20.1,42322,25.8,23952,69.7
Okeechobee,6484,15.4,6482,19.5,5129,60.5
Orange,272935,19.6,272336,25,113184,66
Osceola,64804,17.2,64747,22.7,33593,66.2
Palm Beach,361656,24.2,361350,29.8,240767,66
Pasco,112036,20.2,111983,25.3,72459,57.8
Pinellas,248366,25.5,248232,30.3,154896,62.6
Polk,125905,17.4,125833,22.2,82365,55.6
Putnam,10715,14.4,10713,18.2,7703,43.6
Santa Rosa,32751,17.8,32723,22.7,19422,64.5
Sarasota,133674,30.8,133618,35.8,105792,65.3
Seminole,90719,19.2,90589,24.2,46677,61.9
St. Johns,78317,29.6,78204,37.7,45096,82.5
St. Lucie,65744,20,65730,24.9,47129,58.2
Sumter,67298,50.8,67289,54.7,60566,78.6
Suwannee,6936,15.6,6934,19.8,5128,53.1
Taylor,3104,14.4,3103,17.9,2247,49.7
Union,1549,10.2,1549,12.7,1089,47
Unknown,49797,N/A,49770,N/A,17472,N/A
Volusia,123387,22.3,123352,27,86443,62.7
Wakulla,6189,18.3,6185,23.1,3846,71.7
Walton,13543,18.3,13539,23,8819,58.9
Washington,2934,11.5,2931,14.4,1942,44.3
