County Level Vaccination Data for Georgia
Date generated: Thu Apr 15 2021 13:57:25 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Appling,532,2.9,531,3.8,291,8.9
Atkinson,172,2.1,172,2.9,72,6.1
Bacon,224,2,224,2.7,109,5.8
Baker,453,14.9,453,18.5,252,35
Baldwin,906,2,906,2.5,472,6.4
Banks,618,3.2,617,4.1,374,11
Barrow,3923,4.7,3921,6.3,2274,21.4
Bartow,3564,3.3,3562,4.3,2046,13.2
Ben Hill,446,2.7,446,3.5,236,7.9
Berrien,1360,7,1360,9.2,855,25.6
Bibb,12946,8.5,12935,11.1,6503,26.5
Bleckley,204,1.6,203,2,100,4.5
Brantley,618,3.2,618,4.2,416,12.7
Brooks,2269,14.7,2267,18.7,1362,44.1
Bryan,5144,13,5136,18.4,2245,53
Bulloch,9229,11.6,9217,14.4,4729,51
Burke,3131,14,3131,18.8,1765,49.4
Butts,673,2.7,673,3.4,397,10.1
Calhoun,329,5.3,329,6.4,155,15.1
Camden,10854,19.9,10844,26.1,4530,58.3
Candler,463,4.3,463,5.7,225,11.2
Carroll,8394,7,8388,9.1,4885,29.4
Catoosa,2424,3.6,2420,4.6,709,5.8
Charlton,281,2.1,281,2.6,184,8.7
Chatham,59945,20.7,59847,26.1,28520,61.7
Chattahoochee,9933,91.1,9895,99.9,1390,99.9
Chattooga,512,2.1,512,2.7,279,6.4
Cherokee,26621,10.3,26581,13.5,14665,39
Clarke,13129,10.2,13124,12.3,7178,49.5
Clay,261,9.2,261,11.4,184,23.7
Clayton,9877,3.4,9852,4.7,4995,17.7
Clinch,820,12.4,820,16.5,489,44.1
Cobb,94063,12.4,93889,16.1,48040,49.7
Coffee,4604,10.6,4602,14.1,2307,37.9
Colquitt,1798,3.9,1795,5.3,862,11.8
Columbia,17206,11,17171,14.6,7086,32.4
Cook,2831,16.4,2829,21.9,1576,54.5
Coweta,13572,9.1,13567,12,7290,34.4
Crawford,789,6.4,788,8,431,17.9
Crisp,1052,4.7,1051,6.2,547,12.7
Dade,888,5.5,886,6.8,325,10
Dawson,468,1.8,468,2.2,264,5
DeKalb,72492,9.5,72293,12.4,31636,32.3
