County Level Vaccination Data for Idaho
Date generated: Thu Apr 15 2021 13:58:15 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Ada,128028,26.6,128026,34.6,56476,78.5
Adams,852,19.8,852,24,635,49.5
Bannock,19006,21.6,19006,29.2,8737,67.8
Bear Lake,1400,22.9,1400,31.3,913,72.2
Benewah,2289,24.6,2288,31.6,1266,59.8
Bingham,8911,19,8911,27.3,4204,61.9
Blaine,8227,35.7,8227,45.3,4149,88.6
Boise,1285,16.4,1285,19.6,866,42.1
Bonner,10256,22.4,10255,27.9,6111,52.6
Bonneville,22762,19.1,22762,27.4,10680,66.3
Boundary,2116,17.3,2116,22.4,1312,46.4
Butte,559,21.5,559,28.4,332,54.1
Camas,281,25.4,281,32.6,136,50.4
Canyon,36333,15.8,36333,21.9,18703,58.1
Caribou,1111,15.5,1111,21.9,619,49.9
Cassia,3108,12.9,3108,18.9,1700,48.9
Clark,101,12,101,15.3,57,34.8
Clearwater,1817,20.8,1817,24.6,1275,52
Custer,971,22.5,971,27.2,676,52.1
Elmore,4735,17.2,4734,23,2192,56.5
Franklin,2523,18.2,2521,26.5,1327,65.4
Fremont,2214,16.9,2214,22.4,1342,58.7
Gem,3460,19.1,3460,24.8,2211,55.5
Gooding,2471,16.3,2471,22.3,1465,54
Idaho,2608,15.6,2608,19.4,1848,38.7
Jefferson,4199,14.1,4199,21.2,2098,60.7
Jerome,3605,14.8,3605,21.2,1837,56.8
Kootenai,37322,22.5,37314,29.1,19632,61
Latah,9765,24.3,9763,29.8,4337,76.8
Lemhi,1918,23.9,1918,29.4,1352,55
Lewis,935,24.4,935,31.1,617,59.8
Lincoln,814,15.2,814,20.9,444,58.5
Madison,5040,12.6,5040,17.3,1924,68
Minidoka,3033,14.4,3033,20.2,1629,47.7
Nez Perce,10292,25.5,10291,32.4,5517,67.5
Oneida,903,19.9,903,27.8,527,56.9
Owyhee,1496,12.7,1496,17,828,38.8
Payette,3590,15,3590,20.2,2165,48.5
Power,1752,22.8,1752,32.9,833,69.2
Shoshone,3132,24.3,3132,30.6,1950,65.4
Teton,2849,23.5,2848,30.8,1076,67.4
Twin Falls,15654,18,15653,24.8,8574,63.1
Unknown,6724,N/A,6720,N/A,2666,N/A
Valley,3296,28.9,3296,35.4,1950,66
Washington,1788,17.5,1788,22.7,1323,50.1
