County Level Vaccination Data for Louisiana
Date generated: Thu Apr 15 2021 14:01:00 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Acadia,11116,17.9,11105,24.1,6070,62
Allen,3174,12.4,3171,15.9,1375,35.2
Ascension,23974,18.9,23899,25.7,10046,64.6
Assumption,3973,18.1,3969,23,2209,53.8
Avoyelles,6017,15,6014,19.6,3188,45.8
Beauregard,4268,11.4,4264,15.1,2286,38.3
Bienville,2722,20.6,2722,26.4,1502,52.3
Bossier,24390,19.2,24360,25.5,10990,58.2
Caddo,52653,21.9,52559,28.6,25473,59.8
Calcasieu,31879,15.7,31844,20.9,15824,51.1
Caldwell,1711,17.3,1711,22.4,981,54.5
Cameron,492,7.1,491,9,262,22.1
Catahoula,1512,15.9,1512,20.2,833,49
Claiborne,2566,16.4,2564,19.9,1449,47.4
Concordia,2565,13.3,2565,17.5,1391,40.6
De Soto,4663,17,4661,22.3,2591,51.7
East Baton Rouge,105647,24,105403,31,46381,72
East Carroll,1423,20.7,1422,27.2,679,64.9
East Feliciana,3102,16.2,3101,19.7,1712,48.7
Evangeline,4785,14.3,4779,19.1,2464,46.6
Franklin,3324,16.6,3322,22.2,1737,47.1
Grant,3774,16.9,3769,21.3,1627,46.8
Iberia,11522,16.5,11508,22.2,5957,54.4
Iberville,6435,19.8,6430,24.8,3190,59.9
Jackson,2783,17.7,2782,22.6,1498,46.2
Jefferson,114945,26.6,114731,34,51862,67.8
Jefferson Davis,4200,13.4,4196,17.9,2317,44.2
LaSalle,2296,15.4,2294,19.9,1230,48.1
Lafayette,48593,19.9,48471,26,21294,63.3
Lafourche,17325,17.7,17307,23,8382,53.8
Lincoln,9519,20.4,9504,25.4,4312,66
Livingston,20089,14.3,20059,19.1,10005,53.3
Madison,1718,15.7,1717,20.6,837,51.2
Morehouse,4865,19.6,4863,25.8,2710,56.3
Natchitoches,6001,15.7,5998,20.4,3375,51.7
Orleans,118028,30.3,117758,37.6,39542,65.1
Ouachita,28366,18.5,28327,24.5,13559,57.7
Plaquemines,5918,25.5,5910,34.3,2172,66.8
Pointe Coupee,5069,23.3,5064,29.6,2844,61.2
Rapides,25851,19.9,25813,26.4,12320,56.8
Red River,1353,16,1352,20.9,735,44.3
Richland,4189,20.8,4185,27.1,2145,58.9
Sabine,3177,13.3,3177,17.3,2098,41.5
St. Bernard,7887,16.7,7871,22.7,3231,57
St. Charles,12351,23.3,12315,30.6,5328,71.4
St. Helena,1240,12.2,1239,15.4,666,31.9
St. James,4072,19.3,4062,25,1862,49.8
St. John the Baptist,9100,21.2,9082,28.1,3987,63.2
St. Landry,13723,16.7,13692,22.7,6651,48.8
St. Martin,7758,14.5,7745,19,4156,49.5
St. Mary,9155,18.6,9146,24.4,4687,55.7
St. Tammany,65393,25.1,65279,32.9,31962,70.2
Tangipahoa,24585,18.2,24551,24.1,12619,62.7
Tensas,1157,26.7,1156,34.4,668,59.9
Terrebonne,20110,18.2,20093,24.3,10414,63.1
Union,4418,20,4413,25.4,2486,53.3
Unknown,50332,N/A,50296,N/A,24950,N/A
Vermilion,8042,13.5,8032,18,4209,44.7
Vernon,5536,11.7,5532,15.5,2688,44.7
Washington,7912,17.1,7902,22.5,4566,53.4
Webster,6892,18,6891,23.2,4067,52.4
West Baton Rouge,5234,19.8,5224,26,2234,59.2
West Carroll,2515,23.2,2515,29.9,1444,68.6
West Feliciana,5913,38,5910,45.4,2660,99.9
Winn,2610,18.8,2607,23.6,1396,52.5
