County Level Vaccination Data for Maine
Date generated: Thu Apr 15 2021 14:01:17 GMT-0700 (Pacific Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Androscoggin,23999,22.2,23981,28.2,12427,63.2
Aroostook,22091,32.9,22045,40.2,11850,70.9
Cumberland,93339,31.6,93253,38.7,45920,81.8
Franklin,7654,25.3,7653,30.8,4618,67.4
Hancock,18354,33.4,18349,40.2,10664,76.8
Kennebec,32189,26.3,32168,32.5,17135,68.1
Knox,13958,35.1,13954,42.6,8111,78.3
Lincoln,11604,33.5,11601,40.3,7792,79.8
Oxford,14203,24.5,14200,29.9,8139,62.2
Penobscot,45194,29.7,45164,36.2,21462,73.7
Piscataquis,4798,28.6,4796,34.3,2865,62.4
Sagadahoc,11111,31,11099,38.2,6624,81.2
Somerset,13139,26,13134,32,7114,66
Unknown,18022,N/A,18010,N/A,6266,N/A
Waldo,11662,29.4,11658,35.9,6799,73.4
Washington,12259,39.1,12249,48.1,5961,76.5
York,61373,29.6,61344,36.2,32966,75.1
